city,address,neighbourhood,ward,latitude,longitude,has_coords,sources,total_permits,n_building_permits,n_development_permits,keywords,earliest_permit_date,latest_permit_date,building_row_ids,development_file_numbers,sample_description,coord_source
austin,8527 N CAPITAL OF TEXAS HWY NB,,,30.38609729,-97.76435808,yes,building,109,109,0,handrail,2001-03-02T00:00:00.000,2001-04-09T00:00:00.000,2001-005542 BP; 2001-019029 BP; 2001-005545 EP; 2001-000494 PP; 2001-000496 EP; 2001-000466 MP; 2001-005530 MP; 2001-000491 PP; 2001-005544 EP; 2001-005541 EP; 2001-005539 PP; 2001-005536 BP; 2001-005534 PP; 2001-005547 BP; 2001-005535 EP; 2001-005538 EP; 2001-005534 BP; 2001-000466 EP; 2001-002624 PP; 2001-005529 BP; 2001-005540 BP; 2001-005532 MP; 2001-005542 MP; 2001-005543 BP; 2001-005548 MP; 2001-005532 EP; 2001-005531 PP; 2001-005545 BP; 2001-000492 PP; 2001-005535 PP; 2001-005543 MP; 2001-005546 BP; 2001-005529 MP; 2001-002624 MP; 2001-005541 BP; 2001-005536 MP; 2001-005533 BP; 2001-005538 BP; 2001-005543 PP; 2001-000496 MP; 2001-005537 BP; 2001-005540 PP; 2001-005544 PP; 2001-005529 EP; 2001-005534 MP; 2001-005542 PP; 2001-000491 EP; 2001-005545 MP; 2001-005535 BP; 2001-005530 BP; 2001-005531 EP; 2001-005542 EP; 2001-005533 MP; 2001-005547 PP; 2001-005530 EP; 2001-000466 BP; 2001-005535 MP; 2001-002624 EP; 2001-005531 MP; 2001-013913 MP; 2001-005544 BP; 2001-005540 MP; 2001-005546 EP; 2001-005549 EP; 2001-005537 EP; 2001-005529 PP; 2001-005536 PP; 2001-013913 PP; 2001-005539 MP; 2001-013913 EP; 2001-013913 BP; 2001-005532 BP; 2001-019029 EP; 2001-005528 BP; 2001-005546 MP; 2001-000491 BP; 2001-000496 PP; 2001-005540 EP; 2001-005533 EP; 2001-005547 MP; 2001-005548 PP; 2001-005541 PP; 2001-005545 PP; 2001-000496 BP; 2001-000492 BP; 2001-005549 BP; 2001-005531 BP; 2001-005546 PP; 2001-005541 MP; 2001-002624 BP; 2001-005543 EP; 2001-000466 PP; 2001-005532 PP; 2001-005534 EP; 2001-000491 MP; 2001-000494 EP; 2001-005539 BP; 2001-000494 MP; 2001-005544 MP; 2001-005530 PP; 2001-005536 EP; 2001-005533 PP; 2001-005539 EP; 2001-000492 EP; 2001-005548 EP; 2001-005547 EP; 2001-005548 BP; 2001-000492 MP; 2001-000494 BP,,Exterior Remodel And Repair To Existing Handrails To Existing Apt/Changeout Hvac Upgrade Elect Changeout Hot Water Heater,permit
austin,9201 CIRCUIT OF THE AMERICAS BLVD,,,,,no,building,34,34,0,accessible; handrail; lift; ramp; wheelchair,2013-03-22T00:00:00.000,2023-10-19T00:00:00.000,2023-135029 BP; 2022-132689 BP; 2022-007563 BP; 2021-189319 BP; 2021-189357 BP; 2021-163801 BP; 2021-072440 BP; 2021-072433 BP; 2020-039743 BP; 2019-172470 BP; 2019-173672 BP; 2019-173759 BP; 2019-173617 BP; 2019-173840 BP; 2019-172446 BP; 2019-173696 BP; 2019-054045 BP; 2019-054118 BP; 2019-054076 BP; 2018-070509 BP; 2015-045093 BP; 2014-050621 BP; 2013-110479 PP; 2013-110479 EP; 2013-110485 EP; 2013-110485 PP; 2013-110485 BP; 2013-110479 BP; 2013-028424 BP; 2013-028423 BP; 2013-028424 EP; 2013-028424 PP; 2013-028423 PP; 2013-028423 EP,,TEMPORARY **** TURN 12 GRAND STAND 37550SF TOTAL OCCUPANCY AS PER ENGINEER APPROVAL COMPLIANCE WITH ICC 300 REQUIRED ACCESSIBILITY REQUIRED ENGUNEER TO PROVIDE OCCUPANT LOAD,none
austin,11400 BURNET RD,,,,,no,building,28,28,0,handicap; handrail; ramp; wider doorway,1983-09-15T00:00:00.000,1998-10-16T00:00:00.000,1998-011245 BP; 1992-005544 BP; 1992-005756 BP; 1991-005154 MP; 1991-005154 EP; 1991-005154 BP; 1989-013184 BP; 1989-013184 MP; 1989-013184 EP; 1989-010910 BP; 1989-010910 EP; 1989-010910 MP; 1987-006769 EP; 1987-006769 MP; 1987-006769 BP; 1986-021662 BP; 1985-019683 BP; 1985-019683 MP; 1984-001906 MP; 1984-001906 EP; 1984-001906 PP; 1984-001906 BP; 1984-023400 MP; 1984-023400 BP; 1984-023400 EP; 1984-017843 BP; 1983-019151 BP; 1983-006802 BP,,Modify Fire Wall In Handicap Egress In Br(007),none
austin,2100 BARTON SPRINGS RD,,,30.26776379,-97.76790612,yes,building,27,27,0,accessible; handrail; ramp,2018-09-24T00:00:00.000,2025-08-29T00:00:00.000,2025-109027 EP; 2024-127355 BP; 2024-127336 BP; 2024-127315 BP; 2024-128535 BP; 2024-127369 BP; 2024-127346 BP; 2024-127352 BP; 2023-126609 BP; 2023-116488 BP; 2023-118568 BP; 2023-116206 BP; 2023-120203 BP; 2021-136075 BP; 2021-142901 BP; 2021-142907 BP; 2021-142890 BP; 2021-142925 BP; 2021-142884 BP; 2021-142900 BP; 2019-183820 BP; 2019-183771 BP; 2019-183773 BP; 2019-183769 BP; 2019-183777 BP; 2019-183772 BP; 2018-165539 BP,,Genrators ditro And cable Ramps for Stages and Food Vendors For ACL 2025,permit
austin,3600 PRESIDENTIAL BLVD,,,,,no,building,22,22,0,accessible; ramp,2013-02-06T00:00:00.000,2026-06-17T00:00:00.000,2025-159979 EP; 2025-159979 BP; 2025-121053 EP; 2025-072681 BP; 2025-072681 EP; 2024-079187 EP; 2024-079187 BP; 2017-081494 EP; 2016-058281 BP; 2015-009361 PP; 2014-107047 PP; 2026-066213 BP; 2026-066212 PP; 2026-066213 EP; 2026-066214 EP; 2026-066212 EP; 2026-066214 BP; 2026-066212 BP; 2026-066212 MP; 2013-011759 MP; 2013-011759 EP; 2013-011759 BP,,Installation of Ramp Information Displays (RIDS) and Gate Information Displays (GIDS) for Southwest Airlines on the ramp level and holdrooms of gates 22 and 23. Exterior 2 locations 88 square feet; Interior 2 locations 18 square feet.,none
austin,1900 BURTON DR,,,30.23465391,-97.73155894,yes,building,18,18,0,handrail,1988-01-25T00:00:00.000,1992-06-29T00:00:00.000,1992-006845 BP; 1992-006833 BP; 1992-003642 BP; 1992-003644 BP; 1992-003646 BP; 1992-000343 BP; 1988-008281 BP; 1988-008277 BP; 1988-008268 BP; 1988-008265 BP; 1988-008270 BP; 1988-008275 BP; 1988-008280 BP; 1988-008282 BP; 1988-008279 BP; 1988-008263 BP; 1988-008273 BP; 1988-008278 BP,,Repair To Min Std 90 Days Balconys/Handrails/,permit
austin,8617 SPICEWOOD SPRINGS RD,,,30.4338819,-97.77483116,yes,building,18,18,0,handrail,1990-07-13T00:00:00.000,1995-01-03T00:00:00.000,1995-013899 BP; 1995-013884 BP; 1995-013903 BP; 1995-013893 BP; 1995-013897 BP; 1995-013886 BP; 1995-013902 BP; 1995-013890 BP; 1995-013892 BP; 1995-013889 BP; 1995-013894 BP; 1995-013904 BP; 1995-013898 BP; 1995-013900 BP; 1995-013888 BP; 1995-013891 BP; 1995-013895 BP; 1990-007562 BP,,Remove & Replace Handrails - Bldg 13,permit
austin,1212 WESTHEIMER DR,,,30.32578983,-97.69444216,yes,building,13,13,0,handrail,2025-12-22T00:00:00.000,2025-12-22T00:00:00.000,2025-154802 BP; 2025-154797 BP; 2025-154800 BP; 2025-154804 BP; 2025-154793 BP; 2025-154794 BP; 2025-154796 BP; 2025-154805 BP; 2025-154801 BP; 2025-154803 BP; 2025-154798 BP; 2025-154795 BP; 2025-154799 BP,,"Exterior Remodel - Replace Rotten and Damaged Framing with Like Members and Replace Handrails at Existing Multi-Family Complex

(14) Applications",permit
austin,1781 SPYGLASS DR,,,30.25836439,-97.79156238,yes,building,13,13,0,handrail,1993-01-06T00:00:00.000,1993-01-07T00:00:00.000,1993-013698 BP; 1993-013701 BP; 1993-013702 BP; 1993-013694 BP; 1993-013688 BP; 1993-013690 BP; 1993-013689 BP; 1993-013693 BP; 1993-013696 BP; 1993-013687 BP; 1993-013685 BP; 1993-013704 BP; 1993-013703 BP,,General Repairs & Changeout Hand Rails,permit
austin,3800 1/2 N LAMAR BLVD,,,30.30584837,-97.74292085,yes,building,13,13,0,handicap; lift; ramp,1992-11-12T00:00:00.000,1996-01-17T00:00:00.000,1996-009866 BP; 1996-009866 EP; 1996-009866 MP; 1996-009866 PP; 1995-013796 MP; 1995-013796 EP; 1995-013796 BP; 1994-000264 BP; 1994-000264 PP; 1992-010060 MP; 1992-010060 EP; 1992-010060 BP; 1992-010060 PP,,Finish Out Rampage,permit
