city,address,neighbourhood,ward,latitude,longitude,has_coords,sources,total_permits,n_building_permits,n_development_permits,keywords,earliest_permit_date,latest_permit_date,building_row_ids,development_file_numbers,sample_description,coord_source
austin,10005 AUSTRAL CV,,,30.19489084,-97.87540742,yes,building,9,9,0,accessible; handrail,2007-03-14T00:00:00.000,2011-09-08T00:00:00.000,2011-044189 EP; 2011-048605 EP; 2011-048605 PP; 2011-072938 MP; 2011-048605 BP; 2011-044189 BP; 2007-105394 PP; 2007-105394 BP; 2007-105394 EP,,rmdl exst 2nd floor master bath. replace front door replace int stair handrails,permit
austin,4213 FAR WEST BLVD,,,30.36086229,-97.76996198,yes,building,6,6,0,handicap,2008-04-02T00:00:00.000,2009-05-06T00:00:00.000,2009-044587 EP; 2009-044587 PP; 2009-044587 BP; 2008-023450 EP; 2008-023450 PP; 2008-023450 BP,,Change existing bathroom and closet into a bathroom more accomodating for serving handicapped occupants,permit
austin,503 LIGHTSEY RD,,,30.23135213,-97.76432824,yes,building,6,6,0,handrail,2008-01-08T00:00:00.000,2009-09-09T00:00:00.000,2009-098329 EP; 2009-098329 BP; 2009-098329 PP; 2008-001398 BP; 2008-001398 PP; 2008-001398 EP,,Remodel exist. interior kitchen cabinets electrical wiring relocate interior gas line replace  tankless water heater in garage convert master master bath into 2 small baths replace exterior handrail & french doors & repair existing rear wood deck ( refer to expired permit # 2008-001398BP),permit
austin,7605 CAMERON RD,,,,,no,building,6,6,0,handrail,2013-08-30T00:00:00.000,2017-07-07T00:00:00.000,2013-123314 MP; 2013-123314 PP; 2013-123314 EP; 2013-123314 BP; 2013-091575 BP; 2013-091575 PP,,Partial demo of rear wall of structure & rear half of roof Increasing size of structure and adding outdoor covered porch remodeling bedrm and bathrms adding stairs to exterior of structure.  ***REVISION #1 (submitted 1/12/2015) - (combining permit #2013-091575BP) -repair existing hand rail and stairs to existing legal non conforming single family residence and existing  electrical and plumbing must be to building code requirements.***,none
austin,11405 D K RANCH RD,,,30.42626161,-97.77473829,yes,building,5,5,0,accessible bathroom,2011-09-12T00:00:00.000,2012-07-20T00:00:00.000,2012-045710 PP; 2012-045710 BP; 2012-045710 EP; 2011-082312 EP; 2011-081723 PP,,Re-permitting for expired permit number 2011-087056-BP (bathroom remodel - remove tub install new walk-in tub modify drain as needed and minor electric work as needed in the existing single family residence.),permit
austin,1608 SKI SLOPE DR,,,30.34542153,-97.87414996,yes,building,5,5,0,handicap; handrail; lift,2001-12-28T00:00:00.000,2018-06-05T00:00:00.000,2017-002757 PP; 2017-002757 MP; 2017-002757 EP; 2017-002757 BP; 2001-016413 EP,,partial demo included: interior remodel. New siding windows doors insulation roof flooring kitchen/bath remodeling patio.  New handrails and outdoor paving replacement/repair.  Bathrooms to be added within same footprint.   Boat dock being rebuilt under this permit per approved SP #16-086949.,permit
austin,1914 BLUE MEADOW DR,,,30.18306077,-97.76672649,yes,building,5,5,0,ramp; wheelchair,1996-07-18T00:00:00.000,2016-11-10T00:00:00.000,2016-114998 BP; 1996-001951 EP; 1996-001951 PP; 1996-001951 MP; 1996-001951 BP,,Install wheelchair ramp,permit
austin,1000 ELM ST,,,30.27845971,-97.75885049,yes,building,4,4,0,handrail,2025-02-06T00:00:00.000,2025-12-03T00:00:00.000,2025-011728 MP; 2025-011728 PP; 2025-011728 EP; 2025-011728 BP,,"Interior Remodel. Remodel of existing noncomplying 1-story single family residence to include kitchen and bathrooms. Restoration of existing windows repair existing deck and covered porch new stairs and handrail/guardrail at front and rear of single family residence to meet code. Repair metal roof and siding. Reconfigure interior layout.

11/14/25 SM - Revised Existing conditioned attic storage area also being updated with electrical and HVAC.",permit
austin,1001 E 50TH ST,,,30.30947512,-97.71243057,yes,building,4,4,0,ramp,2012-09-25T00:00:00.000,2012-11-08T00:00:00.000,2012-097050 EP; 2012-097050 PP; 2012-097050 MP; 2012-097050 BP,,Tub to shower conversion in the existing single family residence and install concrete flat work ramp at entrance of house.  Also re-permitting expired 2011 permits for HVAC change out.,permit
austin,1009 GASTON AVE,,,30.29334049,-97.74881241,yes,building,4,4,0,step-free entry,2015-06-16T00:00:00.000,2016-01-25T00:00:00.000,2015-067237 EP; 2015-067237 MP; 2015-067237 PP; 2015-067237 BP,,New 2 story sf res (w/ basement level). Attached 2 car garage basement level storage mud room exercise room. Main level entry porch master suite kitchen/dining/living rear patio. 2nd floor bedrooms baths.,permit
