permittype,permit_type_desc,permit_number,permit_class_mapped,permit_class,work_class,condominium,permit_location,description,tcad_id,legal_description,applieddate,issue_date,day_issued,calendar_year_issued,fiscal_year_issued,issued_in_last_30_days,issue_method,status_current,statusdate,expiresdate,completed_date,remodel_repair_sqft,number_of_floors,housing_units,original_address1,original_city,original_state,original_zip,council_district,jurisdiction,link,project_id,latitude,longitude,location,certificate_of_occupancy,total_valuation_remodel,total_job_valuation,building_valuation_remodel,electrical_valuation_remodel,mechanical_valuation_remodel,plumbing_valuation_remodel,masterpermitnum,total_existing_bldg_sqft,total_new_add_sqft,total_lot_sq_ft,electrical_valuation
PP,Plumbing Permit,2026-052502 PP,Residential,Residential,Repair,No,4904 WING RD,Repair main water service line from house to meter upgrading line size and addition of accessible shut off valve,0410280611,LOT 11 BLK K WESTCREEK PHS 3 SEC 1,2026-04-28T00:00:00.000,2026-04-30T00:00:00.000,THURSDAY,2026,2026,No,Permit Center,Final,2026-05-01T00:00:00.000,2026-05-01T00:00:00.000,2026-05-01T00:00:00.000,0,1,1,4904 WING RD,AUSTIN,TX,78749,8,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13694547'},13694547,30.22820716,-97.84463326,"{'latitude': '30.22820716', 'longitude': '-97.84463326', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,,,,,,,,
BP,Building Permit,2026-050187 BP,Residential,R- 435 Renovations/Remodel,Repair,No,1135 LOTT AVE UNIT 2,Express: Wheelchair ramp,0208210655,LOT 3 BLK 4 GREEN VALLEY NO 1,2026-04-22T00:00:00.000,2026-04-23T00:00:00.000,THURSDAY,2026,2026,No,Permit Center,Final,2026-05-14T00:00:00.000,2026-05-14T00:00:00.000,2026-05-14T00:00:00.000,1,1,1,1135 LOTT AVE UNIT 2,AUSTIN,TX,78721,1,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13691952'},13691952,,,,No,4,1,1,1,1,1,13691469,,,,
EP,Electrical Permit,2026-035783 EP,Residential,R- 435 Renovations/Remodel,Repair,No,6707 KROLLTON DR,Express: Replace shower with roll-in shower install new diverter valve and piping replace existing vanity install faucet install new trap drain supply lines valves remove and replace flooring  replace missing sheetrock furnish and install exhaust fan upgrade main panel,0415191201,LOT 1 BLK I CHERRY CREEK PHS III SEC 2,2026-03-25T00:00:00.000,2026-04-01T00:00:00.000,WEDNESDAY,2026,2026,No,Permit Center,Final,2026-04-08T00:00:00.000,2026-04-08T00:00:00.000,2026-04-08T00:00:00.000,1,1,1,6707 KROLLTON DR,AUSTIN,TX,78745,5,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13675390'},13675390,30.20701486,-97.81180152,"{'latitude': '30.20701486', 'longitude': '-97.81180152', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,1,,,13675389,,,,
BP,Building Permit,2026-035783 BP,Residential,R- 435 Renovations/Remodel,Repair,No,6707 KROLLTON DR,Express: Replace shower with roll-in shower install new diverter valve and piping replace existing vanity install faucet install new trap drain supply lines valves remove and replace flooring  replace missing sheetrock furnish and install exhaust fan upgrade main panel,0415191201,LOT 1 BLK I CHERRY CREEK PHS III SEC 2,2026-03-25T00:00:00.000,2026-03-26T00:00:00.000,THURSDAY,2026,2026,No,Permit Center,Final,2026-04-23T00:00:00.000,2026-04-23T00:00:00.000,2026-04-23T00:00:00.000,1,1,1,6707 KROLLTON DR,AUSTIN,TX,78745,5,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13675389'},13675389,30.20701486,-97.81180152,"{'latitude': '30.20701486', 'longitude': '-97.81180152', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,0,1,0,0,0,0,13675387,,,,
EP,Electrical Permit,2026-033941 EP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,716 SHINY ROCK DR,Garage Conversion- The existing garage will be converted into a bedroom due to knee injury that limits mobility to the upstairs level. Will add a larger vanity and shower.,0434150211,LOT 21 BLK K TEXAS OAKS SEC 7-C,2025-12-30T00:00:00.000,2026-03-25T00:00:00.000,WEDNESDAY,2026,2026,No,Permit Center,Active,2026-06-04T00:00:00.000,2026-12-01T00:00:00.000,,0,2,1,716 SHINY ROCK DR,AUSTIN,TX,78748,5,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13673288'},13673288,30.16001718,-97.8134296,"{'latitude': '30.16001718', 'longitude': '-97.8134296', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,4000,,,13673287,2714,320,,
PP,Plumbing Permit,2026-033941 PP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,716 SHINY ROCK DR,Garage Conversion- The existing garage will be converted into a bedroom due to knee injury that limits mobility to the upstairs level. Will add a larger vanity and shower.,0434150211,LOT 21 BLK K TEXAS OAKS SEC 7-C,2025-12-30T00:00:00.000,2026-04-07T00:00:00.000,TUESDAY,2026,2026,No,Permit Center,Active,2026-06-04T00:00:00.000,2026-12-01T00:00:00.000,,0,2,1,716 SHINY ROCK DR,AUSTIN,TX,78748,5,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13673290'},13673290,30.16001718,-97.8134296,"{'latitude': '30.16001718', 'longitude': '-97.8134296', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,,,,13673287,2714,320,,
BP,Building Permit,2026-033941 BP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,716 SHINY ROCK DR,Garage Conversion- The existing garage will be converted into a bedroom due to knee injury that limits mobility to the upstairs level. Will add a larger vanity and shower.,0434150211,LOT 21 BLK K TEXAS OAKS SEC 7-C,2025-12-30T00:00:00.000,2026-03-24T00:00:00.000,TUESDAY,2026,2026,No,Permit Center,Active,2026-06-04T00:00:00.000,2026-12-01T00:00:00.000,,0,2,1,716 SHINY ROCK DR,AUSTIN,TX,78748,5,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13673287'},13673287,30.16001718,-97.8134296,"{'latitude': '30.16001718', 'longitude': '-97.8134296', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,4,30000,1,1,1,1,13634196,,320,5663,
MP,Mechanical Permit,2026-030334 MP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,4204 BOWSTRING CV,interior remodel - interior remodel of a bathroom and closet to make them accessible. no change to exterior walls.,0101230914,LOT 15 BLK P VILLAGE PARK 4 AT TRAVIS COUNTRY,2025-06-02T00:00:00.000,2026-03-16T00:00:00.000,MONDAY,2026,2026,No,Permit Center,Final,2026-03-17T00:00:00.000,2026-03-17T00:00:00.000,2026-03-17T00:00:00.000,595,2,1,4204 BOWSTRING CV,AUSTIN,TX,78735,8,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13669110'},13669110,30.2534522,-97.83193793,"{'latitude': '30.2534522', 'longitude': '-97.83193793', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,,,,13531632,595,0,,
PP,Plumbing Permit,2026-035783 PP,Residential,R- 435 Renovations/Remodel,Repair,No,6707 KROLLTON DR,Express: Replace shower with roll-in shower install new diverter valve and piping replace existing vanity install faucet install new trap drain supply lines valves remove and replace flooring  replace missing sheetrock furnish and install exhaust fan upgrade main panel,0415191201,LOT 1 BLK I CHERRY CREEK PHS III SEC 2,2026-03-25T00:00:00.000,2026-03-26T00:00:00.000,THURSDAY,2026,2026,No,Permit Center,Final,2026-04-23T00:00:00.000,2026-04-23T00:00:00.000,2026-04-23T00:00:00.000,1,1,1,6707 KROLLTON DR,AUSTIN,TX,78745,5,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13675391'},13675391,30.20701486,-97.81180152,"{'latitude': '30.20701486', 'longitude': '-97.81180152', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",No,,,,,,,13675389,,,,
BP,Building Permit,2026-037692 BP,Residential,R- 434 Addition & Alterations,Addition and Remodel,No,9206 UNITED KINGDOM DR,Addition/Remodel of 1-story single family residence.  Enclosing existing covered patio & raising outside concrete to create a no-step entrance to rear yard.  The existing & to-remain aspects of the unpermitted patio will be retroactively permitted.,0428150246,LOT 4 BLK U BUCKINGHAM ESTATES PHS IV SEC A,2026-02-18T00:00:00.000,2026-03-31T00:00:00.000,TUESDAY,2026,2026,No,Permit Center,Final,2026-06-18T00:00:00.000,2026-06-18T00:00:00.000,2026-06-18T00:00:00.000,185,1,0,9206 UNITED KINGDOM DR,AUSTIN,TX,78748,5,AUSTIN FULL PURPOSE,{'url': 'https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13677628'},13677628,30.17478303,-97.80950245,"{'latitude': '30.17478303', 'longitude': '-97.80950245', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Yes,1,1,1,0,0,0,13656782,,185,6674,
