address,parsed_house_number,parsed_street_name,neighbourhood,ward,keywords,total_permits,n_building_permits,n_development_permits,building_row_ids,development_file_numbers,sample_description
7605 CAMERON RD,,,,,handrail,6,6,0,2013-123314 MP; 2013-123314 PP; 2013-123314 EP; 2013-123314 BP; 2013-091575 BP; 2013-091575 PP,,Partial demo of rear wall of structure & rear half of roof Increasing size of structure and adding outdoor covered porch remodeling bedrm and bathrms adding stairs to exterior of structure.  ***REVISION #1 (submitted 1/12/2015) - (combining permit #2013-091575BP) -repair existing hand rail and stairs to existing legal non conforming single family residence and existing  electrical and plumbing must be to building code requirements.***
1309 WEBBERVILLE RD,,,,,ramp,4,4,0,2000-005314 MP; 2000-005314 EP; 2000-005314 PP; 2000-005314 BP,,One Story Residence W/Porches & Ramp
1604 SOUTHGATE CIR,,,,,ramp,4,4,0,2014-111920 MP; 2014-111920 EP; 2014-111920 BP; 2014-111920 PP,,Partial demo of the rear wall to Unit A of a duplex for a (1) story addition that is to include (1) bedroom (2) bathrooms a closet exterior entrance with a covered porch and ramp.
1700 PEASE RD,,,,,adaptable/visitable,4,4,0,2015-117967 MP; 2015-117967 EP; 2015-117967 PP; 2015-117967 BP,,New primary residence 3 bedrooms 3.5 bath. No visitable route needed.
2007 E 3RD ST,,,,,ramp,4,4,0,1999-010974 PP; 1999-010974 MP; 1999-010974 BP; 1999-010974 EP,,New One Story Res W/Att Porch & Wood Ramp
2919 E 16TH ST,,,,,ramp,4,4,0,2002-008459 EP; 2002-008459 MP; 2002-008459 PP; 2002-008459 BP,,"Sf Residence W/CovD Porch & Ramp
(S.M.A.R.T. Housing)"
3102 SOUTH OAK DR,,,,,ramp,4,4,0,2022-105398 MP; 2022-105398 EP; 2022-105398 PP; 2022-105398 BP,,New 1-story 1 bedroom 1 bathroom secondary dwelling unit with attached uncovered wood deck and ramp.
3605 KENTFIELD RD,,,,,wider doorway,4,4,0,2014-028364 MP; 2014-028364 PP; 2014-028364 BP; 2014-028364 EP,,Kitchen remodel-remove furdown close off hall doorway.  Update electrical throughout as needed.  Widen doorway to great room (wall non-load bearing).  Master bath-remove/replace tub and tile surround.  Close off hall doorway.  Frame new door entry (non load bearing) into master bedroom and bedroom 1.
10004 PARKFIELD DR,,,,,accessible bathroom,3,3,0,2012-042555 EP; 2012-042555 PP; 2012-042555 BP,,Remodel hall bath - tub to shower conversion in the existing single family residence.  Minor electric work for lighting.  Remodel master bath - install new walk-in tub with dedicated electric as needed.
10510 GEORGIAN DR,,,,,accessible,3,3,0,2011-070703 EP; 2011-070703 BP; 2011-070703 PP,,addition of covered patio and full bath to rear of sfres as well as bed suite (bed bath closet) accessible through new covered patio.  net addition of 2 bathrooms.
2214 S 2ND ST,,,,,ramp,3,3,0,2014-099875 EP; 2014-099875 BP; 2014-099875 PP,,Install concrete ramp at entry.  Replace tub/shower valves and toilet.  Replace windows in bath.  Install smoke detectors and vent fan.
40 N IH 35 SVRD SB UNIT 7D4,,,,,accessible bathroom,3,3,0,2016-122331 EP; 2016-112461 BP; 2016-112461 PP,,Bath conversion/remodel.  Shower to shower and tub to safety walk-in tub.  Building and plumbing permits requested.
4500 HYRIDGE DR,,,,,lift; step-free entry,3,3,0,1999-006154 EP; 1999-006154 BP; 1999-006154 MP,,Add 2 Level Entry W/Elevator & Remodel Entry
5603 DRIFTWOOD DR,,,,,handicap; ramp,3,3,0,2015-067507 BP; 2015-067507 PP; 2015-067507 EP,,Partial demo of handicap ramp detached covered patio brick vener windows and doors. Add uncovered exterior stairs. Interior remodel including; remove walls relocate 1/2 bath relocate master bath replace ext doors and windows add utilitiy room repair brick add drywall as needed new electric in master bath 1/2 bath and dining new plumbing and lighting fixtures add smoke and carbon monoxide detectors as needed.
8023 DOE MEADOW DR,,,,,ramp,3,3,0,2023-051552 PP; 2023-051552 EP; 2023-051552 BP,,Remove existing deck steps framing and footings replace with new engineered deck steps framing and footings and ramp Interior remodel of primary bathroom within existing square feet
1806 SPRINGDALE RD,,,,,ramp,2,2,0,2018-062864 BP; 2018-062864 PP,,tub to shower conversion with 8 ramp addition to existing sfr
2213 S 2ND ST,,,,,handicap; ramp,2,2,0,2015-009815 EP; 2015-009815 BP,,Addition of screened in porch to East side of home rear of existing main structure new handicap ramp to existing porch of main structure on the South side relocate wooden fence and gates btwn existing garage apt. and main structure.
2614 FRANCISCO ST,,,,,grab bar; handrail,2,2,0,2011-040120 EP; 2011-039241 BP,,Go-Bond repair permit - general repairs to the existing single family residence.  Repairs to include siding work master bedroom window replacement and installation of grab bars / handrails.  Revamp rear entry stairs into a more-effective wooden deck and landing.
5300 THORNWOOD DR,,,,,handrail,2,2,0,1989-010793 EP; 1989-010793 BP,,Residential Steps With A Handrail
710 SPRINGDALE RD,,,,,ramp,2,2,0,2019-161747 PP; 2019-161747 BP,,replace bathroom window tub to shower conversion ADA ramp
8605 LEISURE DR,,,,,ramp,2,2,0,2011-025538 BP; 2011-025538 EP,,Addition to Front of Home.  Will be Enclosing Existing Carport into Garage space and Extending it by 8ft. Adding a total of 240 sqft to the Garage.  Will be leveling Existing Porch and adding New Ramp and landing area.   Will be Demolishing Existing Playhouse to remove expired permit (1994 - 014831 BP ***Add Two-Story Playhouse To Residential Lot).   This permit to override expired permit (1984 - 026803 ***Addtn To Ext Res To Create Carport).   This Permit for Inspector to also verify that 580 sqft Accessory Building was never built expired permit (1984 - 008715 BP ***Addtn To Ext Res To Create Acc Bldg (Storage))
1120 1/2 TILLERY ST,,,,,ramp,1,1,0,2015-066270 BP,,Construct wood ramp at front entry.
1128 TILLERY ST,,,,,accessible; handicap; ramp,1,1,0,2017-019224 BP,,Repair rotted wood in handicap ramp; replace shingles; sink to be raised for handicap use new toilet; install 2 ceiling fans 2 light fixtures handicap accessible light switches to be installed.
1135 LOTT AVE UNIT 2,,,,,ramp; wheelchair,1,1,0,2026-050187 BP,,Express: Wheelchair ramp
1149 WEBBERVILLE RD,,,,,accessible,1,1,0,2020-141151 EP,,The main service drop conductors had to be relocated because there is a new back porch that was added to the house. We had to relocate the main drop conductors so it is accessible and closer to austin energy power pole * * adding a ground rod and extending the conduit and wire for the main electrical service.
11900 CHARRO DR,,,,,ramp,1,1,0,2020-012267 BP,,Mobile home connect deck 8 x 16  Ramp 64.1/2
1509 MORGAN LN,,,,,ramp; wheelchair,1,1,0,2023-140763 BP,,Express: wheelchair ramp
1601 E SLAUGHTER LN UNIT 375,,,,,ramp; wheelchair,1,1,0,2016-138353 BP,,Wheelchair ramp
1601 E SLAUGHTER LN UNIT 54,,,,,ramp; wheelchair,1,1,0,2017-044110 BP,,Install wheelchair ramp.
1900 E 16TH ST,,,,,ramp; wheelchair,1,1,0,2015-131458 BP,,Construct wheel chair ramp.
2301 S 3RD ST,,,,,ramp; wheelchair,1,1,0,2018-086046 BP,,"Install wheelchair ramp. Texas Ramp Project
Fees to be waived under Ordinance No. 20160128-055"
2611 WOODMONT AVE,,,,,accessible,1,1,0,2025-055014 EP,,"Service was burnt up at conductors coming into service head. Extending riser through roof to meet height to where accessible conductors are from windows. Installing main disconnect meter can riser and grounding system. Also adding required surge protection.

***Emergency inspection done on 5/2/25. ESPA required-Hyatt***"
2915 PECAN SPRINGS RD,,,,,ramp,1,1,0,2023-038616 BP,,Express: Remove existing concrete sidewalk  and install a concrete ramp (not in right of way). Replace roof Replace window drywall replacement 128 sq ft
3102 E 16TH ST,,,,,ramp; wheelchair,1,1,0,2020-109062 BP,,Express: wheelchair ramp.
3200 STRATFORD HILLS LN,,,,,handrail,1,1,0,2012-087710 BP,,Demolish / fill in existing in-ground swimming pool wood screen and handrail.
4403 S 3RD ST,,,,,ramp; wheelchair,1,1,0,2018-056966 BP,,"Install wheelchair ramp. Texas Ramp Project
Fees to be waived under Ordinance No. 20160128-055"
4503 S 3RD ST,,,,,ramp,1,1,0,2011-024166 BP,,Replace exterior door and change rear entry stairs to ramp on the existing single family residence.
4505 S 3RD ST,,,,,ramp; wheelchair,1,1,0,2021-076672 BP,,Express: Wheel Chair Ramp
5219 BASSWOOD LN,,,,,ramp,1,1,0,2024-082300 BP,,Express: New concrete ramp in front of the house (6 inches above grade)
5401 SAMUEL HUSTON AVE,,,,,ramp; wheelchair,1,1,0,2020-191225 BP,,Express: Wheelchair ramp
5405 SILVER FOX DR,,,,,ramp,1,1,0,2024-029772 BP,,build ramp to existing landing
6116 RICHARDSON LN,,,,,handrail,1,1,0,2015-069895 BP,,Addition to construct a covered deck with three sets of stairs and handrails in rear of existing 1 story SF res
6207 RICHARDSON LN,,,,,ramp; wheelchair,1,1,0,2023-020369 BP,,Express: Wheelchair Ramp
622 W O DELL ST,,,,,accessible; ramp,1,1,0,2023-096860 BP,,Express: accessibility ramp
7505 BURLESON RD,,,,,ramp; wheelchair,1,1,0,2014-069781 BP,,Construct a wheelchair ramp.  ORDINANCE NO. 20140522-078
7901 E BEN WHITE BLVD SVRD EB,,,,,accessible; ramp; wheelchair,1,1,0,2016-138374 BP,,"Build 40 wheelchair ramp to improve accessibility to house
7901 E BEN WHITE BLVD EB LOT 25"
7901 E BEN WHITE BLVD SVRD EB UNIT 20,,,,,ramp; wheelchair,1,1,0,2016-080230 BP,,construct 34-foot wheelchair ramp on existing mobile home
8005 PONCHO PASS,,,,,adaptable/visitable,1,1,0,2025-023333 BP,,"ePlan: Residential Expedited Review - [SITE PLAN APPROVED: PHASE A - Greystar Plan A580 North and South versions with detached 2 car garage North and South Versions] 
New Construction of 24 Single Family Residences

13. 8005 PONCHO PASS (North house north garage)
 REV 1 TO WAIVE VISITABILITY - Rise 21.36  / Run 160.8  / Slope: 13%"
8005 WILDER RD,,,,,adaptable/visitable,1,1,0,2025-078782 BP,,"ePlan: Residential Expedited Review - [SITE PLAN APPROVED: PHASE A - Greystar Plan C ] New Construction of a 8 Single Family Residences
 REV 1 TO WAIVE VISITABILITY - Rise 21  / Run  144  Slope: 15%"
8007 PONCHO PASS,,,,,adaptable/visitable,1,1,0,2025-051166 BP,,"ePlan: Residential Expedited Review - [SITE PLAN APPROVED: PHASE A - Greystar Plan A580 North and South versions with detached 2 car garage North and South Versions] 
New Construction of 15 Single Family Residences

8007 Poncho Pass  (South house south garage)

REV 1 TO WAIVE VISITABILITY - Rise 21  / Run 160.8  / Slope: 13%"
8009 PONCHO PASS,,,,,adaptable/visitable,1,1,0,2025-078784 BP,,"ePlan: Residential Expedited Review - [SITE PLAN APPROVED: PHASE A - Greystar Plan C ] New Construction of a 8 Single Family Residences

 REV 1 TO WAIVE VISITABILITY - Rise 22.8  / Run  144  Slope: 16%"
8011 PONCHO PASS,,,,,adaptable/visitable,1,1,0,2025-023334 BP,,"ePlan: Residential Expedited Review - [SITE PLAN APPROVED: PHASE A - Greystar Plan A580 North and South versions with detached 2 car garage North and South Versions] 
New Construction of 24 Single Family Residences

14. 8011 PONCHO PASS (North house north garage)

REV 1 TO WAIVE VISITABILITY - Rise 30.72  / Run 160.8  / Slope: 19%"
8012 WILDER RD,,,,,adaptable/visitable,1,1,0,2025-023326 BP,,"ePlan: Residential Expedited Review - [SITE PLAN APPROVED: PHASE A - Greystar Plan A580 North and South versions with detached 2 car garage North and South Versions] 
New Construction of 24 Single Family Residences

6. 8012 WILDER RD (South house south garage)

REV 1 TO WAIVE VISITABILITY - Rise 26.76  / Run 160.8  / Slope: 17%"
8014 WILDER RD,,,,,adaptable/visitable,1,1,0,2025-078786 BP,,"ePlan: Residential Expedited Review - [SITE PLAN APPROVED: PHASE A - Greystar Plan C ] New Construction of a 8 Single Family Residences

 REV 1 TO WAIVE VISITABILITY - Rise 24.72  / Run  144  Slope: 17%"
8021 PONCHO PASS UNIT 1,,,,,adaptable/visitable,1,1,0,2025-023336 BP,,"ePlan: Residential Expedited Review - [SITE PLAN APPROVED: PHASE A - Greystar Plan A580 North and South versions with detached 2 car garage North and South Versions] 
New Construction of 24 Single Family Residences

16. 8021 PONCHO PASS UNIT 1 (North house north garage)
REV 1 TO WAIVE VISITABILITY - Rise 25.08  / Run 126  / Slope: 20%"
8021 PONCHO PASS UNIT 2,,,,,adaptable/visitable,1,1,0,2025-023337 BP,,"ePlan: Residential Expedited Review - [SITE PLAN APPROVED: PHASE A - Greystar Plan A580 North and South versions with detached 2 car garage North and South Versions] 
New Construction of 24 Single Family Residences

17. 8021 PONCHO PASS UNIT 2 (North house north garage)
REV 1 TO WAIVE VISITABILITY - Rise 37.44  / Run 126  / Slope: 30%"
8021 PONCHO PASS UNIT 3,,,,,adaptable/visitable,1,1,0,2025-023338 BP,,"ePlan: Residential Expedited Review - [SITE PLAN APPROVED: PHASE A - Greystar Plan A580 North and South versions with detached 2 car garage North and South Versions] 
New Construction of 24 Single Family Residences

18. 8021 PONCHO PASS UNIT 3 (north house north garage)

REV 1 TO WAIVE VISITABILITY - Rise 32.04  / Run 198  / Slope: 16%"
8021 PONCHO PASS UNIT 4,,,,,adaptable/visitable,1,1,0,2025-023339 BP,,"ePlan: Residential Expedited Review - [SITE PLAN APPROVED: PHASE A - Greystar Plan A580 North and South versions with detached 2 car garage North and South Versions] 
New Construction of 24 Single Family Residences

19. 8021 PONCHO PASS UNIT 4 (North house north garage)

REV 1 TO WAIVE VISITABILITY - Rise 40.08  / Run 126 / Slope: 32 %"
8021 PONCHO PASS UNIT 5,,,,,adaptable/visitable,1,1,0,2025-023340 BP,,"ePlan: Residential Expedited Review - [SITE PLAN APPROVED: PHASE A - Greystar Plan A580 North and South versions with detached 2 car garage North and South Versions] 
New Construction of 24 Single Family Residences

20. 8021 PONCHO PASS UNIT 5 (South house south garage)
REV 1 TO WAIVE VISITABILITY - Rise 22.32  / Run 126 / Slope: 18%"
8021 PONCHO PASS UNIT 6,,,,,adaptable/visitable,1,1,0,2025-023341 BP,,"ePlan: Residential Expedited Review - [SITE PLAN APPROVED: PHASE A - Greystar Plan A580 North and South versions with detached 2 car garage North and South Versions] 
New Construction of 24 Single Family Residences

21. 8021 PONCHO PASS UNIT 6 (South house north garage)

REV 1 TO WAIVE VISITABILITY - Rise 29.16  / Run 170.4  / Slope: 17%"
804 MAUDE ST,,,,,ramp; wheelchair,1,1,0,2024-087469 BP,,Express wheelchair ramp
807 CONGRESS AVE,,,,,handrail,1,1,0,2011-046199 BP,,General repairs to the existing residence to maintain property.  Repaint columns & balcony refinish upper doors repair stone tiles on balcony with in-kind materials replace wood handrail with in-kind material.  Repair as necessary under punched tin ceiling.
8101 PONCHO PASS,,,,,adaptable/visitable,1,1,0,2025-023335 BP,,"ePlan: Residential Expedited Review - [SITE PLAN APPROVED: PHASE A - Greystar Plan A580 North and South versions with detached 2 car garage North and South Versions] 
New Construction of 24 Single Family Residences

15. 8101 PONCHO PASS (North house north garage)

REV 1 TO WAIVE VISITABILITY - Rise 39.96  / Run 160.8  / Slope: 25%"
8103 PONCHO PASS,,,,,adaptable/visitable,1,1,0,2025-078787 BP,,"ePlan: Residential Expedited Review - [SITE PLAN APPROVED: PHASE A - Greystar Plan C ] New Construction of a 8 Single Family Residences

 REV 1 TO WAIVE VISITABILITY - Rise 38.28  / Run  144  Slope: 27%"
8400 RIVERSTONE DR,,,,,ramp,1,1,0,2014-105650 BP,,Addition of front porch and access ramp
903 VARGAS RD,,,,,ramp; wheelchair,1,1,0,2017-034407 BP,,Install wheelchair ramp. Texas Ramp Project
9303 GEORGIAN DR,,,,,ramp; wheelchair,1,1,0,2022-119790 BP,,Express: Wheelchair ramp
