city,address,neighbourhood,ward,latitude,longitude,has_coords,sources,total_permits,n_building_permits,n_development_permits,keywords,earliest_permit_date,latest_permit_date,building_row_ids,development_file_numbers,sample_description,coord_source,completion
calgary,8800 CANADA OLYMPIC DR SW,CANADA OLYMPIC PARK,,51.082442644362324,-114.21375098423448,yes,building+development,7,5,2,lift; ramp,2012-11-29T00:00:00.000,2018-06-01T00:00:00.000,BP2018-05780; BP2016-03150; BP2015-05410; BP2017-05667; BP2014-02351,DP2012-5031; DP2013-0829,88 Express Unload Ramp with Calgary Olimpic Development Association,permit,completed
calgary,#4801DA 2016A AIRPORT RD NE,CALGARY INTERNATIONAL AIRPORT,,51.13440933289924,-114.00193422649242,yes,building,6,6,0,ramp,2015-11-04T00:00:00.000,2015-12-14T00:00:00.000,BP2015-14758; BP2015-12971; BP2015-14189; BP2015-12945; BP2015-12940; BP2015-15334,,Interior Alteration - ATS- Ramp Offices G & H,permit,completed
calgary,1040 7 AV SW,DOWNTOWN WEST END,,51.04726677736617,-114.08550428948574,yes,building+development,6,2,4,accessible; lift; ramp; wheelchair,2013-03-27T00:00:00.000,2024-12-16T00:00:00.000,BP2013-10258; BP2024-13461,DP2023-05406; DP2022-05841; DP2013-2291; DP2013-1257,"Wheel chair lift, exterior door replacement, exterior cladding.",permit,completed
calgary,#1111 6455 MACLEOD TR SW,MEADOWLARK PARK,,50.997667303614165,-114.07201134712791,yes,building+development,5,4,1,barrier-free; lift,2012-08-14T00:00:00.000,2025-07-29T00:00:00.000,BP2015-10168; BP2023-02527; BP2012-17127; BP2025-13629,DP2012-3434,Barrier free bathroom addiiton,permit,completed
calgary,101 6 AV SW,DOWNTOWN COMMERCIAL CORE,,51.04733159650895,-114.06331536746231,yes,building,5,5,0,lift,2001-06-15T00:00:00.000,2017-05-10T00:00:00.000,BP2003-08871; BP2004-15879; BP2001-05360; BP2012-05593; BP2017-04681,,Renovation to Elevator Lobby,permit,completed
calgary,#100 317 7 AV SW,DOWNTOWN COMMERCIAL CORE,,51.04587168209523,-114.06975838412536,yes,building,4,4,0,lift; ramp,2009-07-29T00:00:00.000,2019-07-10T00:00:00.000,BP2009-10107; BP2015-03919; BP2009-07382; BP2019-08126,,Interior Partitioning (Adding Elevator),permit,completed
calgary,#147 10905 48 ST SE,EAST SHEPARD INDUSTRIAL,,50.9562592067048,-113.96543099314697,yes,building+development,4,2,2,ramp,2011-06-08T00:00:00.000,2020-12-01T00:00:00.000,BP2019-17118; BP2011-09270,DP2011-2071; DP2019-5507,Exterior Alterations - Exterior Ramp & New Overhead Door,permit,completed
calgary,#600 333 7 AV SW,DOWNTOWN COMMERCIAL CORE,,51.0465321327232,-114.06905869573988,yes,building,4,4,0,lift,2002-09-04T00:00:00.000,2020-04-09T00:00:00.000,BP2020-03844; BP2015-00166; BP2017-08496; BP2002-07878,,Dome building Elevator lobby alterations,permit,completed
calgary,150 9 AV SW,DOWNTOWN COMMERCIAL CORE,,51.04478242598899,-114.06478765515455,yes,building,4,4,0,lift,2016-11-18T00:00:00.000,2025-12-01T00:00:00.000,BP2025-22423; BP2020-18730; BP2022-04915; BP2016-14077,,ELEVATOR MACHINE ROOM SPRINKLER PRE-ACTION PANEL/DEVICE REPLACEMENT,permit,completed
calgary,635 8 AV SW,DOWNTOWN COMMERCIAL CORE,,51.04575186464155,-114.07583848527788,yes,building,4,4,0,lift; ramp,2014-10-31T00:00:00.000,2022-11-24T00:00:00.000,BP2014-16228; BP2018-11933; BP2021-15248; BP2022-17419,,Parkade ramp repair,permit,completed
