city,address,neighbourhood,ward,latitude,longitude,has_coords,sources,total_permits,n_building_permits,n_development_permits,keywords,earliest_permit_date,latest_permit_date,building_row_ids,development_file_numbers,sample_description,coord_source,completion
calgary,2046 BIRCH CR SE,SOUTHVIEW,,51.034,-113.991,yes,development,5,0,5,handicap,2009-02-27T00:00:00.000,2023-02-13T00:00:00.000,,DP2023-00909; DP2010-1461; DP2013-0773; DP2009-0594; DP2018-0842,TEMPORARY USE: HOME OCCUPATION - CLASS 2 (HANDICAP AUTO EQUIPPING - 5 YEARS),permit,unknown
calgary,84 VALLEY RIDGE GR NW,VALLEY RIDGE,,51.09344623478361,-114.2548902112604,yes,development,3,0,3,ramp,2009-09-18T00:00:00.000,2012-02-21T00:00:00.000,,DP2012-0650; DP2009-3397; DP2011-0465,RELAXATION: SKATEBOARD RAMP [ONE YEAR],permit,unknown
calgary,#101R 723 MCDOUGALL RD NE,BRIDGELAND/RIVERSIDE,,51.050692657788424,-114.04707873222335,yes,building,2,2,0,mobility,2025-06-05T00:00:00.000,2025-06-11T00:00:00.000,BP2025-06071; BP2025-06072,,"A new, three storey, 5 unit townhouse, with secondary suites, detached accessory building (mobility storage), Part 9, Group C occupancy",permit,issued
calgary,#705 3204 RIDEAU PL SW,RIDEAU PARK,,51.02497339234592,-114.07263644256366,yes,building,2,2,0,accessible; mobility; ramp; wheelchair,2001-01-17T00:00:00.000,2025-07-15T00:00:00.000,BP2001-00263; BP2025-09909,,Modifying Walls and Bathrooms to Accomodate Wheelchair Mobility,permit,completed
calgary,11620 OAKFIELD DR SW,CEDARBRAE,,50.954241848005026,-114.11981164545568,yes,building+development,2,1,1,ramp,2011-07-07T00:00:00.000,2012-01-25T00:00:00.000,BP2011-15552,DP2011-2584,Cover Existing Parkade Ramp,permit,issued
calgary,12 STRATHAVEN CI SW,STRATHCONA PARK,,51.046460228333046,-114.18205480529157,yes,development,2,0,2,lift,2010-04-06T00:00:00.000,2011-06-08T00:00:00.000,,DP2011-2086; DP2010-1252,HOME OCCUPATION - CLASS 2: MICRO-CURRENT FACELIFT (3 YEARS),permit,unknown
calgary,26 SKYVIEW SHORES PL NE,SKYVIEW RANCH,,51.156,-113.966,yes,development,2,0,2,ramp; wheelchair,2025-04-21T00:00:00.000,2025-06-02T00:00:00.000,,DP2025-02315; DP2025-03245,NEW: DECK (WHEELCHAIR RAMP) - PROJECTION INTO FRONT SETBACK,permit,unknown
calgary,3512 73 ST NW,BOWNESS,,51.084,-114.193,yes,development,2,0,2,mobility,2026-03-31T00:00:00.000,2026-04-08T00:00:00.000,,DP2026-01830; DP2026-01974,"REVISION: ROWHOUSE BUILDING, SECONDARY SUITE, ACCESSORY RESIDENTIAL BUILDING (LANDSCAPING AND MOBILITY STORAGE)",permit,unknown
calgary,3916 30 AV SW,GLENBROOK,,51.027,-114.143,yes,development,2,0,2,mobility,2024-01-29T00:00:00.000,2024-04-17T00:00:00.000,,DP2024-00651; DP2024-02688,"NEW: ROWHOUSE BUILDING (1 BUILDING), SECONDARY SUITE (4 SUITES) ACCESSORY RESIDENTIAL BUILDING (GARAGE, MOBILITY STORAGE)",permit,unknown
calgary,401 52 AV SW,WINDSOR PARK,,51.007,-114.072,yes,development,2,0,2,lift; ramp,2021-02-04T00:00:00.000,2022-11-03T00:00:00.000,,DP2022-07616; DP2021-0711,CHANGES TO SITE PLAN: ASSISTED LIVING (NEW LIFT AND DECK),permit,unknown
calgary,4759 RUNDLEHORN DR NE,RUNDLE,,51.070511984524465,-113.96621249183248,yes,development,2,0,2,ramp,1994-05-09T00:00:00.000,1996-05-31T00:00:00.000,,DP1994-1662; DP1996-1462,CONVERTED JOB - HOME OCCUPATION - (CLASS 2) REPAIR OF TRAMPOLINES (2 YEARS),permit,unknown
calgary,5010 50 ST SW,GLAMORGAN,,51.00957258276376,-114.15982251529657,yes,building+development,2,1,1,lift,2016-07-18T00:00:00.000,2016-09-15T00:00:00.000,BP2016-09712,DP2016-2939,Elevator and Elevator Lobby Addition,permit,completed
calgary,509 21 AV SW,CLIFF BUNGALOW,,51.034,-114.072,yes,development,2,0,2,barrier-free; ramp,2022-10-27T00:00:00.000,2022-11-08T00:00:00.000,,DP2022-07486; DP2022-07707,CHANGES TO SITE PLAN: EXTERIOR RENOVATIONS (BARRIER FREE RAMP),permit,unknown
