permitnum,statuscurrent,applieddate,issueddate,completeddate,permittype,permittypemapped,permitclass,permitclassgroup,permitclassmapped,workclass,workclassgroup,workclassmapped,description,applicantname,housingunits,estprojectcost,originaladdress,communitycode,communityname,latitude,longitude,locationcount,locationtypes,locationaddresses,locationswkt,locationsgeojson,point,contractorname
BP2022-15859,Completed,2022-09-15T00:00:00.000,2022-10-31T00:00:00.000,2024-03-25T00:00:00.000,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,Alteration,Improvement,Existing,Interior Alterations (2nd Floor ESDC Meeting Room & Accessible Washroom),SAHURI + PARTNERS ARCHITECTURE,0,26000,#270 220 4 AV SE,CHN,CHINATOWN,51.04936568025034,-114.05915357893097,3,Titled Parcel;Building;Building Suite,220 4 AV SE;220 4 AV SE;#270 220 4 AV SE,"MULTIPOINT (-114.05915357893097 51.04936568025034,-114.0590193125028 51.049946484451006,-114.0590193125028 51.049946484451006)","{""type"":""MultiPoint"",""coordinates"":[[-114.0591536,51.0493657],[-114.0590193,51.0499465],[-114.0590193,51.0499465]]}","{'type': 'Point', 'coordinates': [-114.05915357893097, 51.04936568025034]}",
BP2023-02287,Completed,2023-02-24T00:00:00.000,2023-09-06T00:00:00.000,2024-04-29T00:00:00.000,Commercial / Multi Family Project,Building,5107 - Museum,Institutional,Non-Residential,Fire/ Security Alarm,Unspecified,,Flight Museum New Vestibule and Loading Dock Ramp,ACE ARCHITECTURE,0,20000,4629 MCCALL WY NE,PEG,PEGASUS,51.094083244746685,-114.01179279643598,2,Titled Parcel;Building,4629 MCCALL WY NE;4629 MCCALL WY NE,"MULTIPOINT (-114.01179279643598 51.094083244746685,-114.01367113258046 51.094414201178324)","{""type"":""MultiPoint"",""coordinates"":[[-114.0117928,51.0940832],[-114.0136711,51.0944142]]}","{'type': 'Point', 'coordinates': [-114.01179279643598, 51.094083244746685]}",TAYLOR CONSTRUCTION
BP2023-03131,Cancelled,2023-03-13T00:00:00.000,2023-05-01T00:00:00.000,2024-02-26T00:00:00.000,Commercial / Multi Family Project,Building,3204 - Warehouse/Office,Commercial,Non-Residential,Alteration,Improvement,Existing,Barrier Free Washroom Only,,0,,#141 7121 104 AV SE,ESH,EAST SHEPARD INDUSTRIAL,50.96492915174087,-113.93271593480164,3,Titled Parcel;Building;Building Suite,7123 104 AV SE;7121 104 AV SE;#141 7121 104 AV SE,"MULTIPOINT (-113.93271593480164 50.96492915174087,-113.93311857320218 50.96498120051403,-113.93305826416889 50.96548952441844)","{""type"":""MultiPoint"",""coordinates"":[[-113.9327159,50.9649292],[-113.9331186,50.9649812],[-113.9330583,50.9654895]]}","{'type': 'Point', 'coordinates': [-113.93271593480164, 50.96492915174087]}",LEDCOR CONSTRUCTION
BP2023-05976,Completed,2023-04-30T00:00:00.000,2023-06-16T00:00:00.000,2024-04-03T00:00:00.000,Commercial / Multi Family Project,Building,5303 - Special Care Facility,Institutional,Non-Residential,Alteration,Improvement,Existing,Deck and wheelchair lift,,0,30000,403 52 AV SW,WND,WINDSOR PARK,51.006816380684455,-114.07171163481888,2,Titled Parcel;Building,401 52 AV SW;403 52 AV SW,"MULTIPOINT (-114.07171163481888 51.006816380684455,-114.07181807859796 51.00671730172555)","{""type"":""MultiPoint"",""coordinates"":[[-114.0717116,51.0068164],[-114.0718181,51.0067173]]}","{'type': 'Point', 'coordinates': [-114.07171163481888, 51.006816380684455]}",
BP2024-05534,Completed,2024-04-01T00:00:00.000,2024-05-07T00:00:00.000,2025-06-12T00:00:00.000,Commercial / Multi Family Project,Building,3305 - Service Station,Commercial,Non-Residential,Alteration,Improvement,Existing,Hidden Valley Lift Station -Lift Station Confned Spaces Upgrades,,0,455646,44 HIDDEN CREEK DR NW,HID,HIDDEN VALLEY,51.155204340969725,-114.10314739867322,2,Titled Parcel;Building,44 HIDDEN CREEK DR NW;44 HIDDEN CREEK DR NW,"MULTIPOINT (-114.10314739867322 51.155204340969725,-114.10311588617415 51.15515627457749)","{""type"":""MultiPoint"",""coordinates"":[[-114.1031474,51.1552043],[-114.1031159,51.1551563]]}","{'type': 'Point', 'coordinates': [-114.10314739867322, 51.155204340969725]}",GRAHAM INFRASTRUCTURE LP
BP2020-17210,Completed,2020-11-24T00:00:00.000,2020-11-27T00:00:00.000,2024-04-30T00:00:00.000,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,Fire/ Security Alarm,Unspecified,,Mission Centre Elevator Modernization and Fire Alarm Upgrade,GUNN CONSULTANTS,0,860000,2303A 4 ST SW,CLI,CLIFF BUNGALOW,51.032260164942095,-114.07170933574156,3,Titled Parcel;Building;Entryway,2303 4 ST SW;2303 4 ST SW;2303A 4 ST SW,"MULTIPOINT (-114.07170933574156 51.032260164942095,-114.07186768355963 51.03221247591708,-114.07186768355963 51.03221247591708)","{""type"":""MultiPoint"",""coordinates"":[[-114.0717093,51.0322602],[-114.0718677,51.0322125],[-114.0718677,51.0322125]]}","{'type': 'Point', 'coordinates': [-114.07170933574156, 51.032260164942095]}",
BP2006-16834,Completed,2006-09-29T00:00:00.000,2006-10-23T00:00:00.000,2011-05-05T00:00:00.000,Commercial / Multi Family Project,Building,5401 - Church,Institutional,Non-Residential,Alteration,Improvement,Existing,Adding Platform Lift to Interior,"THE ANGLICAN CHURCH OF CANADA, PARISH OF CHRIST CHURCH CALGARY..",0,41500,3602 8 ST SW,EPK,ELBOW PARK,51.02267613207897,-114.08344208363222,2,Titled Parcel;Building,3602 8 ST SW;3602 8 ST SW,"MULTIPOINT (-114.08344208363222 51.02267613207897,-114.08317415076307 51.02300901645212)","{""type"":""MultiPoint"",""coordinates"":[[-114.0834421,51.0226761],[-114.0831742,51.023009]]}","{'type': 'Point', 'coordinates': [-114.08344208363222, 51.02267613207897]}",
BP2025-03033,Completed,2025-02-21T00:00:00.000,2025-02-28T00:00:00.000,2025-05-01T00:00:00.000,Commercial / Multi Family Project,Building,2105 - Brewery/Distillery,Industrial,Non-Residential,Alteration,Improvement,Existing,Elevator cab installed in existing hoistway,GGA - ARCHITECTURE,0,116.5,#119 519 34 AV SE,MNI,MANCHESTER INDUSTRIAL,51.02314159439802,-114.05177623808963,3,Titled Parcel;Building;Building Suite,519 34 AV SE;519 34 AV SE;#119 519 34 AV SE,"MULTIPOINT (-114.05177623808963 51.02314159439802,-114.05178103597903 51.022867763956654,-114.05156207616557 51.022875780758675)","{""type"":""MultiPoint"",""coordinates"":[[-114.0517762,51.0231416],[-114.051781,51.0228678],[-114.0515621,51.0228758]]}","{'type': 'Point', 'coordinates': [-114.05177623808963, 51.02314159439802]}",GRAHAM CONSTRUCTION AND ENGINEERING LP
BP2023-03995,Completed,2023-03-28T00:00:00.000,2023-07-05T00:00:00.000,2024-03-05T00:00:00.000,Commercial / Multi Family Project,Building,"5111 - School, Separate",Institutional,Non-Residential,Alteration,Improvement,Existing,"St. Bede Barrier Free Washroom Renovation, Group A2",,0,150000,333 BERMUDA DR NW,BED,BEDDINGTON HEIGHTS,51.13223461582622,-114.08197464149575,2,Titled Parcel;Building,333 BERMUDA DR NW;333 BERMUDA DR NW,"MULTIPOINT (-114.08197464149575 51.13223461582622,-114.08279212448794 51.131686501435716)","{""type"":""MultiPoint"",""coordinates"":[[-114.0819746,51.1322346],[-114.0827921,51.1316865]]}","{'type': 'Point', 'coordinates': [-114.08197464149575, 51.13223461582622]}",
BP2023-13746,Completed,2023-08-17T00:00:00.000,2023-08-25T00:00:00.000,2024-03-06T00:00:00.000,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,Alteration,Improvement,Existing,Interior Alteration - 16th Floor Elevator Lobby,SHEARER LICENSED INTERIOR DESIGN,0,65000,#1600 250 6 AV SW,DNC,DOWNTOWN COMMERCIAL CORE,51.047693767916016,-114.06714522683207,3,Titled Parcel;Building;Building Suite,250 6 AV SW;250 6 AV SW;#1600 250 6 AV SW,"MULTIPOINT (-114.06714522683207 51.047693767916016,-114.06706336218755 51.04785929785901,-114.06706336218755 51.04785929785901)","{""type"":""MultiPoint"",""coordinates"":[[-114.0671452,51.0476938],[-114.0670634,51.0478593],[-114.0670634,51.0478593]]}","{'type': 'Point', 'coordinates': [-114.06714522683207, 51.047693767916016]}",LABBE-LEECH INTERIORS
BP2023-06795,Completed,2023-05-11T00:00:00.000,2023-07-28T00:00:00.000,2025-10-10T00:00:00.000,Commercial / Multi Family Project,Building,2408 - Sewage Station,Industrial,Non-Residential,New,New,New,Palliser Sanitary Lift Station ¿ Addition & Upgrades,CHANDOS CONSTRUCTION,0,5342099.61,9039 24 ST SW,GPK,GLENMORE PARK,50.97268751810544,-114.11810865264901,2,Titled Parcel;Building,9035 24 ST SW;9039 24 ST SW,"MULTIPOINT (-114.11810865264901 50.97268751810544,-114.11816792169704 50.972589738511786)","{""type"":""MultiPoint"",""coordinates"":[[-114.1181087,50.9726875],[-114.1181679,50.9725897]]}","{'type': 'Point', 'coordinates': [-114.11810865264901, 50.97268751810544]}",
BP2025-22423,Completed,2025-11-20T00:00:00.000,2025-12-01T00:00:00.000,2026-02-10T00:00:00.000,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,Fire/ Security Alarm,Unspecified,,ELEVATOR MACHINE ROOM SPRINKLER PRE-ACTION PANEL/DEVICE REPLACEMENT,SELETECH ELECTRICAL*,0,15000,150 9 AV SW,DNC,DOWNTOWN COMMERCIAL CORE,51.04478242598899,-114.06478765515455,2,Titled Parcel;Building,150 9 AV SW;150 9 AV SW,"MULTIPOINT (-114.06478765515455 51.04478242598899,-114.06465629343843 51.044931117013824)","{""type"":""MultiPoint"",""coordinates"":[[-114.0647877,51.0447824],[-114.0646563,51.0449311]]}","{'type': 'Point', 'coordinates': [-114.06478765515455, 51.04478242598899]}",
BP2023-19628,Completed,2023-11-14T00:00:00.000,2024-01-16T00:00:00.000,2024-07-05T00:00:00.000,Commercial / Multi Family Project,Building,3204 - Warehouse/Office,Commercial,Non-Residential,Alteration,Improvement,Existing,Exterior alteration - Overhead door and ramp,,0,85000,2750 CENTRE AV NE,MER,MERIDIAN,51.052500041867475,-113.99690589620023,2,Titled Parcel;Building,2620 CENTRE AV NE;2750 CENTRE AV NE,"MULTIPOINT (-113.99690589620023 51.052500041867475,-113.9950764436912 51.052837219508085)","{""type"":""MultiPoint"",""coordinates"":[[-113.9969059,51.0525],[-113.9950764,51.0528372]]}","{'type': 'Point', 'coordinates': [-113.99690589620023, 51.052500041867475]}",
BP2024-11894,Issued Permit,2024-06-14T00:00:00.000,2024-07-04T00:00:00.000,,Commercial / Multi Family Project,Building,6399 - Municipal/Commercial Misc.,Government,Non-Residential,Alteration,Improvement,Existing,"Washroom renovations, barrier-free accessibility upgrades on all 6 stories of the existing 6 storey building",GGA - ARCHITECTURE,0,1500000,#701P 1 DERMOT BALDWIN WY SE,DNE,DOWNTOWN EAST VILLAGE,51.04888317674012,-114.05302322697763,3,Titled Parcel;Building;Building Suite,1 DERMOT BALDWIN WY SE;1 DERMOT BALDWIN WY SE;#701P 1 DERMOT BALDWIN WY SE,"MULTIPOINT (-114.05302322697763 51.04888317674012,-114.05371956703337 51.04884848205758,-114.05371956703337 51.04884848205758)","{""type"":""MultiPoint"",""coordinates"":[[-114.0530232,51.0488832],[-114.0537196,51.0488485],[-114.0537196,51.0488485]]}","{'type': 'Point', 'coordinates': [-114.05302322697763, 51.04888317674012]}",CANA CONSTRUCTION
BP2003-08871,Completed,2003-07-09T00:00:00.000,2003-07-23T00:00:00.000,2004-04-20T00:00:00.000,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,Alteration,Improvement,Existing,Renovation to Elevator Lobby,PEREGRIN PROPERTY SERVICES,0,30000,101 6 AV SW,DNC,DOWNTOWN COMMERCIAL CORE,51.04733159650895,-114.06331536746231,2,Titled Parcel;Building,101 6 AV SW;101 6 AV SW,"MULTIPOINT (-114.06331536746231 51.04733159650895,-114.06334166397656 51.04716315067418)","{""type"":""MultiPoint"",""coordinates"":[[-114.0633154,51.0473316],[-114.0633417,51.0471632]]}","{'type': 'Point', 'coordinates': [-114.06331536746231, 51.04733159650895]}",
BP2012-11854,Completed,2012-08-24T00:00:00.000,2012-09-06T00:00:00.000,2013-02-08T00:00:00.000,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,Repair,Improvement,Existing,Repair Existing Ramp,BURTON GENERAL CONTRACTING,0,111780,605 5 AV SW,DNC,DOWNTOWN COMMERCIAL CORE,51.048585185242125,-114.07451041702821,2,Titled Parcel;Building,605 5 AV SW;605 5 AV SW,"MULTIPOINT (-114.07451041702821 51.048585185242125,-114.0744856224241 51.04843819201082)","{""type"":""MultiPoint"",""coordinates"":[[-114.0745104,51.0485852],[-114.0744856,51.0484382]]}","{'type': 'Point', 'coordinates': [-114.07451041702821, 51.048585185242125]}",BURTON GENERAL CONTRACTING
BP2005-15710,Completed,2005-10-14T00:00:00.000,2005-10-25T00:00:00.000,2007-06-29T00:00:00.000,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,Alteration,Improvement,Existing,"Elevator lobby upgrades on 35th, 36th & 37th floors",COUGAR CONTRACTORS,0,76900,421 7 AV SW,DNC,DOWNTOWN COMMERCIAL CORE,51.046617261585794,-114.07092668402383,2,Titled Parcel;Building,421 7 AV SW;421 7 AV SW,"MULTIPOINT (-114.07092668402383 51.046617261585794,-114.07095471409163 51.04648168840916)","{""type"":""MultiPoint"",""coordinates"":[[-114.0709267,51.0466173],[-114.0709547,51.0464817]]}","{'type': 'Point', 'coordinates': [-114.07092668402383, 51.046617261585794]}",COUGAR CONTRACTORS
BP2008-13210,Completed,2008-10-21T00:00:00.000,2008-11-07T00:00:00.000,2009-06-26T00:00:00.000,Commercial / Multi Family Project,Building,"5111 - School, Separate",Institutional,Non-Residential,Alteration,Improvement,Existing,Exterior Alteration (ramp only),QUINN YOUNG ARCHITECTS,0,40000,120 23 ST NW,WHL,WEST HILLHURST,51.052966848648616,-114.11520874559545,1,Titled Parcel,120 23 ST NW,POINT (-114.11520874559545 51.052966848648616),"{""type"":""Point"",""coordinates"":[-114.1152087,51.0529668]}","{'type': 'Point', 'coordinates': [-114.11520874559545, 51.052966848648616]}",
BP2021-16295,Completed,2021-09-16T00:00:00.000,2021-10-24T00:00:00.000,2022-11-16T00:00:00.000,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,Alteration,Improvement,Existing,Suncor Energy Centre - Elevator Modification,WESTERN ELECTRICAL CONSTRUCTORS,0,360037,150 6 AV SW,DNC,DOWNTOWN COMMERCIAL CORE,51.04828448444429,-114.06411684887775,2,Titled Parcel;Building,117 5 AV SW;150 6 AV SW,"MULTIPOINT (-114.06411684887775 51.04828448444429,-114.06447970724544 51.04798475605248)","{""type"":""MultiPoint"",""coordinates"":[[-114.0641168,51.0482845],[-114.0644797,51.0479848]]}","{'type': 'Point', 'coordinates': [-114.06411684887775, 51.04828448444429]}",WESTERN ELECTRICAL CONSTRUCTORS
