point,permitnum,address,category,description,proposedusecode,proposedusedescription,permitteddiscretionary,landusedistrict,landusedistrictdescription,statuscurrent,applieddate,decisiondate,releasedate,mustcommencedate,decision,decisionby,communitycode,communityname,ward,quadrant,latitude,longitude,locationcount,locationtypes,locationaddresses,locationsgeojson,locationswkt,canceledrefuseddate,sdabhearingdate,sdabnumber,sdabdecision,sdabdecisiondate
"{'type': 'Point', 'coordinates': [-114.0654016842492, 50.95076218780573]}",DP2023-03276,100 ANDERSON RD SE,Commercial - Other Areas,"ADDITION: INDOOR RECREATION FACILITY, CINEMA, DRINKING ESTABLISHMENT - LARGE, RESTAURANT: LICENSED (STAIR AND ELEVATOR)",C1320; C1480; C1770; C2485 ,CINEMA; DRINKING ESTABLISHMENT - LARGE; INDOOR RECREATION FACILITY; RESTAURANT: LICENSED,Discretionary,C-R2 f2.0,Commercial - Regional 2,Released,2023-05-19T00:00:00.000,2023-10-02T00:00:00.000,2023-10-26T00:00:00.000,2025-10-02T00:00:00.000,Approval,Development Authority,WIL,WILLOW PARK,11,SE,50.951,-114.065,2,Titled Parcel;Building,100 ANDERSON RD SE;100 ANDERSON RD SE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0654017,50.9507622],[-114.0661672,50.952583]]}","MULTIPOINT ((-114.0654016842492 50.95076218780573),(-114.06616722489731 50.95258295313279))",,,,,
"{'type': 'Point', 'coordinates': [-114.08550428948574, 51.04726677736617]}",DP2023-05406,1040 7 AV SW,Change of Use - With Change to Site Plan,CHANGES TO SITE PLAN: MULTI-USE COMMERCIAL (NEW ACCESSIBLE RAMP),B9999,OTHER,Discretionary,DC,DIRECT CONTROL DISTRICT                                 ,Released,2023-08-08T00:00:00.000,2023-09-20T00:00:00.000,2024-01-24T00:00:00.000,2026-09-20T00:00:00.000,Approval,Development Authority,DNW,DOWNTOWN WEST END,7,SW,51.047,-114.086,2,Titled Parcel;Building,1040 7 AV SW;1040 7 AV SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.0855043,51.0472668],[-114.0855073,51.0473998]]}","MULTIPOINT ((-114.08550428948574 51.04726677736617),(-114.08550732962966 51.04739979619328))",,,,,
"{'type': 'Point', 'coordinates': [-114.20085496960843, 51.15230927272965]}",DP2023-06078,#120 41 ROYAL VISTA DR NW,Change of Use - With Change to Site Plan,"CHANGES TO SITE PLAN: GENERAL INDUSTRIAL - LIGHT (BARRIER FREE RAMP, PARKING CONFIGURATION AND NEW ENTRY DOOR)",C1685,GENERAL INDUSTRIAL - LIGHT,Permitted,DC,Direct Control (1P2007),Released,2023-08-30T00:00:00.000,2023-10-19T00:00:00.000,2023-10-19T00:00:00.000,2026-10-19T00:00:00.000,Approval,Development Authority,RYV,ROYAL VISTA,1,NW,51.152,-114.201,3,Titled Parcel;Building;Building Suite,41 ROYAL VISTA DR NW;41 ROYAL VISTA DR NW;#120 41 ROYAL VISTA DR NW,"{""type"":""MultiPoint"",""coordinates"":[[-114.200855,51.1523093],[-114.2002063,51.1525067],[-114.1998941,51.1525308]]}","MULTIPOINT ((-114.20085496960843 51.15230927272965),(-114.20020634340274 51.15250673503729),(-114.19989406996659 51.15253083076855))",,,,,
"{'type': 'Point', 'coordinates': [-113.95514018982368, 50.994363643764856]}",DP2018-2893,10 SMED LN SE,Renovations - Non-Residential,"EXTERIOR RENOVATIONS: MULTI-USE INDUSTRIAL (OVERHEAD DOOR & RAMP, MAN DOOR, NEW WINDOWS)",C1685,GENERAL INDUSTRIAL - LIGHT,Discretionary,I-G,Industrial - General,Cancelled,2018-06-15T00:00:00.000,,,,,,STD,STARFIELD,9,SE,50.994,-113.955,2,Titled Parcel;Building,10 SMED LN SE;10 SMED LN SE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9551402,50.9943636],[-113.9540978,50.9961662]]}","MULTIPOINT ((-113.95514018982368 50.994363643764856),(-113.95409775808649 50.99616617226228))",2022-10-13T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-113.99690589620023, 51.052500041867475]}",DP2023-07862,2750 CENTRE AV NE,Renovations - Non-Residential,EXTERIOR RENOVATIONS: GENERAL INDUSTRIAL - LIGHT (NEW BAY DOOR); CHANGES TO SITE PLAN: GENERAL INDUSTRIAL - LIGHT (LOADING RAMP),C1685,GENERAL INDUSTRIAL - LIGHT,Permitted,I-G,Industrial - General,Released,2023-11-06T00:00:00.000,2023-12-28T00:00:00.000,2024-01-03T00:00:00.000,2025-12-28T00:00:00.000,Approval,Development Authority,MER,MERIDIAN,10,NE,51.053,-113.997,2,Titled Parcel;Building,2620 CENTRE AV NE;2750 CENTRE AV NE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9969059,51.0525],[-113.9950764,51.0528372]]}","MULTIPOINT ((-113.99690589620023 51.052500041867475),(-113.9950764436912 51.052837219508085))",,,,,
"{'type': 'Point', 'coordinates': [-114.0833735616761, 50.99801035067983]}",DP2022-04414,6031 ELBOW DR SW,Change of Use - With Change to Site Plan,"CHANGES TO SITE PLAN: CHURCH (RAMP, STAIRS, MINOR PARKING STALL RECONFIGURATION)",B9997,OTHER COMMERCIAL,Discretionary,DC,DIRECT CONTROL DISTRICT                                 ,Released,2022-06-22T00:00:00.000,2022-08-08T00:00:00.000,2022-09-02T00:00:00.000,2025-08-08T00:00:00.000,Approval,Development Authority,BEL,BEL-AIRE,11,SW,50.998,-114.083,2,Titled Parcel;Building,6031 ELBOW DR SW;6031 ELBOW DR SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.0833736,50.9980104],[-114.0838497,50.9982036]]}","MULTIPOINT ((-114.0833735616761 50.99801035067983),(-114.08384972223544 50.99820357845735))",,,,,
"{'type': 'Point', 'coordinates': [-114.01127232553141, 50.99105896586028]}",DP2023-08603,2110 69 AV SE,Change of Use - With Change to Site Plan,CHANGES TO SITE PLAN: COMMUNITY RECREATION FACILITY (NEW BARRIER FREE RAMP AND STAIRS); EXTERIOR RENOVATIONS: COMMUNITY RECREATION FACILITY (REFURBISH BUILDING FACADE),C1350,COMMUNITY RECREATION FACILITY,Discretionary,S-CS,Special Purpose - Community Service,Released,2023-12-07T00:00:00.000,2024-04-18T00:00:00.000,2024-05-16T00:00:00.000,2026-04-18T00:00:00.000,Approval,Development Authority,OGD,OGDEN,9,SE,50.991,-114.011,2,Titled Parcel;Building,2110 69 AV SE;2110 69 AV SE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0112723,50.991059],[-114.010851,50.9914623]]}","MULTIPOINT ((-114.01127232553141 50.99105896586028),(-114.01085099148838 50.99146232484851))",,,,,
"{'type': 'Point', 'coordinates': [-114.10649064280548, 51.023306813579595]}",DP2022-05923,1934 34 AV SW,Renovations - Non-Residential,"REVISION: RETAIL AND CONSUMER SERVICE (ADDING LIFTS, CHANGES TO DP2021-8610)",C2515,RETAIL AND CONSUMER SERVICE,Permitted,MU-1 f3.0h16,Mixed Use - General,Released,2022-08-23T00:00:00.000,2022-09-26T00:00:00.000,2022-09-27T00:00:00.000,2024-09-26T00:00:00.000,Approval,Development Authority,SOC,SOUTH CALGARY,8,SW,51.023,-114.106,2,Titled Parcel;Building,1934 34 AV SW;1934 34 AV SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.1064906,51.0233068],[-114.106502,51.0233797]]}","MULTIPOINT ((-114.10649064280548 51.023306813579595),(-114.1065019992855 51.02337971924952))",,,,,
"{'type': 'Point', 'coordinates': [-114.04286603313211, 51.05301362644848]}",DP2023-04191,925 1 AV NE,Change of Use - With Change to Site Plan,CHANGES TO SITE PLAN: FITNESS CENTRE (NEW RAMP),C1600,FITNESS CENTRE,Permitted,MU-2 f3.0h16,Mixed Use - Active Frontage,Released,2023-06-22T00:00:00.000,2023-09-21T00:00:00.000,2023-12-11T00:00:00.000,2025-09-21T00:00:00.000,Approval,Development Authority,BRD,BRIDGELAND/RIVERSIDE,9,NE,51.053,-114.043,3,Titled Parcel;Building;Entryway,118 8 ST NE;118 8 ST NE;925 1 AV NE,"{""type"":""MultiPoint"",""coordinates"":[[-114.042866,51.0530136],[-114.0423588,51.0530522],[-114.0420154,51.0530773]]}","MULTIPOINT ((-114.04286603313211 51.05301362644848),(-114.04235884142533 51.053052188469145),(-114.04201544948327 51.05307728585137))",,,,,
"{'type': 'Point', 'coordinates': [-114.06374573859456, 51.04449796075336]}",DP2014-0144,130 10 AV SE,Commercial - Downtown,"NEW: OFFICES, RETAIL STORE, PERSONAL SERVICE BUSINESS/ESTABLISHMENT (2 TOWERS, 2 PHASES); EXTERIOR RENOVATIONS: PARKADE RAMP (LANEWAY RECONFIGURATION & REFURBISHING); ADDITION: +30 WALKWAY (SOUTH ELEVATION)",B6700; B7115; B7880,OFFICES; PERSONAL SERVICE BUSINESS/ESTABLISHMENT; RETAIL STORE,Discretionary,DC,DIRECT CONTROL DISTRICT                                 ,Lapsed,2014-01-15T00:00:00.000,2015-01-15T00:00:00.000,,2023-01-15T00:00:00.000,Approval,Calgary Planning Commission,DNC,DOWNTOWN COMMERCIAL CORE,7,SW,51.044,-114.064,7,Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel,131 9 AV SW;140 10 AV SE;130 10 AV SE;101 9 AV SW;104R 10 AV SE;120 10 AV SW;125 9 AV SE,"{""type"":""MultiPoint"",""coordinates"":[[-114.0637457,51.044498],[-114.0612751,51.0433819],[-114.0623619,51.0434128],[-114.063134,51.0444822],[-114.0627577,51.0437177],[-114.0639597,51.0434594],[-114.0614194,51.0444336]]}","MULTIPOINT ((-114.06374573859456 51.04449796075336),(-114.06127513644084 51.04338192093176),(-114.06236194882321 51.04341281017715),(-114.06313398203307 51.04448217420993),(-114.06275772541655 51.04371766502502),(-114.06395968563909 51.043459394589085),(-114.06141944301343 51.04443364422881))",2023-01-20T00:00:00.000,,,,
