point,permitnum,address,applicant,category,description,proposedusecode,proposedusedescription,permitteddiscretionary,landusedistrict,landusedistrictdescription,statuscurrent,applieddate,decisiondate,releasedate,mustcommencedate,decision,decisionby,communitycode,communityname,ward,quadrant,latitude,longitude,locationcount,locationtypes,locationaddresses,locationsgeojson,locationswkt,canceledrefuseddate,sdabnumber,sdabhearingdate,sdabdecision,sdabdecisiondate
"{'type': 'Point', 'coordinates': [-113.99122655008739, 51.034154221057314]}",DP2023-00909,2046 BIRCH CR SE,HANDYCAP MOBILITY SPECIALISTS,Home Occupation Class 2,TEMPORARY USE: HOME OCCUPATION - CLASS 2 (HANDICAP AUTO EQUIPPING - 5 YEARS),C1730,HOME OCCUPATION - CLASS 2,Discretionary,R-C1,Residential - Contextual One Dwelling,Released,2023-02-13T00:00:00.000,2023-03-20T00:00:00.000,2023-04-17T00:00:00.000,2025-03-20T00:00:00.000,Approval,Development Authority,SOV,SOUTHVIEW,9,SE,51.034,-113.991,2,Titled Parcel;Building,2046 BIRCH CR SE;2046 BIRCH CR SE,"{""type"":""MultiPoint"",""coordinates"":[[-113.9912266,51.0341542],[-113.9911514,51.03409]]}","MULTIPOINT ((-113.99122655008739 51.034154221057314),(-113.9911514259156 51.03409004656181))",,,,,
"{'type': 'Point', 'coordinates': [-114.10565157061757, 51.01822385838888]}",DP2023-03128,1962 40 AV SW,SANTHA DESIGN,Change of Use - With Change to Site Plan,CHANGE OF USE: SECONDARY SUITE (4 SUITES); CHANGES TO SITE PLAN: ACCESSORY RESIDENTIAL BUILDING (MOBILITY STORAGE),C1020; C2540,ACCESSORY RESIDENTIAL BUILDING; ROWHOUSE BUILDING,Permitted,R-CG,Residential - Grade-Oriented Infill,Released,2023-05-15T00:00:00.000,2023-09-26T00:00:00.000,2023-10-31T00:00:00.000,2025-09-26T00:00:00.000,Approval,Development Authority,ALT,ALTADORE,8,SW,51.018,-114.106,5,Titled Parcel;Building;Building;Building;Building,1960 40 AV SW;1966 40 AV SW;1968 40 AV SW;1962 40 AV SW;1964 40 AV SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.1056516,51.0182239],[-114.1059617,51.0182784],[-114.1060446,51.018273],[-114.1058058,51.0182785],[-114.1058782,51.0182762]]}","MULTIPOINT ((-114.10565157061757 51.01822385838888),(-114.10596167252687 51.01827839726939),(-114.10604459566746 51.018273027068716),(-114.1058057645772 51.01827853853858),(-114.10587820468402 51.018276153563505))",,,,,
"{'type': 'Point', 'coordinates': [-114.18276322579834, 51.08594296923567]}",DP2022-04631,6504 BOWWOOD DR NW,RICK BALBI ARCHITECT,Renovations - Non-Residential,CHANGE OF USE: CHILD CARE SERVICE (12 CHILDREN); CHANGES TO SITE PLAN: CHILD CARE SERVICE (RAMP),C1310,CHILD CARE SERVICE,Discretionary,M-C1,Multi-Residential - Contextual Low Profile,Released,2022-06-29T00:00:00.000,2022-08-17T00:00:00.000,2022-09-16T00:00:00.000,2024-08-17T00:00:00.000,Approval,Development Authority,BOW,BOWNESS,1,NW,51.086,-114.183,2,Titled Parcel;Building,6504 BOWWOOD DR NW;6504 BOWWOOD DR NW,"{""type"":""MultiPoint"",""coordinates"":[[-114.1827632,51.085943],[-114.1825872,51.0861354]]}","MULTIPOINT ((-114.18276322579834 51.08594296923567),(-114.18258715134407 51.08613539872681))",,,,,
"{'type': 'Point', 'coordinates': [-114.20208682960096, 51.03595056473412]}",DP2022-03062,7953 19 AV SW,NORR ARCHITECTS ENGINEERS PLANNERS,Change of Use - With Change to Site Plan,REVISION: CHANGES TO DP2020-7636 (PARKADE RAMP),C2050,MULTI-RESIDENTIAL DEVELOPMENT,Discretionary,M-H1 h22,Multi-Residential - High Density Low Rise,Released,2022-05-04T00:00:00.000,2022-07-15T00:00:00.000,2022-08-15T00:00:00.000,2025-07-15T00:00:00.000,Approval,Development Authority,SPH,SPRINGBANK HILL,6,SW,51.036,-114.202,2,Titled Parcel;Building,7953 19 AV SW;7953 19 AV SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.2020868,51.0359506],[-114.2017918,51.0354641]]}","MULTIPOINT ((-114.20208682960096 51.03595056473412),(-114.20179180152621 51.035464117263786))",,,,,
"{'type': 'Point', 'coordinates': [-114.13530343800142, 51.03043006392514]}",DP2024-07665,3308 26 AV SW,,Residential - Multi-Family - Minor and Rowhouses,"NEW: DWELLING UNIT (2 BUILDINGS), SECONDARY SUITE (10 SUITES), ACCESSORY RESIDENTIAL BUILDING (GARAGES, MOBILITY STORAGE LOCKERS)",C1020; C1540; C2626,ACCESSORY RESIDENTIAL BUILDING; DWELLING UNIT; SECONDARY SUITE,Permitted,H-GO,Housing - Grade Oriented District (H-GO),Released,2024-10-28T00:00:00.000,2025-06-13T00:00:00.000,2025-09-15T00:00:00.000,2027-06-13T00:00:00.000,Approval,Development Authority,KIL,KILLARNEY/GLENGARRY,8,SW,51.030,-114.135,3,Titled Parcel;Titled Parcel;Titled Parcel,2632 33 ST SW;2636 33 ST SW;3308 26 AV SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.1353034,51.0304301],[-114.1353034,51.0303164],[-114.1349196,51.0301639]]}","MULTIPOINT ((-114.13530343800142 51.03043006392514),(-114.13530340643031 51.030316397430354),(-114.1349196142962 51.03016394329132))",,,,,
"{'type': 'Point', 'coordinates': [-114.04667864070801, 51.050081516325825]}",DP2020-4967,23 MCDOUGALL CO NE,DIALOG,Residential - Multi-Family - Minor and Rowhouses,"NEW: ASSISTED LIVING; CHANGES TO SITE PLAN: ASSISTED LIVING (NEW BARRIER FREE RAMP, STAIRCASE, NEW ENTRANCE CANOPY, LANDSCAPING, PARKING RECONFIGURATION); CHANGE OF USE: ASSISTED LIVING",C1110,ASSISTED LIVING,Discretionary,M-C1,Multi-Residential - Contextual Low Profile,Lapsed,2020-08-10T00:00:00.000,2021-08-11T00:00:00.000,,2023-08-11T00:00:00.000,Approval,Development Authority,BRD,BRIDGELAND/RIVERSIDE,9,NE,51.050,-114.047,1,Titled Parcel,23 MCDOUGALL CO NE,"{""type"":""Point"",""coordinates"":[-114.0466786,51.0500815]}",POINT (-114.04667864070801 51.050081516325825),2023-08-11T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-114.08474683862796, 51.17214831290198]}",DP2023-05417,86 PANTON VW NW,,Relaxation - New - Residential,"ADDITION: SINGLE DETACHED DWELLING (REAR ELEVATOR, DECK, & BALCONY)",C2730,SINGLE DETACHED DWELLING,Permitted with a Relaxation,R-1N,Residential - Narrow Parcel One Dwelling,Cancelled,2023-08-08T00:00:00.000,,,,,,PAN,PANORAMA HILLS,3,NW,51.172,-114.085,2,Titled Parcel;Building,86 PANTON VW NW;86 PANTON VW NW,"{""type"":""MultiPoint"",""coordinates"":[[-114.0847468,51.1721483],[-114.0845488,51.1721502]]}","MULTIPOINT ((-114.08474683862796 51.17214831290198),(-114.0845488171404 51.17215020014605))",2024-02-13T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-114.143429987451, 51.02706421468766]}",DP2024-00651,3916 30 AV SW,,Residential - Multi-Family,"NEW: ROWHOUSE BUILDING (1 BUILDING), SECONDARY SUITE (4 SUITES) ACCESSORY RESIDENTIAL BUILDING (GARAGE, MOBILITY STORAGE)  ",C9999,OTHER,Discretionary,R-C2,Residential - Contextual One/Two Dwelling,Cancelled,2024-01-29T00:00:00.000,,,,,,GBK,GLENBROOK,6,SW,51.027,-114.143,1,Titled Parcel,3916 30 AV SW,"{""type"":""Point"",""coordinates"":[-114.14343,51.0270642]}",POINT (-114.143429987451 51.02706421468766),2024-04-29T00:00:00.000,,,,
"{'type': 'Point', 'coordinates': [-114.12437295559576, 51.03171705367535]}",DP2023-08318,2710 25 AV SW,JOHN TRINH & ASSOCIATES,Residential - Multi-Family,"NEW: ROWHOUSE BUILDING (1 BUILDING), SECONDARY SUITE (4 SUITES) ACCESSORY RESIDENTIAL BUILDING (GARAGE, MOBILITY STORAGE LOCKER)",C1020; C2540,ACCESSORY RESIDENTIAL BUILDING; ROWHOUSE BUILDING,Discretionary,R-CG,Residential - Grade-Oriented Infill,Released,2023-11-24T00:00:00.000,2024-04-09T00:00:00.000,2024-12-05T00:00:00.000,2026-04-09T00:00:00.000,Approval,Development Authority,KIL,KILLARNEY/GLENGARRY,8,SW,51.032,-114.124,2,Titled Parcel;Building,2710 25 AV SW;2439 26 ST SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.124373,51.0317171],[-114.1240393,51.0317738]]}","MULTIPOINT ((-114.12437295559576 51.03171705367535),(-114.12403928798601 51.03177384599291))",,,,,
"{'type': 'Point', 'coordinates': [-114.07818216478609, 51.0410120278976]}",DP2020-1524,720 13 AV SW,MTA URBAN DESIGN ARCHITECTURE INTERIOR DESIGN,Renovations - Non-Residential,"EXTERIOR RENOVATIONS: APARTMENT BUILDING (NEW ENTRANCES & CANOPIES), CHANGES TO SITE PLAN: APARTMENT BUILDING (NEW STAIRS & RAMP)",B1300; C2680; C2700,APARTMENT BUILDING; SIGN - CLASS B; SIGN - CLASS D,Discretionary,DC,DIRECT CONTROL DISTRICT                                 ,Released,2020-03-10T00:00:00.000,2020-06-15T00:00:00.000,2023-07-04T00:00:00.000,2025-06-15T00:00:00.000,Approval,Development Authority,BLN,BELTLINE,8,SW,51.041,-114.078,3,Titled Parcel;Titled Parcel;Building,720 13 AV SW;710 13 AV SW;720 13 AV SW,"{""type"":""MultiPoint"",""coordinates"":[[-114.0781822,51.041012],[-114.0772384,51.0409751],[-114.0781496,51.041161]]}","MULTIPOINT ((-114.07818216478609 51.0410120278976),(-114.07723835351825 51.04097513225649),(-114.0781495900698 51.04116100069245))",,,,,
