city,address,neighbourhood,ward,latitude,longitude,has_coords,sources,total_permits,n_building_permits,n_development_permits,keywords,earliest_permit_date,latest_permit_date,building_row_ids,development_file_numbers,sample_description,coord_source,completion
edmonton,"1755, 8882 - 170 STREET NW",SUMMERLEA,sipiwiyiniwak Ward,53.52248869790074,-113.62024167014542,yes,building+development,16,14,2,barrier-free; handrail; lift; mobility; ramp,2012-04-26T00:00:00.000,2025-10-30T00:00:00.000,0-123345372; 1-148884137; 5-141820654; 0-155524424; 1-346544114; 2-179013938; 0-254634353; 0-234807372; 1-467979287; 1-453881074; 2-454209624; 2-484213852; 2-395996742; 1-634136493,454220038-002; 626464849-002,To construct interior alteratins to a general retail store. (bell mobility).,permit,unknown
edmonton,10150 - CLIFTON PLACE NW,WESTMOUNT,,53.54253229870425,-113.53898228083867,yes,building,7,7,0,lift,2019-07-17T00:00:00.000,2020-12-18T00:00:00.000,27-275650652; 26-275650652; 4-332766550; 1-332766550; 20-275650652; 15-275650652; 12-275650652,,To construct the EXTERIOR CLADDING & ENVELOPE on a seniors care facility - Clifton Place. 22 Storey Apartment,parcel_geocode,unknown
edmonton,10215 - 108 STREET NW,DOWNTOWN,O-day'min Ward,53.54380998259332,-113.50566691755765,yes,building+development,7,5,2,accessible; barrier-free; lift; ramp,2011-04-06T00:00:00.000,2024-02-01T00:00:00.000,0-107814535; 5-326827560; 1-358420051; 0-266703486; 1-496189394,409657461-002; 326837974-001,To Construct interior alterations to a post-secondary institution ( 2nd floor ladies washroom expansion for barrier-free water closet),permit,unknown
edmonton,9700 - JASPER AVENUE NW,DOWNTOWN,,53.54251618198055,-113.48668347580751,yes,building,7,7,0,accessible; barrier-free; ramp; wheelchair,2017-02-03T00:00:00.000,2025-01-30T00:00:00.000,4-225783722; 1-380133281; 1-478512917; 1-480590136; 1-548351136; 1-390316679; 1-399272217,,"To construct interior alterations to an existing main floor atrium lobby floor space.  Relocate barrier free ramp at Core 6, Canada Place.",parcel_geocode,unknown
edmonton,10240 - KINGSWAY NW,CENTRAL MCDOUGALL,O-day'min Ward,53.55740028240453,-113.49815574329435,yes,building+development,6,4,2,lift,2023-02-06T00:00:00.000,2024-02-22T00:00:00.000,1-499170554; 2-475532562; 1-456011760; 2-475537161,475547575-002; 475542976-002,"To construct Interior Alteration (elevator modernization D5, D6 and D7 electrical work only). Royal Alexandra Hospital",permit,unknown
edmonton,5015 - 111 STREET NW,EMPIRE PARK,papastew Ward,53.48564952486595,-113.51549423922536,yes,building+development,6,5,1,barrier-free; lift; ramp,2013-09-25T00:00:00.000,2024-01-08T00:00:00.000,0-141570721; 0-313172783; 0-97415103; 2-490217271; 1-481230786,348951636-002,"To construct West Upper Parking Deck repairs at Southgate Mall (northwest corner of upper deck, between Sears and the ramp).",permit,unknown
edmonton,10065 - 100 STREET NW,"RIVERDALE, DOWNTOWN",,53.540122115595764,-113.48926822641907,yes,building,5,5,0,barrier-free; lift,2016-04-01T00:00:00.000,2026-02-11T00:00:00.000,5-182031472; 1-494736322; 1-641132135; 9-182031472; 7-182031472,,"To Construct a Funicular, Plaza, Pedestrian Bridge, Bridge Lookout, Elevator and Staircase. Mechanized River Valley Access Project. (an Outdoor Participant Recreation Services structure )",parcel_geocode,unknown
edmonton,10180 - 101 STREET NW,DOWNTOWN,O-day'min Ward,53.542625862577296,-113.49461903290356,yes,building+development,5,4,1,accessible; barrier-free; lift,2011-12-21T00:00:00.000,2025-03-27T00:00:00.000,0-118218628; 1-353627657; 1-357304034; 1-534086268,510468496-002,Construct Interior Alterations to 2nd floor of Manulife Place - Renovation to existing Washrooms for Barrier Free,permit,unknown
edmonton,"106, 13428 - 149 STREET NW",MISTATIM INDUSTRIAL,Anirniq Ward,53.593828487957694,-113.5821796350518,yes,building+development,5,2,3,ramp,2015-05-20T00:00:00.000,2021-12-29T00:00:00.000,1-172018815; 27-139259335,418541674-002; 139269749-026; 172029229-001,To construct interior and exterior alterations to an industrial building (construct a 7.32m x 9.14 ramp at the rear of bay 9/107) - Liquor Depot.,permit,unknown
edmonton,10700 - 104 AVENUE NW,DOWNTOWN,O-day'min Ward,53.54722077826622,-113.50777321696683,yes,building+development,5,4,1,barrier-free; ramp,2021-01-27T00:00:00.000,2026-04-11T00:00:00.000,1-383131836; 2-391332339; 1-431660460; 2-650326176,650336590-002,"To construct Interior Alteration an existing assembly building. Increase existing door and frame widths to accommodate barrier free standards. ""MacEwan University""",permit,unknown
