row_id,issue_date,permit_date,year,month_number,job_category,job_description,building_type,work_type,construction_value,floor_area,units_added,address,legal_description,zoning,neighbourhood_numberr,neighbourhood,bia,count,latitude,longitude,location,geometry_point,occupancy_granted_date
4-96832376,2010-06-04T00:00:00.000,2010-06-04T00:00:00.000,2010,6,Commercial Final,To construct interior alterations (2 Barrier Free washrooms and a demising wall/public corridor). 4th floor.,Office Buildings (520),(03) Interior Alterations,20000,490,0,"401, 10138 - 104 STREET NW","Condo Common Area (Plan 1024646,1025682,1320413,0828363)",HA,1090,DOWNTOWN,Downtown,1,53.54184510383917,-113.49976969517945,"{'latitude': '53.54184510383917', 'longitude': '-113.49976969517945', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.49976969517945, 53.54184510383917]}",
0-169311420,2015-04-08T00:00:00.000,2015-04-08T00:00:00.000,2015,4,Commercial Final,"To construct interior alterations (Deansgate Pharmacy) 1 Barrier Free Washroom, Fire Alarm Alteration and Alteration to the occupancy separation (install a doorway to the medical clinic next door 166137839-002)",Retail and Shops (510),(03) Interior Alterations,95000,,0,16915 - 127 STREET NW,Plan 1321434 Blk 1 Lot 2,CG,3370,RAPPERSWILL,,1,53.63056370883696,-113.53950592784368,"{'latitude': '53.63056370883696', 'longitude': '-113.53950592784368', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.53950592784368, 53.63056370883696]}",
0-142472451,2013-10-22T00:00:00.000,2013-10-22T00:00:00.000,2013,10,Commercial Final,To construct interior altrerations - Launchpad Trampoline Park.,Office Complex (522),(03) Interior Alterations,375000,24000,0,6142 - 50 STREET NW,SE-23-52-24-4,"DC2, DC2",6640,ROPER INDUSTRIAL,,1,53.49908429125679,-113.42441301190453,"{'latitude': '53.49908429125679', 'longitude': '-113.42441301190453', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.42441301190453, 53.49908429125679]}",
1-90544416,2009-12-04T00:00:00.000,2009-12-04T00:00:00.000,2009,12,Commercial Final,"To construct interior and exterior alterations to a retail store (additional barrier-free washroom, showroom entry door installation for display of one vehicle  ""Shoppers Home Health Care"")",Manufacturing Buildings (430),(03) Interior Alterations,30000,200,0,4619 - 91 AVENUE NW,Plan 3597NY Blk 2 Lot 3,BE,6380,LAMBTON INDUSTRIAL,,1,53.5242126140979,-113.4142342724751,"{'latitude': '53.5242126140979', 'longitude': '-113.4142342724751', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.4142342724751, 53.5242126140979]}",
8-156000375,2015-07-31T00:00:00.000,2015-07-31T00:00:00.000,2015,7,Commercial Final,To erect temporary structures: 5 bleachers+1 wheelchair lft +various scaffold-frame sign structures at various locations for 2015 Fringe Festival  13-23 August 2015  [Locations in Building Permit Conditions],Temporary Structures (999),(01) New,15000,,0,10330 - 84 AVENUE NW,Plan 3022HW Blk 79 Lot 1,"DC1, DC2, DC2",5480,STRATHCONA,Old Strathcona,1,53.51979579865787,-113.4959753431365,"{'latitude': '53.51979579865787', 'longitude': '-113.4959753431365', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.4959753431365, 53.51979579865787]}",
1-169907773,2015-05-07T00:00:00.000,2015-05-07T00:00:00.000,2015,5,Commercial Final,To construct interior alteration (install new railing to stairs and ramp to Warehouse Sales building),"Storage Buildings, Warehouses (460)",(03) Exterior Alterations,5000,,0,11925 - KINGSWAY NW,Plan 1276HW Blk 195 Lot B,CG,1170,PRINCE RUPERT,Kingsway,1,53.568661736988794,-113.52830211893857,"{'latitude': '53.568661736988794', 'longitude': '-113.52830211893857', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.52830211893857, 53.568661736988794]}",
2-148391970,2015-01-30T00:00:00.000,2015-01-30T00:00:00.000,2015,1,Commercial Final,"To construct exterior alterations to an existing Commercial building (minor facade improvements, refreshing existing landscaping and planters, adding additional patio area, adding bicycle parking, adding exterior lighting, reconfiguring existing ramps, adding benches).",Office Buildings (520),(03) Exterior Alterations,395374,,0,10010 - 106 STREET NW,Plan NB Blk 6 Lots 75-76,CMU,1090,DOWNTOWN,Downtown,1,53.53916042235801,-113.50344160915657,"{'latitude': '53.53916042235801', 'longitude': '-113.50344160915657', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.50344160915657, 53.53916042235801]}",
5-167090197,2015-11-04T00:00:00.000,2015-11-04T00:00:00.000,2015,11,Commercial Final,To construct exterior alterations to an existing General Industrial Uses building (repair  loading ramp) - existing without permits.,"Storage Buildings, Warehouses (460)",(03) Exterior Alterations,9400,,0,4715 - 91 AVENUE NW,Plan 3597NY Blk 2 Lot 3,BE,6380,LAMBTON INDUSTRIAL,,1,53.52442950786394,-113.41305046789142,"{'latitude': '53.52442950786394', 'longitude': '-113.41305046789142', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.41305046789142, 53.52442950786394]}",
2-131160429,2012-12-21T00:00:00.000,2012-12-21T00:00:00.000,2012,12,Commercial Final,"To construct interior alterations to a general industrial use building to create 3 tenant suites from a single tenant building, ""Green Lantern Electrical"". Exit corridor and 2 new demising walls and Barrier-free washrooms","Storage Buildings, Warehouses (460)",(03) Interior Alterations,25000,3500,0,17404 - 103 AVENUE NW,Plan 9720754 Blk 9 Lot 16,BE,4510,STONE INDUSTRIAL,,1,53.5457046950565,-113.62088507019519,"{'latitude': '53.5457046950565', 'longitude': '-113.62088507019519', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.62088507019519, 53.5457046950565]}",
0-138530761,2013-07-17T00:00:00.000,2013-07-17T00:00:00.000,2013,7,Commercial Final,"To construct interior alterations in an existing office space - Medicine Shop (counselling room, 1 barrier-free washroom)",Retail and Shops (510),(03) Interior Alterations,42000,1020,0,14020 - 127 STREET NW,Plan 9723690 Lot 5,CN,3340,PEMBINA,,1,53.602819931880035,-113.54201694687355,"{'latitude': '53.602819931880035', 'longitude': '-113.54201694687355', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.54201694687355, 53.602819931880035]}",
