city_file_number,permit_type,permit_class,permit_date,status,description_of_development,address,legal_description,neighbourhood_id,neighbourhood,ward,land_parcel_count,latitude,longitude,location,geometry_point,neighbourhood_classification,zoning,bia
508916163-002,Sign Permit,Permitted Development,2024-06-10T00:00:00.000,Approved,To install a Freestanding Sign limited to On-premises Advertising (Skyline Rampart | Revised 2/3),15704 - 142 STREET NW,Plan 1120931 Blk 3 Lot 1,3360,RAMPART INDUSTRIAL,Anirniq Ward,3,53.61918855031101,-113.57172352454324,"{'latitude': '53.61918855031101', 'longitude': '-113.57172352454324', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.57172352454324, 53.61918855031101]}",,,
312281917-001,Minor Development Permit,,,Other,To construct a Garden Suite with balcony and Elevator.,9536G - 144 STREET NW,Plan 6334HW Blk 90 Lot 14,3140,CRESTWOOD,Nakota Isga Ward,3,53.53277411712138,-113.57072970873037,"{'latitude': '53.53277411712138', 'longitude': '-113.57072970873037', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.57072970873037, 53.53277411712138]}",Redeveloping,RS,
182387343-001,Minor Development Permit,Permitted Development,2015-11-18T00:00:00.000,Approved,To construct exterior alterations to a Mobile Home (barrier-free access ramp).,14 - OAK RIDGE DRIVE NW,Plan 7920218 Lot 2,6410,MAPLE RIDGE,Sspomitapi Ward,3,53.503389673375764,-113.36277298735689,"{'latitude': '53.503389673375764', 'longitude': '-113.36277298735689', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.36277298735689, 53.503389673375764]}",Redeveloping,RSF,
165758591-004,Minor Development Permit,Discretionary Development,2015-10-16T00:00:00.000,Approved,To construct exterior alterations to an existing Single Detached House (wheelchair ramp).,4407 - 109 AVENUE NW,Plan 3327KS Blk 60 Lot 5,6061,CAPILANO,Métis Ward,3,53.5567771677195,-113.41210073386696,"{'latitude': '53.5567771677195', 'longitude': '-113.41210073386696', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.41210073386696, 53.5567771677195]}",Redeveloping,RS,
170879422-017,Major Development Permit,Discretionary Development,2019-03-15T00:00:00.000,Approved,"To construct an Addition, Exterior Alterations and Interior Alterations to a Child Care Services Use building (maximum 189 children) (to enclose an egress stairway, expand a covered patio [3.2m x 2.4m],amend and enclose a covered barrier free access ramp and covered patio [11.3m x 2.9m], partially enclose existing second floor patio, remove window on East Facade) and to amend the Landscaping Plan (adding trees and shrubs to the front setback).",124 - 66 STREET SW,Plan 3027KS Blk 1 Lot S,6211,ELLERSLIE,Karhiio Ward,3,53.43191997999526,-113.44417468572526,"{'latitude': '53.43191997999526', 'longitude': '-113.44417468572526', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.44417468572526, 53.43191997999526]}",Developing,RR,
187918092-049,Major Development Permit,Not Available,2017-09-29T00:00:00.000,Approved,To construct exterior alterations (re-locating barrier free disabled ramp)  to an existing Religious Assembly with Child Care Services building. (Reference: Development Permit number 187918092-001),13830 - 109A AVENUE NW,Plan 1621633 Blk 11 Lot 76,3310,NORTH GLENORA,Nakota Isga Ward,3,53.55607189139142,-113.56060220088838,"{'latitude': '53.55607189139142', 'longitude': '-113.56060220088838', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.56060220088838, 53.55607189139142]}",Redeveloping,DC2,
422724159-002,Major Development Permit,Permitted Development,2022-02-10T00:00:00.000,Approved,To Construct Exterior Alterations to a General Industrial Building (New Overhead Door and Ramp),"11, 2930 - 51 AVENUE NW",Plan 1623164 Blk 1 Lot 2,6690,SOUTHEAST INDUSTRIAL,Sspomitapi Ward,3,53.489145970534466,-113.38438078041713,"{'latitude': '53.489145970534466', 'longitude': '-113.38438078041713', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.38438078041713, 53.489145970534466]}",Industrial,IM,
181093671-001,Minor Development Permit,Permitted Development,2016-03-23T00:00:00.000,Approved,"To construct an addition to a Single Detached House (rear single story addition, 6.10m x 7.32m) and a rear uncovered deck  (2.44m x 1.68m), with ramp (1.31m x 5.59m @1.22m in Height).",11622 - 127 AVENUE NW,Plan 2052AE Blk 6 Lot 26,3070,CALDER,Anirniq Ward,3,53.585182906177906,-113.52315433917086,"{'latitude': '53.585182906177906', 'longitude': '-113.52315433917086', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.52315433917086, 53.585182906177906]}",Redeveloping,RS,
180208470-001,Minor Development Permit,Discretionary Development,,Refused,To construct exterior alterations to a Single Detached House (adding a wheelchair ramp).,14037 - 106A AVENUE NW,Plan 4677HW Blk 67A Lot 9,3200,GLENORA,Nakota Isga Ward,3,53.549957700055586,-113.56509327569381,"{'latitude': '53.549957700055586', 'longitude': '-113.56509327569381', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.56509327569381, 53.549957700055586]}",Redeveloping,RS,
186920348-001,Minor Development Permit,Permitted Development,2016-02-12T00:00:00.000,Approved,"To construct exterior alterations to a Single Detached House (temporary accessibility ramp from February 11th 2016 to September 30th, 2016).",9642 - 71 AVENUE NW,Plan 1763HW Blk 28 Lot 26,6290,HAZELDEAN,papastew Ward,3,53.50780849672183,-113.47856028095836,"{'latitude': '53.50780849672183', 'longitude': '-113.47856028095836', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.47856028095836, 53.50780849672183]}",Redeveloping,RS,
