city_file_number,permit_type,permit_class,permit_date,status,description_of_development,address,legal_description,neighbourhood_id,neighbourhood,neighbourhood_classification,ward,zoning,land_parcel_count,latitude,longitude,location,geometry_point,bia
241776673-002,Major Development Permit,Discretionary Development,2017-10-26T00:00:00.000,Approved,"To construct a Community Recreation Services Use building and to develop a Publicly Accessible Private Park (playground, water park, multi-functional sports field and Accessory maintenance / storage building).  The Community Recreation Services building will initially operate as a Residential Sales Centre for a period of up to 10 years.",2110 - 201 STREET NW,Plan 1723514 Blk 1 Lot 1,4468,STILLWATER,Developing,sipiwiyiniwak Ward,SLD,4,53.452253057,-113.666524593,"{'latitude': '53.452253057', 'longitude': '-113.666524593', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.666524593, 53.452253057]}",
300563232-001,Minor Development Permit,Permitted Development,2019-01-18T00:00:00.000,Approved,"To construct a Single Detached House with front attached Garage, Basement development (NOT to be used as an additional Dwelling), fireplace, elevator, and veranda.",17620 - 120 STREET NW,Plan 1425124 Blk 109 Lot 6,3370,RAPPERSWILL,Developing,Anirniq Ward,RSF,3,53.63982592286084,-113.52986750437327,"{'latitude': '53.63982592286084', 'longitude': '-113.52986750437327', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.52986750437327, 53.63982592286084]}",
427136255-002,Major Development Permit,Not Available,2022-06-15T00:00:00.000,Approved,To construct and extend the underground parkade of a Multi-unit Housing and to relocate the ramp entrance and alter the grading and landscaping on the ground.,4615 - 199 STREET NW,Plan 1524215 Unit 5,4461,THE HAMPTONS,Developing,sipiwiyiniwak Ward,RM,3,53.48398167438315,-113.66362597172363,"{'latitude': '53.48398167438315', 'longitude': '-113.66362597172363', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.66362597172363, 53.48398167438315]}",
391760895-002,Major Development Permit,Not Available,,Other,To construct exterior alterations to a Multi-unit Housing building (replacement of heat tracer on parkade ramp),"106, 11618 - 100 AVENUE NW",Condo Common Area (Plan 8121684),1151,WÎHKWÊNTÔWIN,Redeveloping,O-day'min Ward,DC,3,53.53926312216501,-113.52240485854878,"{'latitude': '53.53926312216501', 'longitude': '-113.52240485854878', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.52240485854878, 53.53926312216501]}",
485936348-002,Minor Development Permit,Permitted Development,2023-10-20T00:00:00.000,Approved,"To construct a Single Detached House with front attached Garage, Unenclosed Front Porch, front and rear balconies, sunroom, fireplace, elevator, rear uncovered deck (14.17m x 4.27m) and a walkout Basement.",1534 - HOWES PLACE SW,Plan 2122914 Blk 13 Lot 55,5465,HAYS RIDGE AREA,Developing,Ipiihkoohkanipiaohtsi Ward,RSF,3,53.413905366855076,-113.57294521133946,"{'latitude': '53.413905366855076', 'longitude': '-113.57294521133946', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.57294521133946, 53.413905366855076]}",
234919092-001,Major Development Permit,Discretionary Development,2018-02-15T00:00:00.000,Approved,"To construct and operate a 141.3 meter high mixed Use Tower with Commercial podium including a common lobby, eight (8) General Retail Stores, three (3) Restaurants (60% of total Floor Area as Public Space), four (4) Professional, Financial and Office Support Services, one (1) Spectator Entertainment Establishment (movie theatre) with accessory Non-Residential Amenity Area including a publicly accessible outdoor landscaped area and multi-purpose room on the rooftop podium; with an Apartment Housing Tower (568 Dwelling units from the 4th to 41st floors) with accessory Residential Amenity Area; with mechanical rooms on the 42nd and 43rd floors.",10305 - 104 AVENUE NW,Plan 2020006 Unit 566,1090,DOWNTOWN,Redeveloping,"Ward 6,O-day'min Ward",AED,12,53.546128735,-113.498629649,"{'latitude': '53.546128735', 'longitude': '-113.498629649', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.498629649, 53.546128735]}",Downtown
265474793-001,Major Development Permit,Discretionary Development,2018-02-06T00:00:00.000,Approved,To demolish and construct exterior alterations to an existing Religious Assembly (rebuild and extend landing and barrier-free ramp).,10405 - 142 STREET NW,Plan 839HW Blk 71 Lots 9-10,3200,GLENORA,Redeveloping,Nakota Isga Ward,RS,3,53.54643638313503,-113.56529835244064,"{'latitude': '53.54643638313503', 'longitude': '-113.56529835244064', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.56529835244064, 53.54643638313503]}",
469121589-002,Minor Development Permit,,,Other,To construct a Single Detached House with uncovered deck and Covered wheelchair ramp from garage to house.,9951 - 83 STREET NW,Plan 4649HW Blk 2 Lot 12,6230,FOREST HEIGHTS,Redeveloping,Métis Ward,RS,3,53.54023609915011,-113.45444453036832,"{'latitude': '53.54023609915011', 'longitude': '-113.45444453036832', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.45444453036832, 53.54023609915011]}",
535872846-002,Minor Development Permit,,,Other,To construct a Residential Use building in the form of a Single Detached House with Wheelchair ramp.,7911 - 159 STREET NW,Plan 5559KS Blk 8 Lot 6,4280,LYNNWOOD,Redeveloping,sipiwiyiniwak Ward,RS,3,53.5133820262664,-113.59619012585136,"{'latitude': '53.5133820262664', 'longitude': '-113.59619012585136', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.59619012585136, 53.5133820262664]}",
186920348-003,Minor Development Permit,Permitted Development,2016-11-14T00:00:00.000,Other,"To construct exterior alterations to a Single Detached House (temporary accessibility ramp, valid until April 30, 2017).",9642 - 71 AVENUE NW,Plan 1763HW Blk 28 Lot 26,6290,HAZELDEAN,Redeveloping,papastew Ward,RS,3,53.50780849672183,-113.47856028095836,"{'latitude': '53.50780849672183', 'longitude': '-113.47856028095836', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.47856028095836, 53.50780849672183]}",
