address,neighbourhood,ward,latitude,longitude,has_coords,sources,total_permits,n_building_permits,n_development_permits,keywords,earliest_permit_date,latest_permit_date,building_row_ids,development_file_numbers,sample_description,coord_source
9642 - 71 AVENUE NW,HAZELDEAN,papastew Ward,53.50780849672183,-113.47856028095836,yes,building+development,4,2,2,accessible; ramp,2016-02-12T00:00:00.000,2016-11-23T00:00:00.000,1-186909934; 3-186909934,186920348-001; 186920348-003,"To construct exterior alterations to a Single Detached House (temporary accessibility ramp from February 11th 2016 to September 30th, 2016).",development
14037 - 106A AVENUE NW,GLENORA,Nakota Isga Ward,53.549957700055586,-113.56509327569381,yes,building+development,3,1,2,ramp; wheelchair,2016-06-14T00:00:00.000,2016-06-14T00:00:00.000,2-177694926,180208470-001; 177705340-003,"To construct an uncovered deck to Single Detached House, existing without permits (1.52m x 6.22m @ 0.76m in Height with access ramp).",development
4407 - 109 AVENUE NW,CAPILANO,Métis Ward,53.5567771677195,-113.41210073386696,yes,building+development,3,2,1,accessible; ramp; wheelchair,2014-12-16T00:00:00.000,2015-11-16T00:00:00.000,4-165748177; 1-165748177,165758591-004,To construct exterior alterations to an existing Single Detached House (accessible ramp).,development
6108 - 134 AVENUE NW,BELVEDERE,Dene Ward,53.595630718650256,-113.43624889659995,yes,building+development,3,2,1,ramp,2017-12-14T00:00:00.000,2021-03-31T00:00:00.000,1-270187934; 0-270187934,270198348-002,"To construct an uncovered deck to a Single Detached House (5.35m x 7.63m @ 0.91m in Height, extended off of the landing of an accessability ramp).",development
9508 - RIVERSIDE DRIVE NW,CRESTWOOD,Nakota Isga Ward,53.53228722372634,-113.56135598249058,yes,building+development,3,2,1,lift; ramp,2019-10-22T00:00:00.000,2023-08-21T00:00:00.000,1-480210236; 2-446753367,446763781-002,"To construct interior alterations to a Single Detached House (Basement development, NOT to be used as an additional Dwelling). 1-Bedroom, 3-Bathrooms, Theater, Lounge, Gym, Cold Room and Mech Room. (Multi Car Garage, Ramp and Elevator refer to job 446763781-003)",development
"101, 11050 - 104 AVENUE NW",DOWNTOWN,,,,no,building,2,2,0,lift,2023-02-28T00:00:00.000,2026-02-11T00:00:00.000,1-461015902; 1-643983389,,"To complete Exterior Alterations (replace rooftop MUA's & roof membrane) and construct Interior Alterations (upgrade telecom rooms 2 - 9 floors, & telecom/elevator room on 13th floor) in an existing apartment building (MacEwan Residence building).  - MacEwan University",none
"101, 2755 - 109 STREET NW",ERMINESKIN,Ipiihkoohkanipiaohtsi Ward,53.45865383182427,-113.50793788791901,yes,building+development,2,1,1,barrier-free,2019-06-25T00:00:00.000,2019-08-21T00:00:00.000,1-323715268,323725682-001,"To change the Use of 3 Apartment House Dwelling Units to 1 Lodging House Sleeping Unit and to construct interior alterations (expand office space, and add barrier-free washroom and salon for Shepherd's Care)",development
10116 - 71 STREET NW,TERRACE HEIGHTS,Métis Ward,53.54184858961327,-113.43732519478495,yes,building+development,2,1,1,ramp; wheelchair,2015-06-22T00:00:00.000,2015-06-22T00:00:00.000,0-170700470,170710884-001,"To construct a front uncovered deck (wheelchair ramp, irregular shape,  4.88m X 6.71m @ 1.22m in height).",development
10305 - 104 AVENUE NW,DOWNTOWN,"Ward 6,O-day'min Ward",53.546128735,-113.498629649,yes,development,2,0,2,accessible,2018-02-15T00:00:00.000,2018-11-19T00:00:00.000,,234919092-007; 234919092-001,"To amend the approved Development Permit number 234919092-001 by increasing the Height from 141.3 to 142.0 meter high mixed Use Tower; and reducing the Commercial podium from 3 to 2 Storeys including a common lobby, nine (9) General Retail Stores, three (3) Restaurants (60% of total Floor Area as Public Space), one (1) Professional, Financial and Office Support Services, with accessory Non-Residential Amenity Area including accessible outdoor rooftop podium; with an Apartment Housing Tower (adding a floor of Residential Use and increasing Dwelling units from 568 to 582 from the 3rd to 41st floors), with accessory Residential Amenity Area (indoor and outdoor rooftop podium); and an Urban Garden (66 garden plots) on the rooftop podium; and mechanical rooms on the 42nd floor; and to construct exterior and interior alterations.",development
10330 - 120 STREET NW,WÎHKWÊNTÔWIN,,53.54537173572155,-113.52925221886873,yes,building,2,2,0,barrier-free; lift,2010-12-03T00:00:00.000,2023-07-17T00:00:00.000,1-96361652; 1-470822633,,"To construct an addition to an existing senior's Apartment Building, Kiwanis Place.  Construction of a new elevator shaft at the South end of the building to house two new elevators and a small lobby.",parcel_geocode
