address,parsed_house_number,parsed_street_name,neighbourhood,ward,keywords,total_permits,n_building_permits,n_development_permits,building_row_ids,development_file_numbers,sample_description
"101, 11050 - 104 AVENUE NW",11050,104 AVENUE NW,DOWNTOWN,,lift,2,2,0,1-461015902; 1-643983389,,"To complete Exterior Alterations (replace rooftop MUA's & roof membrane) and construct Interior Alterations (upgrade telecom rooms 2 - 9 floors, & telecom/elevator room on 13th floor) in an existing apartment building (MacEwan Residence building).  - MacEwan University"
"1, 1112 - HERMITAGE ROAD NW",1112,HERMITAGE ROAD NW,OVERLANDERS,,lift,1,1,0,1-597890499,,"To construct Interior Alterations in Two stand-alone residential apartment buildings, including Elevator and Fire Alarm System upgrade and limitations. Elevator improvements: Upgrade of Firefighters' Emergency Operation, elevator recall, controllers and operating fixtures. Fire Alarm; Replace existing Fire Alarm Control Panel with new addressable f.a.c.p.. Replace existing f.a. initiating devices with new addressable models.  Re-connect existing f.a. notification circuits to the new f.a. panel. Buildings, 1112 Hermitage Rd  & 1122 Hermitage Rd - Christopher County."
10045 - 117 STREET NW,10045,117 STREET NW,WÎHKWÊNTÔWIN,,ramp,1,1,0,0-109116717,,To construct exterior alterations (maintenance) (parkade access ramp) to an existing Apartment Building (Riverview Towers).
10154 - 104 STREET NW,10154,104 STREET NW,DOWNTOWN,,lift,1,1,0,1-111183738,,To construct interior alterations to an existing mixed use high rise building (landlord work to remove 4th floor elevator lobby partitions and subdivde the office space with a new demising wall)  Icon Tower - Phase 2.
1025 - 109 STREET NW,1025,109 STREET NW,BEARSPAW,,wider doorway,1,1,0,1-518152471,,"To construct interior alterations (Kitchen renoation, including doorway widening of 2 entrances on non-weight bearing walls; existing half bath renovation, reconfiguration of master bedroom doorways and ensuite closets. Hallway closet space relocated within hallway. Existing electrical and plumbing will be used. Repositioning of 2 toilets. New ceiling light fixtures to existing wiring. Exterior doors will be updated, but same size of openning., NOT to be used as an additional Dwelling)."
10515 - 123 AVENUE NW,10515,123 AVENUE NW,WESTWOOD,,ramp,1,1,0,1-354760998,,"To construct a Semi-Detached House with 2 secondary suite(s), Unenclosed Front Porches and Ramps on each side."
10731 - SASKATCHEWAN DRIVE NW,10731,SASKATCHEWAN DRIVE NW,GARNEAU,,lift,1,1,0,2-421846492,,"To complete Interior Alterations (Elevator electrical modifications) to an existing apartment building - The Riverwind (Tower ""A"") NOTE: see BP 421856906-004 for Tower ""B"""
11037 - 84 STREET NW,11037,84 STREET NW,CROMDALE,,handrail,1,1,0,1-92589687,,To Construct interior alterations to 2 apartment Bldgs- new guards and handrails to conform to code as directed by Health Dept.
12831 - 66 STREET NW,12831,66 STREET NW,BELVEDERE,,lift,1,1,0,1-223894515,,To construct interior alterations to upgrade a fire alarm and modernize the elevators - Hollyburn Tower.
1622 - 66 AVENUE NW,1622,66 AVENUE NW,MAPLE RIDGE,,ramp; wheelchair,1,1,0,0-79908548,,To construct an uncovered deck (Wheel chair ramp 1.84m x 1.84m @ 0.91m in Height).
