row_id,issue_date,permit_date,year,month_number,job_category,job_description,building_type,work_type,construction_value,units_added,address,legal_description,zoning,neighbourhood_numberr,neighbourhood,count,latitude,longitude,location,geometry_point,floor_area,bia,occupancy_granted_date
0-98642153,2013-04-15T00:00:00.000,2013-04-15T00:00:00.000,2013,4,Uncovered Deck Combination,To construct a front uncovered deck.1.82 x 1.82m @0.91m in height (Barrier free lift),Single Detached House (110),(03) Deck Attached,11500,0,7908 - 136 AVENUE NW,Plan 1428NY Blk 21 Lot 20,RS,2230,DELWOOD,1,53.59884322982297,-113.46291795840098,"{'latitude': '53.59884322982297', 'longitude': '-113.46291795840098', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.46291795840098, 53.59884322982297]}",,,
12-150258396,2016-10-14T00:00:00.000,2016-10-14T00:00:00.000,2016,10,Uncovered Deck Combination,"To construct a side uncovered deck to a Single Detached House (extention of front deck to the back of house for wheelchair access, approx 1.2m x 16.30m)",Single Detached House (110),(03) Deck Attached,13300,0,10810 - 65 AVENUE NW,Plan 1349HW Blk 11 Lot C,RS,5010,ALLENDALE,1,53.50227337803297,-113.50996760561966,"{'latitude': '53.50227337803297', 'longitude': '-113.50996760561966', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.50996760561966, 53.50227337803297]}",,,
0-287180996,2018-07-10T00:00:00.000,2018-07-10T00:00:00.000,2018,7,Uncovered Deck Combination,To construct a side uncovered deck to a mobile home (11.28m x 1.52m @ 0.81m in Height) with accessibility ramp.,Mobile Home (130),(03) Deck Attached,6500,0,14 - WEST VIEW BOULEVARD NW,Plan 0627961 Blk 1 Lot 7,RSF,4620,WESTVIEW VILLAGE,1,53.55217004486817,-113.69726270715786,"{'latitude': '53.55217004486817', 'longitude': '-113.69726270715786', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.69726270715786, 53.55217004486817]}",,,
1-405570145,2021-10-07T00:00:00.000,2021-10-07T00:00:00.000,2021,10,Home Improvement,"To construct exterior and interior alterations to a Single Detached House (main floor and basement renovation (NOT to be used as an additional Dwelling), concrete pad for stairs and landing construction (irregular shape) and new barrier-free lift).",Single Detached House (110),,343321,,11703 - 166 AVENUE NW,Plan 7722130 Blk 55 Lot 8,RF1,3180,DUNLUCE,1,53.62795317785698,-113.52411358248342,"{'latitude': '53.62795317785698', 'longitude': '-113.52411358248342', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.52411358248342, 53.62795317785698]}",,,
0-129622952,2012-10-02T00:00:00.000,2012-10-02T00:00:00.000,2012,10,Uncovered Deck Combination,To construct a rear-uncovered deck (3.66m X 8.40m @ 0.78m high) with a Barrier Free Uncovered Ramp (Ramp size: 9.75m X 1.65m) in sideyard.,Semi-Detached House (210),(03) Deck Attached,6000,0,14608 - 103 AVENUE NW,Plan 1631AQ Blk 8A Lot 47,RS,3210,GROVENOR,1,53.54427657296752,-113.57297630079496,"{'latitude': '53.54427657296752', 'longitude': '-113.57297630079496', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.57297630079496, 53.54427657296752]}",,,
1-270187934,2021-03-31T00:00:00.000,2021-03-31T00:00:00.000,2021,3,Uncovered Deck Combination,"To construct an uncovered deck to a Single Detached House (5.35m x 7.63m @ 0.91m in Height, extended off of the landing of an accessability ramp).",Single Detached House (110),(03) Deck Attached,5000,0,6108 - 134 AVENUE NW,Plan 2676MC Blk 5 Lot 18,RS,2080,BELVEDERE,1,53.59563102549668,-113.43624416849487,"{'latitude': '53.59563102549668', 'longitude': '-113.43624416849487', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.43624416849487, 53.59563102549668]}",,,
2-224999610,2016-08-18T00:00:00.000,2016-08-18T00:00:00.000,2016,8,Uncovered Deck Combination,To construct a rear uncovered deck (6.20 m x 3.17 m @ 0.80 m in Height) with a rear accessible ramp.,Single Detached House (110),(03) Deck Attached,5000,0,6931 - 83 AVENUE NW,Plan 5799MC Blk 70 Lot 24,RS,6350,KENILWORTH,1,53.51876736851935,-113.4353184212489,"{'latitude': '53.51876736851935', 'longitude': '-113.4353184212489', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.4353184212489, 53.51876736851935]}",,,
0-138775984,2013-05-29T00:00:00.000,2013-05-29T00:00:00.000,2013,5,Uncovered Deck Combination,To construct an front uncovered deck (barrier free wheel chair ramp 7.82m x 3.14m @ 0.86 m high),Single Detached House (110),(03) Deck Attached,8956,0,6047 - 105B STREET NW,Plan 2015MC Blk 44 Lot 47,RS,5320,PLEASANTVIEW,1,53.497596124494,-113.50183075816393,"{'latitude': '53.497596124494', 'longitude': '-113.50183075816393', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.50183075816393, 53.497596124494]}",,,
0-170700470,2015-06-22T00:00:00.000,2015-06-22T00:00:00.000,2015,6,Uncovered Deck Combination,"To construct a front uncovered deck (wheelchair ramp, irregular shape,  4.88m X 6.71m @ 1.22m in height).",Single Detached House (110),(03) Deck Attached,6500,0,10116 - 71 STREET NW,Plan 2444KS Blk 4 Lot 25,RS,6730,TERRACE HEIGHTS,1,53.541849147743136,-113.43732427532593,"{'latitude': '53.541849147743136', 'longitude': '-113.43732427532593', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.43732427532593, 53.541849147743136]}",,,
0-137565291,2013-05-09T00:00:00.000,2013-05-09T00:00:00.000,2013,5,Uncovered Deck Combination,To construct a front uncovered deck(Wheelchair Lift - 2.44m x 2.44m @ 1.07m high) & to construct interior alterations at main floor.,Single Detached House (110),(03) Deck Attached,10000,0,15420 - 103 AVENUE NW,Plan 728HW Blk 17 Lot 20,RS,4090,CANORA,1,53.545013722177174,-113.58808453607175,"{'latitude': '53.545013722177174', 'longitude': '-113.58808453607175', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.58808453607175, 53.545013722177174]}",,,
0-154206122,2014-06-13T00:00:00.000,2014-06-13T00:00:00.000,2014,6,Uncovered Deck Combination,"To construct a front uncovered deck (wheelchair ramp - 8.07m x 0.9m at 0.79m height, with 1.21m x 1.21m bottom landing, and 1.28m x 0.91m ramp to grade)",Mobile Home (130),(03) Deck Attached,5000,0,64 - THE PARKWAY NW,Plan 7920218 Lot 2,RSF,6410,MAPLE RIDGE,1,53.503686760384724,-113.36030914686509,"{'latitude': '53.503686760384724', 'longitude': '-113.36030914686509', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.36030914686509, 53.503686760384724]}",,,
1-153813770,2014-10-15T00:00:00.000,2014-10-15T00:00:00.000,2014,10,Uncovered Deck Combination,"To construct a front uncovered deck (1.96m X 2.56m @ 1m in Height), two tier rear uncovered deck (2.55m X 2.44m @ 0.93m in Height, 7.07m X 4.89m @ 0.6m in Height) and ramps, existing without permits.",Single Detached House (110),(03) Deck Attached,4000,0,14636 - 110A AVENUE NW,Plan 5887HW Blk 18 Lot 10,RS,3300,MCQUEEN,1,53.5584688378538,-113.57526151659101,"{'latitude': '53.5584688378538', 'longitude': '-113.57526151659101', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.57526151659101, 53.5584688378538]}",,,
0-353216188,2020-02-21T00:00:00.000,2020-02-21T00:00:00.000,2020,2,Home Improvement,To construct interior alterations (Adding an Elevator from main to 2nd floor).,Single Detached House (110),,8000,,534 - KLARVATTEN LAKE WYND NW,Plan 9924683 Blk 11 Lot 68,RF1,2440,KLARVATTEN,1,53.633485151663315,-113.47113601507074,"{'latitude': '53.633485151663315', 'longitude': '-113.47113601507074', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.47113601507074, 53.633485151663315]}",,,
1-361360188,2020-07-21T00:00:00.000,2020-07-21T00:00:00.000,2020,7,Home Improvement,To construct a side and rear uncovered deck (rear deck (6.10m x 4.17m @ 0.86m in Height ) with side ramp (10.36m x 1.17m) to a Single Detached House.,Single Detached House (110),,,,9408 - 96 STREET NW,Plan 2725Q Blk 7 Lot 29,RF3,6040,BONNIE DOON,1,53.53107993386048,-113.47584274843466,"{'latitude': '53.53107993386048', 'longitude': '-113.47584274843466', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.47584274843466, 53.53107993386048]}",,,
0-130002138,2012-09-28T00:00:00.000,2012-09-28T00:00:00.000,2012,9,Uncovered Deck Combination,To construct a front uncovered deck (wheel chair ramp) (3.27m x 6.86m x 0.76m high),Single Detached House (110),(03) Deck Attached,9863,0,7318 - 118 STREET NW,Plan 3369HW Blk 9 Lot 4,RS,5040,BELGRAVIA,1,53.50964372124358,-113.53553494511615,"{'latitude': '53.50964372124358', 'longitude': '-113.53553494511615', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.53553494511615, 53.50964372124358]}",,,
0-143357666,2013-09-27T00:00:00.000,2013-09-27T00:00:00.000,2013,9,Uncovered Deck Combination,To construct a exterior front entry ramp (3.05m X 6.22m),Single Detached House (110),(03) Deck Attached,5000,0,7312 - 83 AVENUE NW,Plan 5865MC Blk 29 Lot 15,RS,6350,KENILWORTH,1,53.51934277094196,-113.44059400986778,"{'latitude': '53.51934277094196', 'longitude': '-113.44059400986778', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.44059400986778, 53.51934277094196]}",,,
0-161396897,2014-09-25T00:00:00.000,2014-09-25T00:00:00.000,2014,9,Uncovered Deck Combination,To construct a wheel chair ramp in the side and rear yard of a Semi-detached house (max. height 1.01m starting from the side door and gradually declining to grade in the rear yard).,Semi-Detached House (210),(03) Deck Attached,6000,0,2904 - 132A AVENUE NW,Plan 7520091 Blk 6 Lot 53,RS,2070,BELMONT,1,53.59353735257509,-113.3868387503925,"{'latitude': '53.59353735257509', 'longitude': '-113.3868387503925', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.3868387503925, 53.59353735257509]}",,,
1-368480856,2020-09-25T00:00:00.000,2020-09-25T00:00:00.000,2020,9,Home Improvement,To construct a front uncovered deck with wheel chair lift (3.66m x 3.05m @ 0.91m in Height).,Single Detached House (110),,,,13524 - 62 STREET NW,Plan 2676MC Blk 3 Lot 26,RF1,2080,BELVEDERE,1,53.59797931374825,-113.4370992308802,"{'latitude': '53.59797931374825', 'longitude': '-113.4370992308802', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.4370992308802, 53.59797931374825]}",,,
