city_file_number,permit_type,permit_class,permit_date,status,description_of_development,address,legal_description,neighbourhood_id,neighbourhood,neighbourhood_classification,ward,zoning,land_parcel_count,latitude,longitude,location,geometry_point,bia
418541674-002,Major Development Permit,Permitted Development,2021-12-29T00:00:00.000,Approved,To construct exterior and interior alterations to a General Industrial building (new overhead door and ramp).,"112, 13428 - 149 STREET NW",Plan 1222973 Blk 5 Lot 3A,4320,MISTATIM INDUSTRIAL,Industrial,Anirniq Ward,IM,3,53.593828487957694,-113.5821796350518,"{'latitude': '53.593828487957694', 'longitude': '-113.5821796350518', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.5821796350518, 53.593828487957694]}",
606719416-002,Major Development Permit,Permitted Development,2025-07-10T00:00:00.000,Approved,"To construct an accessibility ramp, and to amend the approved Landscape Plan approved in Development Permit 563057026-002 (Italian Centre Warehouse).",9511 - 109 AVENUE NW,Plan 2421860 Blk 29 Lot 10A,1140,MCCAULEY,Redeveloping,O-day'min Ward,DC,4,53.556068029,-113.485759599,"{'latitude': '53.556068029', 'longitude': '-113.485759599', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.485759599, 53.556068029]}",
165762771-005,Major Development Permit,Permitted Development,2016-06-10T00:00:00.000,Approved,"To remove the approved Restaurant with plaza and to construct exterior alterations to an existing Public Park (including platform lookout structures, stair links, accessible ramps and added trails). (Revision to issued Development Permit number 165762771-001).",9565 - GRIERSON HILL NW,Plan 1521205 Blk 1 Lot 1,1210,RIVERDALE,Redeveloping,O-day'min Ward,"A,A3",3,53.540858412949675,-113.48285374710932,"{'latitude': '53.540858412949675', 'longitude': '-113.48285374710932', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.48285374710932, 53.540858412949675]}",Downtown
393749339-002,Major Development Permit,Discretionary Development,2021-05-11T00:00:00.000,Approved,To Change the Use of a Portion of a General Industrial Use to an Indoor Participant Recreation Service (Fitness Ninja) and add Accessory Health Service and Construct Exterior Alterations (Removal of Outdoor Ramp and new Rear Stairs),11507 - 120 STREET NW,Plan 1276HW Blk 195 Lot A,1170,PRINCE RUPERT,Redeveloping,O-day'min Ward,BE,3,53.566795106155084,-113.52855128390233,"{'latitude': '53.566795106155084', 'longitude': '-113.52855128390233', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.52855128390233, 53.566795106155084]}",Kingsway
227415598-002,Major Development Permit,Permitted Development,2016-08-09T00:00:00.000,Approved,To construct exterior alterations to an existing Private Clubs Use building (re-construct landing with temporary hand railing and concrete block retaining wall). (THE ORANGE HALL),10335 - 84 AVENUE NW,Plan I Blk 79 Lot 12,5480,STRATHCONA,Redeveloping,papastew Ward,DC1,3,53.51974490080315,-113.49657766176037,"{'latitude': '53.51974490080315', 'longitude': '-113.49657766176037', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.49657766176037, 53.51974490080315]}",Old Strathcona
404689460-002,Major Development Permit,Discretionary Development,2021-10-14T00:00:00.000,Approved,"To construct exterior and interior alterations to the Iron Works Building, including the North and South Annex (Building rehabilitation and renovation, including barrier-free access ramp) [no land uses approved in this Development Permit]",10419 - 96 STREET NW,"Plan ND Blk 13 Lots 17-28,OT",1020,BOYLE STREET,Redeveloping,O-day'min Ward,MU,3,53.54880277356131,-113.48365748127638,"{'latitude': '53.54880277356131', 'longitude': '-113.48365748127638', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.48365748127638, 53.54880277356131]}",Downtown
482089070-002,Major Development Permit,Permitted Development,2023-10-27T00:00:00.000,Approved,"To construct an addition and exterior alterations to a Professional, Financial, and Office Support building (Yellowhead Tribal Council AOSA Centre, add an elevator addition and redesign existing stair tower combined with the new elevator).",17304 - 105 AVENUE NW,Plan 7721110 Blk 4 Lot 10,4300,MCNAMARA INDUSTRIAL,Industrial,Nakota Isga Ward,BE,3,53.54918503023886,-113.62001868251215,"{'latitude': '53.54918503023886', 'longitude': '-113.62001868251215', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.62001868251215, 53.54918503023886]}",
640462879-002,Major Development Permit,Permitted Development,2025-12-17T00:00:00.000,Approved,To Construct an Exterior Alterations to a Minor Industrial Building (New Ramp and Overhead Door),15307 - 128 AVENUE NW,Plan 3340RS Blk B Lot 3,4320,MISTATIM INDUSTRIAL,Industrial,Anirniq Ward,IM,3,53.58372217761368,-113.58493478217935,"{'latitude': '53.58372217761368', 'longitude': '-113.58493478217935', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.58493478217935, 53.58372217761368]}",
401482990-002,Major Development Permit,Discretionary Development,2021-08-04T00:00:00.000,Approved,To construct interior and exterior alterations to an existing Religious Assembly (adding front wheelchair lift).,10830 - 96 STREET NW,"Plan ND Blk 27 Lots 5-9,OT",1140,MCCAULEY,Redeveloping,O-day'min Ward,DC1,3,53.55474719276895,-113.48792067458095,"{'latitude': '53.55474719276895', 'longitude': '-113.48792067458095', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.48792067458095, 53.55474719276895]}",
534297771-002,Major Development Permit,Discretionary Development,2025-05-06T00:00:00.000,Approved,"To construct an addition to a General Retail Stores building, add the use of a Restaurant (133.2 sq.m. public space), and construct interior and exterior alterations (create barrier-free parking spaces and change parking lot design). (Zoning Bylaw 20001 equivalent: Indoor Sales and Service, and Food and Drink Service)",7331 - 104 STREET NW,Plan 6082Q Blk 41 Lots 14-18,5151,STRATHCONA JUNCTION,Industrial,papastew Ward,DC,6,53.510091046925,-113.49717958226171,"{'latitude': '53.510091046925', 'longitude': '-113.49717958226171', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.49717958226171, 53.510091046925]}",
428113459-002,Major Development Permit,Permitted Development,2022-03-31T00:00:00.000,Approved,To construct exterior alterations to a General Industrial building (new overhead door and concrete ramp),"25, 2930 - 51 AVENUE NW",Plan 1623164 Blk 1 Lot 2,6690,SOUTHEAST INDUSTRIAL,Industrial,Sspomitapi Ward,IM,3,53.489145970534466,-113.38438078041713,"{'latitude': '53.489145970534466', 'longitude': '-113.38438078041713', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.38438078041713, 53.489145970534466]}",
653142069-002,Major Development Permit,Not Available,,Other,"To construct interior alterations inside an Indoor Participant Recreation Service space (barrier free washroom and kitchenette, land use not declared in this application)",4619 - 91 AVENUE NW,Plan 3597NY Blk 2 Lot 3,6380,LAMBTON INDUSTRIAL,Industrial,Métis Ward,BE,3,53.524214800386005,-113.41423316136772,"{'latitude': '53.524214800386005', 'longitude': '-113.41423316136772', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","{'type': 'Point', 'coordinates': [-113.41423316136772, 53.524214800386005]}",
