city,address,neighbourhood,ward,latitude,longitude,has_coords,sources,total_permits,n_building_permits,n_development_permits,keywords,earliest_permit_date,latest_permit_date,building_row_ids,development_file_numbers,sample_description,coord_source
markham,1019 Dundas St E,,,,,no,building,2,2,0,barrier-free,2022-04-26,2022-07-28,2021 136774 000 00 MS; 2022 104393 000 00 MS,,Construction of temporary sales pavilion (relocated from 145 Dundas Street E) and portable barrier free washroom for GREAT GULF.,none
markham,1330 Montclair Dr,,,43.462539960837624,-79.70219842097858,yes,building,2,2,0,barrier-free; lift; ramp,2023-03-06,2023-08-02,2022 133596 000 00 SA; 2023 115914 000 00 SA,,Interior alterations to upgrade the existing limited use elevator (LULA) to a regular use elevator.  Alterations to include construction of a new hoistway and modification to the existing floor assembly to allow for the new hoistway. No GFA added.,permit
markham,1400 The Canadian Road,,,,,no,building,2,2,0,lift; ramp,2025-06-26,2025-10-16,2025 105714 000 00 BDP; 2025 111620 000 00 BDP,,"OAKVILLE ASSEMBLY PLANT, OAC BODY 1 and the OAC BODY 2 buildings. Renovating within existing buildings; new canteens, washrooms, an interior entrance ramp, and alterations to offices; demolition and installation of stairs and landings; and a new eating area for new Tim Hortons.  No GFA added.",none
markham,1415 Third Line,,,43.43699198653089,-79.73903963377028,yes,building,2,2,0,barrier-free; wider doorway,2024-09-13,2025-02-26,2024 109994 REV 01 SA; 2024 109994 000 00 SA,,Revision to 24-109994. Revision to changerooms and washroom areas. Addition of non-load bearing walls and lintels for the widened doors. Changes to lighting and door operators.,permit
markham,1430 Trafalgar Road,,,43.469177089399366,-79.6996351873027,yes,building,2,2,0,ramp,2016-05-12,2018-04-19,2016 000321 000 00 SA; 2018 000334 000 00 SA,,"New exterior service ramp into basement level of C-wing bldg.
No additional gfa",permit
markham,1939 Ironoak Way,,,,,no,building,2,2,0,barrier-free,2023-08-30,2024-03-18,2023 156647 000 00 CA; 2023 115712 000 00 CA,,"Interior Alteration for tenant fit-out &ndash; construct a boardroom, two meeting rooms, one barrier-free washroom, a staff washroom and a coffee server &ndash; unit A103, Canon.  No GFA added.",none
markham,21 Kerr St,,,43.4384608751892,-79.67173055619635,yes,building,2,2,0,lift,2024-03-15,2024-04-02,2024 138295 000 00 DA; 2023 138285 000 00 MS,,"Oakville Water Purification Plant &ndash; structural modifications and concrete repairs to the Low Lift Pump Stn and High Lift Pump Stn, new Electrical Room in existing building; installation of new high lift pump, and a new Laboratory space in existing water treatment plant.  No GFA added.",permit
markham,2170 Postmaster Dr,,,,,no,building,2,2,0,ramp,2023-03-16,2023-09-18,2023 100981 000 00 MS; 2023 123227 000 00 DP,,Relocation of Existing Temporary Sales Office (Modular Trailer) from (Brampton) to (Oakville).  102sm of existing space.  Construct new concrete pier footings and deck with ramp - Branthaven West Oak,none
markham,4449 Regional 25 Rd,,,,,no,building,2,2,0,barrier-free,2022-12-12,2022-12-12,2021 110749 000 00 CN; 2021 110753 000 00 CN,,"Construction of a modular office bldg. (replace existing) to include pre-fabricated metal storage bldg with parking, barrier free access, conc. footing, electric heating; and installation of geothermal system; with servicing updates and the decommissioning of existing septic system and leach beds. - Halton Regional Biosolids Mgmt Centre",none
markham,5 Dundas St E,,,,,no,building,2,2,0,accessible; ramp; wheelchair,2022-11-22,2024-02-12,2022 126763 000 00 SN; 2022 126763 REV 01 SA,,Renovation and replacement of accessibility ramp leading to north entrance of church hall building. This ramp allows physically challenged persons to access the church hall. The church hall is currently used as a reception and meeting space.,none
