city,address,neighbourhood,ward,latitude,longitude,has_coords,sources,total_permits,n_building_permits,n_development_permits,keywords,earliest_permit_date,latest_permit_date,building_row_ids,development_file_numbers,sample_description,coord_source
markham,2250 Golden Briar Trail,,,43.482804840538705,-79.70877647589377,yes,building,2,2,0,accessible; ramp,2019-08-19,2019-08-19,2018 001800 000 00 AA; 2019 000849 000 00 AA,,"Interior alterations to existing laundry room - Removing all washers and dryers, updating washroom and converting laundry room to meeting room, construct new accessible ramp to front door (62.6 m2) Laundry Room Next to Unit 55",permit
markham,2375 Bronte Rd,,,43.431892069529894,-79.77219039484571,yes,building,2,2,0,barrier-free; ramp,2016-07-12,2018-10-17,2016 000026 REV 03 AA; 2016 000026 REV 01 AA,,REVISON 03 - Revise dimensions of proposed access ramps and stairs - No GFA added.,permit
markham,3028 Creekshore Common,,,,,no,building,2,2,0,accessible; lift,2016-10-07,2017-01-26,2015 002220 REV 02 AA; 2015 002220 REV 01 AA,,REVISION:  Addition of car lift in existing parkade.  No GFA added.,none
markham,397 Freeman Cres,,,43.47336194709304,-79.6945336812758,yes,building,2,2,0,accessible; lift; ramp,2022-10-14,2022-10-14,2022 122031 000 00 RN; 2022 122031 000 00 RA,,Accessible ramp to be added to front entry. New covered front porch. New elevator in the garage to new second storey addition over garage.  Rear Kitchen addition with accessible ramp with interior renovations to exiting ground floor.,permit
markham,10 Maple Grove Drive Unit 1,,,43.46655732091814,-79.64439563575328,yes,building,1,1,0,ramp,2017-11-02,2017-11-02,2017 001058 000 00 TH,,"New two storey townhome (206.14m2), covered front porch, rear terrace with wood pergola and planters (47.23m2), bsmt finish (38.87m2), underground garage (106.53m2) with shared covered driveway and shared garage ramp",permit
markham,10 Maple Grove Drive Unit 13,,,43.46655732091814,-79.64439563575328,yes,building,1,1,0,ramp,2017-10-31,2017-10-31,2017 001057 000 00 TH,,"New two storey townhome (206.14m2), covered front porch, rear terrace with wood pergola and planters (47.23m2), bsmt finish (38.87m2), underground garage (106.53m2) with shared covered driveway and garage ramp",permit
markham,10 Maple Grove Drive Unit 14,,,43.46655732091814,-79.64439563575328,yes,building,1,1,0,ramp,2017-10-31,2017-10-31,2017 001056 000 00 TH,,"New two storey townhome (215.27m2), covered front porch, rear terrace with wood pergola and planters (42.25m2), bsmt finish (46.34m2), underground garage (104.67m2) with shared covered driveway and garage ramp",permit
markham,10 Maple Grove Drive Unit 15,,,43.46655732091814,-79.64439563575328,yes,building,1,1,0,ramp,2017-10-31,2017-10-31,2017 001055 000 00 TH,,"New two storey townhome (216.02m2), covered front porch, rear terrace with wood pergola and planters (40.42m2), bsmt finish (46.09m2), underground garage (106.53m2) with shared covered driveway and garage ramp",permit
markham,10 Maple Grove Drive Unit 16,,,43.46655732091814,-79.64439563575328,yes,building,1,1,0,ramp,2017-12-13,2017-12-13,2017 001054 000 00 TH,,"New two storey townhome (206.14m2), covered front porch, rear terrace with wood pergola and planters (47.23m2), bsmt finish (38.87m2), underground garage (106.53m2) with shared covered driveway and shared garage ramp",permit
markham,10 Maple Grove Drive Unit 17,,,43.46655732091814,-79.64439563575328,yes,building,1,1,0,ramp,2017-12-13,2017-12-13,2017 001053 000 00 TH,,"New two storey townhome (215.27m2), covered front porch, rear terrace with wood pergola and planters (42.25m2), bsmt finish (46.34m2), underground garage (104.67m2) with shared covered driveway and shared garage ramp",permit
markham,10 Maple Grove Drive Unit 18,,,43.46655732091814,-79.64439563575328,yes,building,1,1,0,ramp,2017-12-13,2017-12-13,2017 001052 000 00 TH,,"New two storey townhome (216.02m2), covered front porch, rear terrace with wood pergola and planters (40.42m2), bsmt finish (46.09m2), underground garage (106.53m2) with shared covered driveway and shared garage ramp",permit
markham,10 Maple Grove Drive Unit 19,,,43.46655732091814,-79.64439563575328,yes,building,1,1,0,ramp,2017-12-13,2017-12-13,2017 001051 000 00 TH,,"New two storey townhome (216.02m2), covered front porch, rear terrace with wood pergola and planters (40.42m2), bsmt finish (46.09m2), underground garage (106.532) with shared covered driveway and shared garage ramp",permit
markham,10 Maple Grove Drive Unit 2,,,43.46655732091814,-79.64439563575328,yes,building,1,1,0,ramp,2017-11-02,2017-11-02,2017 001059 000 00 TH,,"New two storey townhome (215.27m2), covered front porch, rear terrace with wood pergola and planters (42.25m2), bsmt finish (46.34m2), underground garage (104.67m2) with shared covered driveway and shared garage ramp",permit
markham,10 Maple Grove Drive Unit 20,,,43.46655732091814,-79.64439563575328,yes,building,1,1,0,ramp,2017-12-13,2017-12-13,2017 001050 000 00 TH,,"New two storey townhome (215.27m2), covered front porch, rear terrace with wood pergola and planters (42.25m2), bsmt finish (46.34m2), underground garage (104.67m2) with shared covered driveway and shared garage ramp",permit
markham,10 Maple Grove Drive Unit 21,,,43.46655732091814,-79.64439563575328,yes,building,1,1,0,ramp,2017-12-13,2017-12-13,2017 001049 000 00 TH,,"New two storey townhome (206.14m2), covered front porch, rear terrace with wood pergola and planters (47.23m2), bsmt finish (38.87m2), underground garage (106.53m2) with shared covered driveway and shared garage ramp",permit
markham,10 Maple Grove Drive Unit 3,,,43.46655732091814,-79.64439563575328,yes,building,1,1,0,ramp,2017-11-02,2017-11-02,2017 001060 000 00 TH,,"New two storey townhome (216.02m2), covered front porch, rear terrace with wood pergola and planters (40.42m2), bsmt finish (46.09m2), underground garage (106.532) with shared covered driveway and shared garage ramp",permit
markham,10 Maple Grove Drive Unit 4,,,43.46655732091814,-79.64439563575328,yes,building,1,1,0,ramp,2017-12-13,2017-12-13,2017 001061 000 00 TH,,"New two storey townhome (216.02m2), covered front porch, rear terrace with wood pergola and planters (40.42m2), bsmt finish (46.09m2), underground garage (106.532) with shared covered driveway and shared garage ramp",permit
markham,10 Maple Grove Drive Unit 5,,,43.46655732091814,-79.64439563575328,yes,building,1,1,0,ramp,2017-12-13,2017-12-13,2017 001062 000 00 TH,,"New two storey townhome (215.27m2), covered front porch, rear terrace with wood pergola and planters (42.25m2), bsmt finish (46.34m2), underground garage (104.67m2) with shared covered driveway and shared garage ramp",permit
markham,10 Maple Grove Drive Unit 6,,,43.46655732091814,-79.64439563575328,yes,building,1,1,0,ramp,2017-12-13,2017-12-13,2017 001063 000 00 TH,,"New two storey townhome (206.14m2), covered front porch, rear terrace with wood pergola and planters (47.23m2), bsmt finish (38.87m2), underground garage (106.53m2) with shared covered driveway and shared garage ramp",permit
markham,10 Maple Grove Drive Unit 7,,,43.46655732091814,-79.64439563575328,yes,building,1,1,0,ramp,2017-12-13,2017-12-13,2017 001064 000 00 TH,,"New two storey townhome (216.02m2), covered front porch, rear terrace with wood pergola and planters (40.42m2), bsmt finish (46.09m2), underground garage (106.532) with shared covered driveway and garage ramp",permit
markham,10 Maple Grove Drive Unit 8,,,43.46655732091814,-79.64439563575328,yes,building,1,1,0,ramp,2017-12-13,2017-12-13,2017 001065 000 00 TH,,"New two storey townhome (215.27m2), covered front porch, rear terrace with wood pergola and planters (42.25m2), bsmt finish (46.34m2), underground garage (104.67m2) with shared covered driveway and garage ramp",permit
markham,10 Maple Grove Drive Unit 9,,,43.46655732091814,-79.64439563575328,yes,building,1,1,0,ramp,2017-12-13,2017-12-13,2017 001066 000 00 TH,,"New two storey townhome (206.14m2), covered front porch, rear terrace with wood pergola and planters (47.23m2), bsmt finish (38.87m2), underground garage (106.53m2) with shared covered driveway and garage ramp",permit
markham,"100 Lakeshore Oakville ON
CANADA",,,43.44366102369917,-79.66993784142878,yes,building,1,1,0,ramp,2019-10-21,2019-10-21,2019 001719 000 00 AA,,"Localized concrete repairs to parking garage ramp and stair wells. Install new water proofing system and mastic asphalt and installation of new heating cables at service ramp, adjacent suspended slab, stairs and walkway. No GFA.",permit
markham,100 Lakeshore Rd E  PKNG,,,43.44366102369917,-79.66993784142878,yes,building,1,1,0,accessible; ramp,2025-06-18,2025-06-18,2024 216439 000 00 AA,,To construct an accessible ramp at the entrance with a retaining wall &ndash; condominium building.  No GFA added.,permit
markham,100 Lisonally Court,,,43.41767667193558,-79.68628854483505,yes,building,1,1,0,handrail,2017-01-23,2017-01-23,2014 001785 REV 02 RA,,Revision to permit: Change to interior guards / handrails,permit
