OBJECTID_1,join_OBJECTID,CUSTOMFOLDERNUMBER,FOLDERDESCRIPTION,FOLDERNAME,FOLDERTYPE,Subtype,Worktype,INDATE,ISSUEDATE,PROPERTYRSN,Status,Construction_Value,Dwelling_Units_Created,GFA,GFA__Accessory_Unit_,GFA__Basements_Alterations_,Infill_Lot,ConstructionStartDate,UnitsDemolished,AdjustedWorktype,StatusGroup,GlobalID,Number_of_Storeys,LEGALDESC,latitude,longitude
96,2552550,2016 001537 000 00 SA,UNIT D-11:  Move interior partition wall to enlarge existing office space and add an new barrier free washroom (16.26m2).  No additional GFA.,380 Dundas Street E,SA,"Post Secondary Institution, College",Alt./Improve,1472774400000,,67055,Cancelled,18376,,0,,,,,,Renovation & Repair,Cancelled,de4292e4-9b46-4c11-9939-84294af59e71,,PLAN M757 BLK 1,43.48820437626905,-79.71657838397797
104,2487483,2022 114990 000 00 RN,"Construction of a 2 storey dwelling with attached garage, 7 bedrooms, elevator, front covered porch, rear covered patio, walk-out basement, and finished basement.",124 Sparling Crt,RN,Single Family Detached Dwelling,New Const.,1656288000000,2022-11-25,30951,Issued,1800000,1,403.2,225.79,0,Yes,1675728000000,,New Construction,Permit Issued,f75e0812-6d14-4252-b6f1-1f8210fe2d00,2,PLAN 969 LOT 15   ,43.428025918394106,-79.6884151689414
121,2523232,2023 112325 REV 01 RA,"revision to add finished basement with bedroom, storage, gym, sauna, living room, wet bar, and conversion of previously unexcavated area below front porch into secret room, removal of previously approved elevator from all floors with minor changes to first and second storey floor plans to accommodate, increased water service sizing. ",1087 Bridge Rd,RA,Single Family Detached Dwelling,Alt./Improve,1714608000000,2024-05-23,6654,Issued,20000,0,127,,,Yes,,,Renovation & Repair,Permit Issued,18b04a72-557a-4d54-9ab6-d49a2cfe9bce,0,PLAN 619 LOT 104   ,43.42755659502264,-79.69997372629027
149,2523763,2022 116689 000 00 RA,"Interior alterations to infill an existing stair opening in floor and install a new elevator, and replacing rear door and windows.  ",63 Bel Air Dr,RA,Single Family Detached Dwelling,Alt./Improve,1657065600000,2022-08-23,41399,Closed,30000,0,8.4,,,Yes,,,Renovation & Repair,Closed,3ccb7371-1428-4ec9-9d91-b681a76b0801,,PLAN M508 LOT 9   ,43.45747304968288,-79.65217250725838
290,2532416,2025 103121 000 00 BDP,Accessory Dwelling Unit: Basement apartment in single storey home. Add 1 new and enlarge 1 existing basement window. Basement entrance using existing rear grade level entry door.,1448 Bridge Road,BDP,House - Part 9 - Detached House,Alteration/repair OR Alteration/finish to an existing building,1738627200000,2025-02-28,9151,Closed,100000,1,0,0,101.63,,1744070400000,,Renovation & Repair,Closed,dae3d42f-62e9-4913-b7a5-7bee525659b6,,PLAN 646 LOT 141   ,43.4173845792039,-79.70993574931876
319,2484246,2017 002015 000 00 RA,Addition of an elevator ,2104 Devon Road,RA,Single Family Detached Dwelling,Alt./Improve,1508371200000,2017-10-24,43374,Closed,10000,0,0,,,No,,,Renovation & Repair,Closed,aaf5c0a7-ff2f-4087-a16f-b1c42101fdb8,,PLAN 549 LOT 27   ,43.478418258021655,-79.64954806076541
458,2514939,2025 125257 000 00 BDP,Add a residential elevator to the house,179 Douglas Avenue,BDP,House - Part 9 - Detached House,Alteration/repair OR Alteration/finish to an existing building,1764201600000,2026-02-02,39669,Issued,20000,0,0,13.29,0,,1773360000000,,Renovation & Repair,Permit Issued,1381c8e9-06fb-4459-8b93-555bd9f8be10,,PLAN 113 LOT 136   ,43.45194594546062,-79.66653614591883
505,2559158,2025 110646 000 00 BDP,"LOT SPECIFIC - Based on Model 2002 Elevation A. BLK 21 &ndash; Unit 5. Construction of a 3 Storey Town House with Attached Garage, Covered Porch, Elevator 41&apos;X41&apos; Cab, Fireplace. Main and Upper Rear Balcony, Main Floor Front Balcony. Unfinished Basement, 3 PC Rought-in Finish Foyer and Cold Cellar. 3 Bedrooms.",323 Helen Lawson Lane,BDP,House - Part 9 - Town House,New Construction,1746489600000,2025-07-25,128949,Occupancy Granted,367290,1,294.6,13.94,0,No,1753920000000,,New Construction,NULL,3715f6ee-0ec4-45c6-b4da-72a32b63ae2b,3,PLAN M1301 PT BLK 21 RP 20R23112 PART 11,43.45408427645521,-79.6731882793677
579,2524217,2022 131908 REV 01 CA,"Revision to Permit # 22-131908 000 00 CA
Exterior window replacement, partial exterior stone panel replacement, addition of ACM panels, and revision to elevator sum pump pit - Scotiabank.",207 Lakeshore Rd E,CA,Bank,Alt./Improve,1717027200000,2024-06-27,24614,Closed,70000,,0,,,,,,Renovation & Repair,Closed,c5dab080-8829-4b11-a92b-881128551ce3,,PLAN 1 BLK 7 PT LOT D   ,43.446002048870355,-79.66839344169139
809,2503990,2016 001203 000 00 RA,"Interior alteration to existing townhouse unit. Remove walls and reconfigure portion of first floor (including relocating fireplace), add walls for washrooms and closers on third floor. Add elevator to service all floors in dwelling, and add structure in basement to support the elevator. 70.0m2 total area of work. No GFA added.",48 Walker Street,RA,Row or Town House,Alt./Improve,1468540800000,2016-08-05,25567,Closed,30000,0,70,,,No,,,Renovation & Repair,Closed,83700a09-5f1d-40aa-9e2c-ab15573cb815,,"PLAN 1 PT RESERVE D,E RP 20R7630 PARTS 9,47,48,49, 50 ",43.438746586929426,-79.66985443990451
