OBJECTID_1,join_OBJECTID,CUSTOMFOLDERNUMBER,FOLDERDESCRIPTION,FOLDERNAME,FOLDERTYPE,Subtype,Worktype,INDATE,ISSUEDATE,PROPERTYRSN,Status,Construction_Value,Dwelling_Units_Created,GFA,GFA__Accessory_Unit_,GFA__Basements_Alterations_,Infill_Lot,ConstructionStartDate,UnitsDemolished,AdjustedWorktype,StatusGroup,GlobalID,Number_of_Storeys,LEGALDESC,latitude,longitude
96,2552550,2016 001537 000 00 SA,UNIT D-11:  Move interior partition wall to enlarge existing office space and add an new barrier free washroom (16.26m2).  No additional GFA.,380 Dundas Street E,SA,"Post Secondary Institution, College",Alt./Improve,1472774400000,,67055,Cancelled,18376,,0,,,,,,Renovation & Repair,Cancelled,de4292e4-9b46-4c11-9939-84294af59e71,,PLAN M757 BLK 1,43.48820437626905,-79.71657838397797
579,2524217,2022 131908 REV 01 CA,"Revision to Permit # 22-131908 000 00 CA
Exterior window replacement, partial exterior stone panel replacement, addition of ACM panels, and revision to elevator sum pump pit - Scotiabank.",207 Lakeshore Rd E,CA,Bank,Alt./Improve,1717027200000,2024-06-27,24614,Closed,70000,,0,,,,,,Renovation & Repair,Closed,c5dab080-8829-4b11-a92b-881128551ce3,,PLAN 1 BLK 7 PT LOT D   ,43.446002048870355,-79.66839344169139
912,2525652,2016 000083 000 00 CN,"Interior alterations and small addition to existing unit.  Demolition and relocation of staircase between ground and second floors.  Fire separation between ground and second floors to create separate units - ground floor retail (50.7m2), second floor office (50.7m2).  Plumbing and mechanical on ground floor including new barrier free washroom.  Extension of glass storefront (new area added is 2.6m2).",229 Lakeshore Road E,CN,Multi-Use/Multi-Storey E,Addition,1453766400000,,24662,Cancelled,40000,,2.6,,,,,,Addition,Cancelled,87faf6b3-5f68-4e99-888e-6384d3e5806b,2,PLAN 1 BLK 7 PT LOT F   ,43.44643060037623,-79.66792065095034
1309,2556641,2025 108371 000 00 BDP,"Tenant fit-out to convert Bay 3 of existing Brewery/Warehouse into restaurant, event space and retail store with new outdoor patio, new mezzanine above kitchen, new rear entrances with landing, stairs and an accessible ramp.",1165 Invicta Drive,BDP,Restaurants,Addition to an existing building,1761004800000,,50463,Resubmission Under Review,3500000,,71.29,,,,,,Addition,Permit in Progress,cd5d2b1a-c495-47f7-b604-eaa28e29bde5,1,PLAN 608 LOT 8 PT LOT 9 RP 20R7525 PART 1 RP 20R23032 PART 1,43.47465018927009,-79.67629945264909
1552,2538592,2016 000790 000 00 SA,Interior alterations for accessibility upgrades to existing staff washrooms on first floor (19.54m2).  No GFA added.,2220 Lakeshore Road W,SA,Nursing Home,Alt./Improve,1462838400000,2016-06-29,10901,Closed,39080,,19.54,,,,,,Renovation & Repair,Closed,cc126519-c8cf-4168-aa7d-55dfd7f5b20f,,"CON 4 SDS PT LOTS 27,28   ",43.39945589945426,-79.70526764781695
2249,2523293,2016 002092 000 00 CA,"Interior alterations to existing retail space, new barrier free washroom (391.54m2).  HEALTHY PLANET.  No additional GFA.",210 North Service Road W,CA,Store,Alt./Improve,1477267200000,2017-01-16,481,Closed,100000,,391.54,,,,,,Renovation & Repair,Closed,787f6bea-b2bb-4e95-b88e-29c0a421ac5c,,"CON 2 SDS PT LOTS 17,18 RP 20R5959 PARTS 3,4  ",43.44915305631199,-79.70129811199872
2851,2486380,2015 001390 000 00 SA,Installation of new doors and barrier free operators and relocation of door on first floor washroom.  No GFA added.  OAKVILLE TRAFALGAR SCHOOL,1460 Devon Road,SA,Secondary School,Alt./Improve,1439856000000,2015-10-01,52976,Closed,38905,,10,,,,,,Renovation & Repair,Closed,480eddab-755f-41ca-915e-2ebd1d453f46,,PLAN M91 BLK A   ,43.47254293244845,-79.65393513700147
2990,2532530,2017 000636 REV 01 CA,"REVISION TO PERMIT: Removing push button access to front door for Barrier Free Design.  No other work proposed, no additional GFA.",2501 Third Line - Unit D10,CA,Restaurant E <30 persons,Alt./Improve,1501459200000,2017-08-08,68299,Closed,0,,0,,,,,,Renovation & Repair,Closed,e7ec2ae9-287a-4b2f-8bd3-d28f040d22b6,,PLAN M787 BLK 228,43.4499242807788,-79.7583272837436
3169,2527303,2025 110507 000 00 BDP,Stairs from an existing front porch is removed and a new ramp added in front yard of an existing house.,106 Chalmers Street,BDP,House - Part 9 - Detached House,Addition to an existing building,1745884800000,2025-05-08,15411,Issued,20000,0,12.5,0,0,Yes,1760572800000,,Addition,Permit Issued,c395dc73-4742-4649-960b-48fb2c505b23,1,PLAN M219 LOT 34   ,43.384218110117594,-79.71861934172406
3257,2501092,2019 001880 REV 01 CA,REVISION:  Removal of the public washrooms in the basement; provide an elevator machine room; and an updated seismic classification (based on seismic report).,2172 Speers,CA,Office Multi-Storey,Alt./Improve,1597881600000,2021-02-04,119930,Issued,0,,0,,,,,,Renovation & Repair,Permit Issued,ec9cdb78-dc97-45e4-a35f-d7f4a242168b,,PLAN 821 PT LOTS 1 TO 5 RP 20R16538 PART 2   ,43.41402157478707,-79.7199268268624
