city,address,neighbourhood,ward,latitude,longitude,has_coords,sources,total_permits,n_building_permits,n_development_permits,keywords,earliest_permit_date,latest_permit_date,building_row_ids,development_file_numbers,sample_description,coord_source,completion
mississauga,2200 EGLINTON AVE W,,,43.55901329932373,-79.7031994089758,yes,building,4,4,0,handrail; lift,2018-07-18,2022-02-24,MECH 18-2344; BP 3ALT 20-2272; BP 3ALT 20-2341; FIRE 22-624,,UPGRADE (2) TURTLE ELEVATOR MECHANICAL SYSTEMS,permit,completed
mississauga,100 QUEENSWAY  W,,,43.5714788514522,-79.6078871835314,yes,building,3,3,0,handrail; lift,2018-07-09,2020-07-13,FIRE 18-2152; BP 3NEW 18-1569; BP 3ALT 20-2273,,UPGRADE OF EXISTING ELEVATOR C9- TRILLIUM HEALTH PARTNERS,permit,completed
mississauga,1867 INNER CIR,,,43.5506920494479,-79.66439743994357,yes,building,3,3,0,barrier-free; lift,2018-10-11,2019-01-29,BP 3ALT 18-3596; BP 3ALT 18-4729; BP 3ALT 19-4782,,INTERIOR ALTERATIONS OF EXISTING CORRIDORS & ELEVATOR LOBBIES (BLOCK A) - WILLIAM G. DAVIS BUILDING - UTM,permit,completed
mississauga,4250 SHERWOODTOWNE BLVD,,,43.60022379706267,-79.64030821398224,yes,building,3,3,0,barrier-free; lift; ramp,2019-04-10,2025-03-21,BP 3NEW 19-5486; BP 3NEW 18-3330; BP 3NEW 24-2896,,EXTERIOR ALTERATIONS - NEW BARRIER-FREE RAMP & RELOCATION OF STAIRS,permit,completed
mississauga,1200 AEROWOOD DR,,,43.638148657136774,-79.63842887837862,yes,building,2,2,0,ramp,2024-11-26,2025-06-23,BP 3ALT 24-2077; FIRE 25-8223,,INTERIOR ALTERATIONS - THE BRAMPTON NILGIRIS INC.,permit,completed
mississauga,1400 COURTNEYPARK DR E,,,43.66168873689719,-79.65890243228418,yes,building,2,2,0,lift,2018-03-28,2018-07-25,BP 3ALT 18-497; SGNBLD 18-2287,,INTERIOR ALTERATIONS- LIFTOW LTD,permit,completed
mississauga,210 ANNAGEM BLVD,,,43.63907471145062,-79.68590430800262,yes,building,2,2,0,lift,2019-04-05,2019-05-16,SGNBLD 18-4616; SGNBLD 19-4949 VAR,,ONE (1) GROUND SIGN - CROWN LIFT TRUCKS,permit,completed
mississauga,2389 CLIFF RD,,,43.584164902900646,-79.60094253590718,yes,building,2,2,0,lift,2021-10-07,2025-06-05,FIRE 21-8686; MECH 25-7203,,(3) NEW HOLD OPEN DEVICES CONNECTED TO FIRE ALARM PANEL-CLIFTON P.S.,permit,completed
mississauga,2700 MATHESON BLVD E,,,43.662876862030394,-79.59988490642503,yes,building,2,2,0,lift; ramp,2022-09-29,2024-07-05,BP 3ALT 22-3544; BP 3ALT 24-2369,,ALTERATION AND REPAIR WITHIN EXISTING (2) STOREY PARKING GARAGE STRUCUTRE - REPAIR CONCRETE RAMP & FLOOR  REPLACE DRAIN PIPES,permit,completed
mississauga,3270 TOMKEN RD,,,43.60510595711681,-79.60220197728745,yes,building,2,2,0,barrier-free; lift,2020-08-18,2021-11-19,BP 3ALT 20-2418; BP 3ALT 21-8162,,INSTALLATION OF AN ELEVATOR AND A STAGE LIFT WITH STAIR - DUFFERIN-PEEL RCSS BOARD,permit,completed
mississauga,4141 LIVING ARTS DR,,,43.58979033152572,-79.64587170825189,yes,building,2,2,0,automatic door; lift,2020-07-17,2021-06-28,FIRE 20-571; BP 3ALT 21-6783,,RELOCATING FIRE ALARM RECALL PANEL DUE TO MODERNIZATION OF ELEVATOR,permit,completed
mississauga,4161 SLADEVIEW CRES,,,43.53082883778967,-79.71796767619291,yes,building,2,2,0,mobility,2020-01-16,2021-03-18,BP 3ALT 19-8329; BP 3ALT 20-2335,,INTERIOR ALTERATIONS - HELP MOBILITY,permit,completed
mississauga,5400 EXPLORER DR,,,43.66156973144375,-79.60417453306034,yes,building,2,2,0,lift,2023-10-13,2024-05-07,BP 3ALT 23-9220; BP 3ALT 24-1803,,INTERIOR ALTERATIONS - CONVERT MEZZANINE TO 2ND FLR  CREATE (2) EXIT STAIRWAYS  ELEVATOR  & OPENING IN 2ND FLR SLAB - LANDLORD WORK,permit,completed
mississauga,6900 AIRPORT RD,,,43.70350677339834,-79.63832813112714,yes,building,2,2,0,barrier-free; lift,2019-01-28,2023-02-01,BP 3ALT 18-3947; BP 3ALT 22-1459,,INTERIOR ALTERATIONS - RE-PURPOSE EXISTING STAIR SHAFT TO ACCOMMODATE NEW FREIGHT LIFT,permit,completed
mississauga,70 MINEOLA RD E,,,43.562661153589225,-79.58676711072384,yes,building,2,2,0,barrier-free; ramp,2021-07-26,2025-07-17,BP 3NEW 21-7234; BP 3ALT 25-8897,,INTERIOR ALTERATIONS & EXTERIOR STAIRS & RAMPS AT BUILDING ENTRANCE AREA - PORT CREDIT SECONDARY SCHOOL,permit,completed
mississauga,93 DUNDAS ST E,,,43.582494858383946,-79.61464684101865,yes,building,2,2,0,barrier-free; ramp,2018-05-04,2018-07-30,BP 3ALT 18-1319; BP 3NEW 18-2441,,INTERIOR ALTERATIONS- INTERIOR DEMOLITION AND NEW BARRIER FREE WASHROOM  - MODEL SUITE  LANDLORD WORK,permit,issued
mississauga,975 CENTRAL PKY W,,,43.569004567003496,-79.65600945305303,yes,building,2,2,0,lift,2021-03-23,2023-07-06,BP 3ALT 21-5441; BP 3ALT 23-8116,,REPLACEMENT OF (8) IN-GROUND MOTOR VEHICLE LIFTS - MISSISSAUGA TRANSIT,permit,completed
mississauga,100 CITY CENTRE DR,,,43.59274012997629,-79.64265441737689,yes,building,1,1,0,mobility,2018-08-17,2018-08-17,BP 3ALT 18-2063,,INTERIOR ALTERATIONS DUE TO INCREASE IN UNIT SIZE - BELL MOBILITY STORE,permit,completed
mississauga,100 MILVERTON DR,,,43.618187038382075,-79.67451500264457,yes,building,1,1,0,lift,2021-09-14,2021-09-14,FIRE 21-8345,,THREE (3) SINGLE DOORS &  TWO (2) DOUBLE DOORS MAGLOCKS IN ELEVATOR LOBBY &  RECEPTION AREA ON 8TH FLOOR,permit,completed
mississauga,101 QUEENSWAY  W,,,43.57226353285717,-79.61091780726197,yes,building,1,1,0,lift,2023-07-19,2023-07-19,FIRE 23-8160,,INSTALLATION OF (4) ELECTROMAGNETIC LOCKS WITHIN 3RD FLOOR ELEVATOR LOBBY - TRILLIUM HEALTH PARTNERS,permit,completed
mississauga,1025 STACEY CRT,,,43.63289010722247,-79.63918122442176,yes,building,1,1,0,lift,2021-04-19,2021-04-19,SGNBLD 20-4536,,(1) FASCIA SIGN FOR MARCH ELEVATOR LIMITED,permit,completed
mississauga,1050 COURTNEYPARK DR E,,,43.65516876195104,-79.66765005473778,yes,building,1,1,0,accessible; ramp,2021-08-16,2021-08-16,BP 3NEW 21-6168,,INSTALLATION OF FRONT & REAR ACCESSIBLE RAMPS  INTERIOR ALTERATION TO ACCESSIBLE WASHROOM & VESTIBULE  UPGRADE TO FIRE ALARM SYSTEM - LANDLORD WORK,permit,completed
mississauga,11 PETER ST S,,,43.54850350438227,-79.58795570537279,yes,building,1,1,0,barrier-free; ramp,2021-08-25,2021-08-25,BP 3NEW 21-6993,,NEW BARRIER FREE RAMP  NEW WASHROOM  INT ALTS  NEW EXT.DOORS  BALCONY REPAIRS  UPGRADING FIRE ALARM SYSTEM & RELOCATE DUCTING,permit,completed
mississauga,1120 RUNNINGBROOK DR,,,43.61246340848427,-79.6046782281377,yes,building,1,1,0,barrier-free,2023-07-18,2023-07-18,BP 3ALT 23-7973,,INTERIOPR ALTERATIONS TO BARRIER-FREE WASHROOM - TERESA OF CALCUTTA ELEMENTARY SCHOOL,permit,completed
mississauga,1149 LAKESHORE RD E,,,43.57985951254952,-79.55617663058196,yes,building,1,1,0,lift,2018-02-14,2018-02-14,BP 3ALT 18-215,,REVISION TO #17-8009 - STAIRCASE (REMOVE ELEVATOR)  REMOVE SKYLIGHTS  REDUCE MAIN FLR VEST & REROUTE DUCTWORK.,permit,issued
mississauga,1185 MISSISSAUGA VALLEY BLVD,,,43.599301713771496,-79.62219851575954,yes,building,1,1,0,lift,2022-03-01,2022-03-01,BP 3ALT 22-232,,INTERIOR ALTERATIONS - NEW STAGE LIFT FOR GYMNASIUM,permit,completed
mississauga,1195 CLARKSON RD N,,,43.52212653410353,-79.62506542019669,yes,building,1,1,0,lift,2020-07-16,2020-07-16,BP 3ALT 20-1879,,INTERIOR ALTERATIONS -  INSTALLATION OF ELEVATOR AND STAGE LIFT ON THE FIRST FLOOR -  ST CHRISTOPHER ELEMENTARY SCHOOL,permit,completed
mississauga,1260 KAMATO RD,,,43.642067944692606,-79.6391043430043,yes,building,1,1,0,barrier-free; ramp,2018-10-23,2018-10-23,BP 3ALT 18-2727,,REPLACE EXISTING BARRIER FREE RAMP TO FRONT ENTRANCE - APPLIED ELECTRONICS LIMITED,permit,issued
mississauga,1300 MCBRIDE AVE,,,43.5589416437439,-79.65647749119866,yes,building,1,1,0,lift,2018-07-18,2018-07-18,BP 3ALT 18-2427,,INTERIOR ALTERATIONS - VERTICAL LIFT RETOFIT FOR STAGE - ST GERARD ELEMENTARY SCHOOL,permit,completed
mississauga,1305 DIXIE RD,,,43.593407183619696,-79.55530811681594,yes,building,1,1,0,lift,2023-06-14,2023-06-14,BP 3ALT 22-4792,,INTERIOR ALTERATIONS FOR NEW ELEVATOR - TORONTO GOLF CLUB,permit,completed
mississauga,1325 BODLEY RD,,,43.50613377577965,-79.65054518785107,yes,building,1,1,0,lift,2019-08-06,2019-08-06,BP 3ALT 19-6964,,INTERIOR ALTERATIONS- ADD LIFT TO STAGE AREA,permit,completed
mississauga,135 MATHESON BLVD E,,,43.621379667642735,-79.66589657941547,yes,building,1,1,0,lift,2018-06-25,2018-06-25,BP 3NEW 18-576,,2ND STOREY ADDN  NEW CANOPY  EXTERIOR ELEVATOR  INT & EXT ALTS TO CONVERT EXISTING OFFICE/WAREHOUSE SPACE INTO SELF-STORAGE FACILITY - BLUEBIRD SELF STORAGE FACILITY,permit,completed
mississauga,1355 AEROWOOD DR,,,43.64276508137379,-79.63537673238748,yes,building,1,1,0,accessible; ramp,2019-04-29,2019-04-29,BP 3NEW 18-1115,,INTERIOR ALTERATIONS  NEW ACCESSIBLE FRONT ENTRANCE (RAMP)  EXTERIOR ALTERATIONS WITH (2) OVERHEAD DOORS - ACCESS SELF STORAGE.,permit,completed
