city,address,neighbourhood,ward,latitude,longitude,has_coords,sources,total_permits,n_building_permits,n_development_permits,keywords,earliest_permit_date,latest_permit_date,building_row_ids,development_file_numbers,sample_description,coord_source
mississauga,1025 FERGUS AVE,,,43.584040576525474,-79.55289953014004,yes,building,2,2,0,lift; ramp,2018-02-21,2020-04-03,FIRE 18-251; BP 3ALT 20-986,,FIRE ALARM SYSTEM UPGRADES FOR ELEVATOR MODIFICATIONS,permit
mississauga,145 ST. LAWRENCE DR,,,43.5561332793893,-79.5784443956189,yes,building,2,2,0,lift,2021-07-21,2024-01-03,BP 9ALT 21-6626; BP 9ALT 23-10260,,PROPOSED ELEVATOR IN EXISTING DWELLING & MINOR INTERIOR ALTERATIONS,permit
mississauga,3341 SUNDEW CRT,,,43.56417651482653,-79.75643737410985,yes,building,2,2,0,lift,2024-12-03,2026-03-20,BP 9ALT 24-4973; BP 9ALT 26-816,,(1) STOREY ADDITION IN SIDE YARD  NEW CRAWL SPACE  NEW SIDE DOOR  NEW DECK IN REAR YARD WITH LIFT,permit
mississauga,880 RILEY CRT,,,43.59912816567576,-79.5960579563662,yes,building,2,2,0,barrier-free; lift; ramp,2020-04-02,2022-01-26,FIRE 20-889; BP 3NEW 21-9660,,UPGRADING EXISTNG FIRE ALARM SYSTEM AND ELEVATOR CONTROL SYSTEM,permit
mississauga,1015 ROOSEVELT RD,,,43.564138846473085,-79.57334164552918,yes,building,1,1,0,ramp,2018-04-27,2018-04-27,BP 3ALT 17-6560,,EXTERIOR ALTERATIONS - CLOSE UNDERGROUND PARKING RAMP WITH A STRUCTURAL RETAINING WALL,permit
mississauga,1016 MISSISSAUGA HEIGHTS DR,,,43.55123024575158,-79.6310390126791,yes,building,1,1,0,lift,2025-06-02,2025-06-02,BP 9ALT 22-5175,,ALTERATION TO ADD NEW FRONT PORCH W/ LIFT PLATFORM OF EXISTING SFD,permit
mississauga,1022 GREAVES AVE,,,43.571832171356775,-79.56533310085563,yes,building,1,1,0,lift,2022-09-28,2022-09-28,FIRE 22-3179,,FIRE ALARM DEVICES UPGRADE FOR ELEVATOR  EMERGENCY RECALL OPERATION,permit
mississauga,1061 SENECA AVE,,,43.563811690868604,-79.57551165163525,yes,building,1,1,0,lift,2022-06-01,2022-06-01,FIRE 21-5815,,FIRE ALARM CONTROL PANEL REPLACEMENT - UPGRADE TO ELEVATOR CONTROL SYSTEM,permit
mississauga,110 ST. LAWRENCE DR,,,43.55557993107276,-79.57903505832206,yes,building,1,1,0,lift,2024-09-25,2024-09-25,BP 9ALT 24-3218,,NEW ELEVATOR ON GROUND & SECOND FLOOR,permit
mississauga,1100 CAVEN ST,,,43.57039208807052,-79.5700212193787,yes,building,1,1,0,ramp,2023-06-01,2023-06-01,BP 3ALT 23-7373,,PARKING GARAGE RAMP REPAIR & WATERPROOFING - LOCALIZED GARAGE CONCRETE REPAIR,permit
