OBJECTID,BP_NO,STATUS,ADDRESS,UNIT_NO,DESCRIPTION,SCOPE,FILE_TYPE,BLDG_TYPE,APP_DETAIL,APPL_AREA,STOREYS,EST_CON_VALUE,RES_UNITS,DEMO,POSTAL_CODE,BLDG_NO,WARD,ZAREA,LATITUDE,LONGITUDE,APPLICATION_DATE,ISSUE_DATE,COMPLETE_DATE,latitude,longitude
127,FIRE 17-9000,COMPLETED -ALL INSP SIGNED OFF,1111 BOUGH BEECHES BLVD,,FIRE PANEL REPLACEMENT AND INSTALLATION OF SMOKE DETECTORS IN EACH ELEVATOR LOBBY,OTHER,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,67000,,N,L4W 4N1,,3,26,43.62489545,-79.60100448,1512950400000,2018-01-15,1568246400000,43.62489544961892,-79.60100447501212
216,FIRE 18-166,ISSUED PERMIT,1440 BLOOR ST,,FIRE ALARM PANEL REPLACEMENT FOR ELEVATOR MODERNIZATION,OTHER,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,69000,,N,L4X 1R5,,3,19,43.61713644,-79.59331393,1516060800000,2018-01-24,,43.61713644181814,-79.59331392650577
385,BP 3ALT 18-215,ISSUED PERMIT,1149 LAKESHORE RD E,,REVISION TO #17-8009 - STAIRCASE (REMOVE ELEVATOR)  REMOVE SKYLIGHTS  REDUCE MAIN FLR VEST & REROUTE DUCTWORK.,ALTERATION TO EXISTING BLDG,COMMERCIAL,COMMERCIAL OFFICE- SINGLE USER,,,,34000,,N,L5E 1E8,,1,06,43.57985951,-79.55617663,1516320000000,2018-02-14,,43.57985951254952,-79.55617663058196
433,FIRE 18-251,COMPLETED -ALL INSP SIGNED OFF,1025 FERGUS AVE,,FIRE ALARM SYSTEM UPGRADES FOR ELEVATOR MODIFICATIONS,OTHER,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,69000,,N,L5E 3G7,,1,06,43.58404058,-79.55289953,1516665600000,2018-02-21,1528416000000,43.584040576525474,-79.55289953014004
511,BP 9ALT 18-96,COMPLETED -ALL INSP SIGNED OFF,2603 LIRUMA RD,,REVISION - LAYOUT CHANGES  ELEVATOR REMOVED  DECK ENLARGEMENT  EXTERIOR WINDOW & DOOR ALTERATIONS.,ALTERATION TO EXISTING BLDG,RESIDENTIAL,DETACHED DWELLING,,,2,141000,,N,L5K 1Y8,,2,18,43.53001584,-79.6704977,1515456000000,2018-02-28,1577059200000,43.53001584196703,-79.67049769511316
643,BP 3ALT 18-456,ISSUED PERMIT,5025 CREEKBANK RD,3RD FLR,INTERIOR ALTERATIONS TO AN EXISTING OFFICE- MOBILITY TRAINING ROOM / BELL CANADA,ALTERATION TO EXISTING BLDG,COMMERCIAL,COMMERCIAL OFFICE- SINGLE USER,,,,84000,,N,L4W 0B6,,5,35e,43.64355775,-79.61316359,1517961600000,2018-03-13,,43.643557752249386,-79.61316359075859
740,SGNBLD 18-472,COMPLETED -ALL INSP SIGNED OFF,3111 WHARTON WAY,,ONE GROUND SIGN - MOVE MOBILITY INC.,PYLON SIGN,INDUSTRIAL,SINGLE TENANT INDUSTRIAL,,,,7000,,N,L4X 2B6,,3,19,43.62145012,-79.57622292,1517961600000,2018-03-22,1567641600000,43.62145012441377,-79.57622291738379
799,BP 3ALT 18-497,COMPLETED -ALL INSP SIGNED OFF,1400 COURTNEYPARK DR E,,INTERIOR ALTERATIONS- LIFTOW LTD,ALTERATION TO EXISTING BLDG,INDUSTRIAL,SINGLE TENANT INDUSTRIAL,,,,1024000,,N,L5T 1H1,,5,42w,43.66168874,-79.65890243,1518134400000,2018-03-28,1557187200000,43.66168873689719,-79.65890243228418
1031,BP 3NEW 18-951,COMPLETED -ALL INSP SIGNED OFF,5655 KENNEDY RD,4,REVISION TO BP 17-9126 - INTERIOR AND EXTERIOR ALTERATIONS ( NEW RAMP AND OVERHEAD DRIVE-IN DOOR) - AVAD CANADA LTD.,REVISIONS,INDUSTRIAL,MULTI-TENANT INDUSTRIAL,,,,104000,,N,L4Z 3E1,,5,36e,43.62851586,-79.65500017,1521158400000,2018-04-23,1537401600000,43.628515856089635,-79.65500017031954
1091,BP 3ALT 17-6560,ISSUED PERMIT,1015 ROOSEVELT RD,,EXTERIOR ALTERATIONS - CLOSE UNDERGROUND PARKING RAMP WITH A STRUCTURAL RETAINING WALL,OTHER,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,80000,,N,L5G 3Y7,,1,07,43.56413885,-79.57334165,1497484800000,2018-04-27,,43.564138846473085,-79.57334164552918
1167,BP 3NEW 18-717,COMPLETED -ALL INSP SIGNED OFF,155 BRITANNIA RD E,200,INSTALLATION OF A TEMPORARY ACCESSIBLE RAMP,OTHER,INDUSTRIAL,MULTI-TENANT INDUSTRIAL,,,,25000,,N,L4Z 4C3,A,5,43w,43.63018919,-79.67799291,1519776000000,2018-05-03,1572480000000,43.6301891875521,-79.67799291147541
1178,BP 3ALT 18-1319,ISSUED PERMIT,93 DUNDAS ST E,1,INTERIOR ALTERATIONS- INTERIOR DEMOLITION AND NEW BARRIER FREE WASHROOM  - MODEL SUITE  LANDLORD WORK,ALTERATION TO EXISTING BLDG,COMMERCIAL,COMMERCIAL - OTHER,,,,34000,,N,L5A 1W7,,7,21,43.58249486,-79.61464684,1523491200000,2018-05-04,,43.582494858383946,-79.61464684101865
1184,BP 3ALT 18-1542,ISSUED PERMIT,2100 SHEROBEE RD,,LOCALIZED CONCRETE REPAIRS OF UNDERGROUND RAMP AND GARAGE,ALTERATION TO EXISTING BLDG,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,37000,,N,L5A 4C5,,7,14,43.57161371,-79.60158396,1525046400000,2018-05-04,,43.571613707483706,-79.60158395747334
1248,BP 3NEW 18-1092,COMPLETED -ALL INSP SIGNED OFF,945 BLOOR ST,,NEW ELEVATOR ADDITION WITH BARRIER-FREE WASHROOMS; INTERIOR ALTERATIONS-WASHROOM RENOVATIONS  NEW BARRIER-FREE STAGE LIFT & STAIR LIFT-APPLEWOOD SECONDARY SCHOOL,ADDITION AND ALTERATION,PUBLIC,SCHOOL - SECONDARY,,40,,221000,,N,L4Y 2M8,,3,20,43.60765401,-79.60572093,1522022400000,2018-05-10,1573776000000,43.60765400924354,-79.60572093348556
1353,BP 3NEW 18-1306,COMPLETED -ALL INSP SIGNED OFF,2155 DUNWIN DR,101 & 102,NEW BARRIER-FREE RAMP - LANDLORD'S WORK,ALTERATION TO EXISTING BLDG,COMMERCIAL,COMMERCIAL OFFICE - MULTI-USER,,,,34000,,N,L5L 4M1,,8,25,43.53482367,-79.67097195,1523404800000,2018-05-22,1576713600000,43.53482366584531,-79.67097195242202
1492,BP 9ALT 18-1778,COMPLETED -ALL INSP SIGNED OFF,953 NINTH ST,,REVISION TO BP 17-7374 - ADD 2ND FURNACE & CAR LIFT   TRUSS DESIGN & STRUCTURAL CHANGES,REVISIONS,RESIDENTIAL,DETACHED DWELLING,,,,50000,,N,L5E 1S2,,1,06,43.5842761,-79.57296785,1526428800000,2018-06-01,1562544000000,43.58427609817719,-79.57296784922319
1535,FIRE 17-5632,COMPLETED -ALL INSP SIGNED OFF,7435 GOREWAY DR,,ADDITION OF FIRE ALARM DEVICES DUE TO ELEVATOR MODERNIZATION  REPLACEMENT OF EXISTING FIRE ALARM CONTROL PANEL.,OTHER,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,34000,,N,L4T 4G5,,5,48e,43.72283926,-79.64282052,1491523200000,2018-06-07,1679011200000,43.72283925777987,-79.6428205213204
1582,BP 3NEW 13-4110,ISSUED PERMIT,3657 PONYTRAIL DR,,ADDITION & ALTERATIONS - 1 STOREY LOBBY ADDITION & NEW BARRIER-FREE RAMP  CHURCH OF THE NAZARENE,ADDITION AND ALTERATION,PUBLIC,CHURCH,,47,,118000,,N,L4X 1W5,,3,19,43.63325356,-79.59003543,1362528000000,2018-06-13,,43.63325355613109,-79.59003543416526
1609,FIRE 18-1802,COMPLETED -ALL INSP SIGNED OFF,5915 AIRPORT RD,11TH FLR,INSTALLATION OF (2) MAGLOCKS - ELEVATOR LOBBY - HOSTOPIA,ELECTROMAG LOCK DEVICE,COMMERCIAL,COMMERCIAL OFFICE - MULTI-USER,,,,14000,,N,L4V 1T1,,5,33,43.68719812,-79.6078483,1526515200000,2018-06-14,1536537600000,43.68719811927478,-79.60784830387172
1730,BP 3NEW 18-576,COMPLETED -ALL INSP SIGNED OFF,135 MATHESON BLVD E,,2ND STOREY ADDN  NEW CANOPY  EXTERIOR ELEVATOR  INT & EXT ALTS TO CONVERT EXISTING OFFICE/WAREHOUSE SPACE INTO SELF-STORAGE FACILITY - BLUEBIRD SELF STORAGE FACILITY,ADDITION AND ALTERATION,INDUSTRIAL,INDUSTRIAL - OTHER,,2656.8,2,6409000,,N,L4Z 1R2,,5,36w,43.62137967,-79.66589658,1518652800000,2018-06-25,1562630400000,43.621379667642735,-79.66589657941547
1780,BP 3NEW 18-1443,COMPLETED -ALL INSP SIGNED OFF,2524 BROMSGROVE RD,,(2) STOREY SIDE ADDITION (ELEVATOR AND WASHROOMS) & INTERIOR ALTERATIONS - CLARKSON SECONDARY SCHOOL,ADDITION AND ALTERATION,PUBLIC,SCHOOL - SECONDARY,,97.2,,340000,,N,L5J 1L8,,2,11,43.50403589,-79.64519872,1524441600000,2018-06-28,1552608000000,43.504035887385825,-79.64519872251311
1784,BP 3NEW 18-1734,COMPLETED -ALL INSP SIGNED OFF,3573 WOLFEDALE RD,,EXTERIOR ALTERATIONS - (4) ROOFTOP UNITS  NEW DOOR  CONCRETE PAD AND RAMP - ROGERS,ALTERATION TO EXISTING BLDG,COMMERCIAL,COMMERCIAL OFFICE- SINGLE USER,,,,187000,,N,L5C 3T6,,6,23,43.57495516,-79.65111789,1526256000000,2018-06-28,1542067200000,43.574955155119376,-79.65111788937956
1892,BP 3ALT 18-2428,COMPLETED -ALL INSP SIGNED OFF,515 HARTSDALE AVE,,INTERIOR ALTERATIONS - VERTICAL LIFT RETROFIT FOR STAGE - ST DOMINIC ELEMENTARY SCHOOL,OTHER,PUBLIC,SCHOOL - ELEMENTARY,,,,34000,,N,L5G 2G7,,1,07,43.57330864,-79.57974775,1530576000000,2018-07-09,1559088000000,43.573308635113484,-79.57974775074764
1896,FIRE 18-2152,COMPLETED -ALL INSP SIGNED OFF,100 QUEENSWAY  W,,UPGRADE OF EXISTING ELEVATOR C9- TRILLIUM HEALTH PARTNERS,OTHER,PUBLIC,PUBLIC/INSTIT (EXCEPT SCHOOLS),,,,34000,,N,L5B 1B8,,7,15,43.57147885,-79.60788718,1528934400000,2018-07-09,1593734400000,43.5714788514522,-79.6078871835314
2005,BP 3NEW 18-1569,COMPLETED -ALL INSP SIGNED OFF,100 QUEENSWAY  W,,NEW PARKING GARAGE ELEVATOR,ALTERATION TO EXISTING BLDG,PUBLIC,PUBLIC/INSTIT (EXCEPT SCHOOLS),,,,153000,,N,L5B 1B8,,7,15,43.57147885,-79.60788718,1525132800000,2018-07-17,1616112000000,43.5714788514522,-79.6078871835314
2024,MECH 18-2344,COMPLETED -ALL INSP SIGNED OFF,2200 EGLINTON AVE W,,UPGRADE (2) TURTLE ELEVATOR MECHANICAL SYSTEMS,OTHER,PUBLIC,PUBLIC/INSTIT (EXCEPT SCHOOLS),,,,96000,,N,L5M 2N1,,8,31,43.5590133,-79.70319941,1529971200000,2018-07-18,1580342400000,43.55901329932373,-79.7031994089758
2025,FIRE 18-2334,COMPLETED -ALL INSP SIGNED OFF,5995 AVEBURY RD,,FIRE ALARM UPGRADE FOR ELEVATOR MODERNIZATION,OTHER,COMMERCIAL,COMMERCIAL OFFICE - MULTI-USER,,,,69000,,N,L5R 3P9,,5,37e,43.62350119,-79.68100566,1529971200000,2018-07-18,1537401600000,43.62350118924941,-79.68100566300951
