OBJECTID,BP_NO,STATUS,ADDRESS,UNIT_NO,DESCRIPTION,SCOPE,FILE_TYPE,BLDG_TYPE,APP_DETAIL,APPL_AREA,STOREYS,EST_CON_VALUE,RES_UNITS,DEMO,POSTAL_CODE,BLDG_NO,WARD,ZAREA,LATITUDE,LONGITUDE,APPLICATION_DATE,ISSUE_DATE,COMPLETE_DATE,latitude,longitude
385,BP 3ALT 18-215,ISSUED PERMIT,1149 LAKESHORE RD E,,REVISION TO #17-8009 - STAIRCASE (REMOVE ELEVATOR)  REMOVE SKYLIGHTS  REDUCE MAIN FLR VEST & REROUTE DUCTWORK.,ALTERATION TO EXISTING BLDG,COMMERCIAL,COMMERCIAL OFFICE- SINGLE USER,,,,34000,,N,L5E 1E8,,1,06,43.57985951,-79.55617663,1516320000000,2018-02-14,,43.57985951254952,-79.55617663058196
643,BP 3ALT 18-456,ISSUED PERMIT,5025 CREEKBANK RD,3RD FLR,INTERIOR ALTERATIONS TO AN EXISTING OFFICE- MOBILITY TRAINING ROOM / BELL CANADA,ALTERATION TO EXISTING BLDG,COMMERCIAL,COMMERCIAL OFFICE- SINGLE USER,,,,84000,,N,L4W 0B6,,5,35e,43.64355775,-79.61316359,1517961600000,2018-03-13,,43.643557752249386,-79.61316359075859
740,SGNBLD 18-472,COMPLETED -ALL INSP SIGNED OFF,3111 WHARTON WAY,,ONE GROUND SIGN - MOVE MOBILITY INC.,PYLON SIGN,INDUSTRIAL,SINGLE TENANT INDUSTRIAL,,,,7000,,N,L4X 2B6,,3,19,43.62145012,-79.57622292,1517961600000,2018-03-22,1567641600000,43.62145012441377,-79.57622291738379
799,BP 3ALT 18-497,COMPLETED -ALL INSP SIGNED OFF,1400 COURTNEYPARK DR E,,INTERIOR ALTERATIONS- LIFTOW LTD,ALTERATION TO EXISTING BLDG,INDUSTRIAL,SINGLE TENANT INDUSTRIAL,,,,1024000,,N,L5T 1H1,,5,42w,43.66168874,-79.65890243,1518134400000,2018-03-28,1557187200000,43.66168873689719,-79.65890243228418
1031,BP 3NEW 18-951,COMPLETED -ALL INSP SIGNED OFF,5655 KENNEDY RD,4,REVISION TO BP 17-9126 - INTERIOR AND EXTERIOR ALTERATIONS ( NEW RAMP AND OVERHEAD DRIVE-IN DOOR) - AVAD CANADA LTD.,REVISIONS,INDUSTRIAL,MULTI-TENANT INDUSTRIAL,,,,104000,,N,L4Z 3E1,,5,36e,43.62851586,-79.65500017,1521158400000,2018-04-23,1537401600000,43.628515856089635,-79.65500017031954
1167,BP 3NEW 18-717,COMPLETED -ALL INSP SIGNED OFF,155 BRITANNIA RD E,200,INSTALLATION OF A TEMPORARY ACCESSIBLE RAMP,OTHER,INDUSTRIAL,MULTI-TENANT INDUSTRIAL,,,,25000,,N,L4Z 4C3,A,5,43w,43.63018919,-79.67799291,1519776000000,2018-05-03,1572480000000,43.6301891875521,-79.67799291147541
1178,BP 3ALT 18-1319,ISSUED PERMIT,93 DUNDAS ST E,1,INTERIOR ALTERATIONS- INTERIOR DEMOLITION AND NEW BARRIER FREE WASHROOM  - MODEL SUITE  LANDLORD WORK,ALTERATION TO EXISTING BLDG,COMMERCIAL,COMMERCIAL - OTHER,,,,34000,,N,L5A 1W7,,7,21,43.58249486,-79.61464684,1523491200000,2018-05-04,,43.582494858383946,-79.61464684101865
1248,BP 3NEW 18-1092,COMPLETED -ALL INSP SIGNED OFF,945 BLOOR ST,,NEW ELEVATOR ADDITION WITH BARRIER-FREE WASHROOMS; INTERIOR ALTERATIONS-WASHROOM RENOVATIONS  NEW BARRIER-FREE STAGE LIFT & STAIR LIFT-APPLEWOOD SECONDARY SCHOOL,ADDITION AND ALTERATION,PUBLIC,SCHOOL - SECONDARY,,40,,221000,,N,L4Y 2M8,,3,20,43.60765401,-79.60572093,1522022400000,2018-05-10,1573776000000,43.60765400924354,-79.60572093348556
1353,BP 3NEW 18-1306,COMPLETED -ALL INSP SIGNED OFF,2155 DUNWIN DR,101 & 102,NEW BARRIER-FREE RAMP - LANDLORD'S WORK,ALTERATION TO EXISTING BLDG,COMMERCIAL,COMMERCIAL OFFICE - MULTI-USER,,,,34000,,N,L5L 4M1,,8,25,43.53482367,-79.67097195,1523404800000,2018-05-22,1576713600000,43.53482366584531,-79.67097195242202
1582,BP 3NEW 13-4110,ISSUED PERMIT,3657 PONYTRAIL DR,,ADDITION & ALTERATIONS - 1 STOREY LOBBY ADDITION & NEW BARRIER-FREE RAMP  CHURCH OF THE NAZARENE,ADDITION AND ALTERATION,PUBLIC,CHURCH,,47,,118000,,N,L4X 1W5,,3,19,43.63325356,-79.59003543,1362528000000,2018-06-13,,43.63325355613109,-79.59003543416526
