OBJECTID,BP_NO,STATUS,ADDRESS,UNIT_NO,DESCRIPTION,SCOPE,FILE_TYPE,BLDG_TYPE,APP_DETAIL,APPL_AREA,STOREYS,EST_CON_VALUE,RES_UNITS,DEMO,POSTAL_CODE,BLDG_NO,WARD,ZAREA,LATITUDE,LONGITUDE,APPLICATION_DATE,ISSUE_DATE,COMPLETE_DATE,latitude,longitude
127,FIRE 17-9000,COMPLETED -ALL INSP SIGNED OFF,1111 BOUGH BEECHES BLVD,,FIRE PANEL REPLACEMENT AND INSTALLATION OF SMOKE DETECTORS IN EACH ELEVATOR LOBBY,OTHER,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,67000,,N,L4W 4N1,,3,26,43.62489545,-79.60100448,1512950400000,2018-01-15,1568246400000,43.62489544961892,-79.60100447501212
216,FIRE 18-166,ISSUED PERMIT,1440 BLOOR ST,,FIRE ALARM PANEL REPLACEMENT FOR ELEVATOR MODERNIZATION,OTHER,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,69000,,N,L4X 1R5,,3,19,43.61713644,-79.59331393,1516060800000,2018-01-24,,43.61713644181814,-79.59331392650577
433,FIRE 18-251,COMPLETED -ALL INSP SIGNED OFF,1025 FERGUS AVE,,FIRE ALARM SYSTEM UPGRADES FOR ELEVATOR MODIFICATIONS,OTHER,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,69000,,N,L5E 3G7,,1,06,43.58404058,-79.55289953,1516665600000,2018-02-21,1528416000000,43.584040576525474,-79.55289953014004
511,BP 9ALT 18-96,COMPLETED -ALL INSP SIGNED OFF,2603 LIRUMA RD,,REVISION - LAYOUT CHANGES  ELEVATOR REMOVED  DECK ENLARGEMENT  EXTERIOR WINDOW & DOOR ALTERATIONS.,ALTERATION TO EXISTING BLDG,RESIDENTIAL,DETACHED DWELLING,,,2,141000,,N,L5K 1Y8,,2,18,43.53001584,-79.6704977,1515456000000,2018-02-28,1577059200000,43.53001584196703,-79.67049769511316
1091,BP 3ALT 17-6560,ISSUED PERMIT,1015 ROOSEVELT RD,,EXTERIOR ALTERATIONS - CLOSE UNDERGROUND PARKING RAMP WITH A STRUCTURAL RETAINING WALL,OTHER,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,80000,,N,L5G 3Y7,,1,07,43.56413885,-79.57334165,1497484800000,2018-04-27,,43.564138846473085,-79.57334164552918
1184,BP 3ALT 18-1542,ISSUED PERMIT,2100 SHEROBEE RD,,LOCALIZED CONCRETE REPAIRS OF UNDERGROUND RAMP AND GARAGE,ALTERATION TO EXISTING BLDG,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,37000,,N,L5A 4C5,,7,14,43.57161371,-79.60158396,1525046400000,2018-05-04,,43.571613707483706,-79.60158395747334
1492,BP 9ALT 18-1778,COMPLETED -ALL INSP SIGNED OFF,953 NINTH ST,,REVISION TO BP 17-7374 - ADD 2ND FURNACE & CAR LIFT   TRUSS DESIGN & STRUCTURAL CHANGES,REVISIONS,RESIDENTIAL,DETACHED DWELLING,,,,50000,,N,L5E 1S2,,1,06,43.5842761,-79.57296785,1526428800000,2018-06-01,1562544000000,43.58427609817719,-79.57296784922319
1535,FIRE 17-5632,COMPLETED -ALL INSP SIGNED OFF,7435 GOREWAY DR,,ADDITION OF FIRE ALARM DEVICES DUE TO ELEVATOR MODERNIZATION  REPLACEMENT OF EXISTING FIRE ALARM CONTROL PANEL.,OTHER,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,34000,,N,L4T 4G5,,5,48e,43.72283926,-79.64282052,1491523200000,2018-06-07,1679011200000,43.72283925777987,-79.6428205213204
2057,BP 9ALT 18-2404,COMPLETED -ALL INSP SIGNED OFF,4403 BEACON LANE,,INSTALLATION OF AN INTERIOR ELEVATOR,ALTERATION TO EXISTING BLDG,RESIDENTIAL,DETACHED DWELLING,,,,20000,,N,L5C 4K1,,6,30,43.57798032,-79.6655393,1530230400000,2018-07-19,1532476800000,43.577980317321604,-79.66553930455193
2224,FIRE 18-2671,COMPLETED -ALL INSP SIGNED OFF,2250 SOUTH MILLWAY,LOBBY,ONE(1) SMOKE DETECTOR INSTALLATION IN ELEVATOR LOBBY,OTHER,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,37000,,N,L5L 3J6,,8,25,43.54112145,-79.68285797,1531958400000,2018-08-01,1579046400000,43.541121451893346,-79.68285796784984
2742,BP 3ALT 18-3222,COMPLETED -ALL INSP SIGNED OFF,2301 DERRY RD W,,PARKING GARAGE RAMP RETAINING WALL REMEDIATION,OTHER,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,36000,,N,L5N 2R4,,9,54w,43.59329297,-79.76670253,1536105600000,2018-09-25,1704672000000,43.593292969743835,-79.7667025255431
3247,BP 9ALT 18-3660,COMPLETED -ALL INSP SIGNED OFF,123 ST. LAWRENCE DR,,INTERIOR ALTERATIONS - ELEVATOR INSTALLATION,ALTERATION TO EXISTING BLDG,RESIDENTIAL,CONDOMINIUM ROW DWELLING,,,,20000,,N,,,1,07,43.55613328,-79.5784444,1538611200000,2018-11-07,1571356800000,43.5561332793893,-79.5784443956189
3294,FIRE 18-3900,COMPLETED -ALL INSP SIGNED OFF,2445 THE COLLEGEWAY,,FIRE ALARM CONTROL PANEL REPLACEMENT  SMOKE DETECTORS IN FRONT OF ELEVATORS ON EACH FLOOR & ELEVATOR MODULATOR RELAY FUNCTIONS,OTHER,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,69000,,N,L5L 2E5,,8,25,43.53723337,-79.68542835,1540339200000,2018-11-13,1639353600000,43.53723337251883,-79.6854283492824
3681,BP 9ALT 18-4566,COMPLETED -ALL INSP SIGNED OFF,5732 RIVERSIDE PL,,INSTALL ELEVATOR (BASEMENT TO SECOND FLOOR),ALTERATION TO EXISTING BLDG,RESIDENTIAL,DETACHED DWELLING,,,,20000,,N,L5M 4W5,,6,38w,43.58682769,-79.71094766,1544572800000,2018-12-13,1589760000000,43.58682769454671,-79.71094765703552
4292,BP 3BLD 19-5408,COMPLETED -ALL INSP SIGNED OFF,2323 CONFEDERATION PKY,,EXTERIOR WALL REPAIR  EXTERIOR STAIR WELLS & PARKING RAMP RAILING REPLACEMENT,ALTERATION TO EXISTING BLDG,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,185000,,N,L5B 1R6,,7,15,43.57297437,-79.61171499,1551312000000,2019-03-05,1571356800000,43.572974374598985,-79.61171498592229
4408,BP 3ALT 18-4447,COMPLETED -ALL INSP SIGNED OFF,2520 EGLINTON AVE W,2ND FL,NEW ELEVATOR TO ACCESS 2ND FLOOR OFFICE & REVISED LAYOUT OF OFFICE SPACE,REVISIONS,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,755000,,N,L5M 0Y4,C,8,32,43.55750469,-79.70641077,1543795200000,2019-03-18,1635897600000,43.55750469143364,-79.70641077311333
4467,BP 3NEW 19-4920,COMPLETED -ALL INSP SIGNED OFF,33 CENTRAL PKY W,,NEW ENCLOSURE OVER EXISTING RAMP TO THE PARKING GARAGE,ALTERATION TO EXISTING BLDG,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,126000,,N,L5B 1L4,,7,22,43.58871282,-79.63039498,1547596800000,2019-03-22,1604620800000,43.58871282125264,-79.63039497589244
5107,FIRE 19-6216,COMPLETED -ALL INSP SIGNED OFF,3170 KIRWIN AVE,,UPGRADING FIRE ALARM SYSTEM - NEW (16) SMOKE DETECTORS IN ELEVATOR LOBBY THROUGH ENTIRE BUILDING,OTHER,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,71000,,N,L5A 3R1,,7,21,43.58440324,-79.61747067,1556496000000,2019-05-23,1598313600000,43.584403241021214,-79.6174706688455
5211,BP 9ALT 19-5155,COMPLETED -ALL INSP SIGNED OFF,363 THRACE AVE,,NEW (1) STOREY REAR ADDITION & BARRIER FREE RAMP AT SIDE,ADDITION AND ALTERATION,RESIDENTIAL,SEMI-DETACHED DWELLING,,21.97,,56000,,N,L5B 2B2,,7,15,43.56970847,-79.62121492,1549238400000,2019-06-04,1572566400000,43.569708468174866,-79.62121492433023
5455,BP 3ALT 19-6757,COMPLETED -ALL INSP SIGNED OFF,3050 CONSTITUTION BLVD,,(1) EXTERIOR DOOR WIDENING,ALTERATION TO EXISTING BLDG,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,34000,,N,L4Y 3X1,,3,20,43.60323862,-79.59243277,1559606400000,2019-06-21,1611705600000,43.603238615898874,-79.59243276949276
5466,BP 3ALT 19-6758,COMPLETED -ALL INSP SIGNED OFF,3060 CONSTITUTION BLVD,,(1) EXTERIOR DOOR WIDENING TO ELETRICAL ROOM,ALTERATION TO EXISTING BLDG,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,34000,,N,L4Y 3X8,,3,20,43.60207396,-79.59415787,1559606400000,2019-06-21,1611705600000,43.60207396395012,-79.59415786857407
5506,FIRE 19-6922,COMPLETED -ALL INSP SIGNED OFF,1423 MISSISSAUGA VALLEY BLVD,,FIRE ALARM UPGRADE FOR ELEVATOR MODERNIZATION,OTHER,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,71000,,N,L5A 4A5,,4,21,43.59490491,-79.62835961,1560470400000,2019-06-25,1569283200000,43.594904905178566,-79.62835960570018
5508,FIRE 19-6921,COMPLETED -ALL INSP SIGNED OFF,1477 MISSISSAUGA VALLEY BLVD,,FIRE ALARM UPGRADE FOR ELEVATOR MODERNIZATION,OTHER,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,71000,,N,L5A 3Y4,,4,21,43.59397521,-79.62865739,1560470400000,2019-06-25,1569283200000,43.59397520792511,-79.62865739299718
5616,BP 3NEW 19-6449,COMPLETED -ALL INSP SIGNED OFF,80 PORT ST E,,PARKING GARAGE RAMP REPAIRS,ALTERATION TO EXISTING BLDG,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,35000,,N,,,1,08,43.5543697,-79.58137697,1557705600000,2019-07-04,1572480000000,43.55436969988513,-79.58137697049722
6441,FIRE 19-6727,COMPLETED -ALL INSP SIGNED OFF,285 NORTH SERVICE RD,,FIRE ALARM SYSTEM UPGRADING -  NEW SMOKE DETECTORS IN ELEVATOR LOBBIES,OTHER,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,35000,,N,L5A 1A8,,7,14,43.5755944,-79.59334551,1559260800000,2019-09-16,1575936000000,43.57559440149772,-79.59334550568848
6450,BP 3BLD 19-7923,COMPLETED -ALL INSP SIGNED OFF,20 ELIZABETH ST N,,PARKING GARAGE REPAIRS TO CONCRETE & RAMP,OTHER,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,165000,,N,L5G 2Z1,,1,08,43.55398936,-79.58639505,1566777600000,2019-09-16,1615507200000,43.55398936259215,-79.58639504541104
6688,BP 9ALT 19-7789,COMPLETED -ALL INSP SIGNED OFF,4192 HICKORY DR,,REVISION TO 17-8042-ADD ELEVATOR RELOCATE 2ND FURNACE ROOM KITCHEN PARTITIONS GARAGE S.O.G TO STRUCTURAL SLAB REVISED FLOOR SYSTEM&TRUSSES,ALTERATION TO EXISTING BLDG,RESIDENTIAL,DETACHED DWELLING,,,,310000,,N,L4W 1L2,,3,27,43.62452972,-79.60986344,1565827200000,2019-10-04,1693872000000,43.624529723788015,-79.60986343957552
7236,BP 3BLD 19-8813,COMPLETED -ALL INSP SIGNED OFF,350 PRINCESS ROYAL DR,,PARKING GARAGE REPAIRS TO EXTERIOR RAMP,OTHER,RESIDENTIAL,APARTMENT (> 6 UNITS),,,,80000,,N,L5B 4N1,B,4,29,43.58751383,-79.646442,1571702400000,2019-11-18,1590364800000,43.58751383375461,-79.64644200380197
