city,address,neighbourhood,ward,latitude,longitude,has_coords,sources,total_permits,n_building_permits,n_development_permits,keywords,earliest_permit_date,latest_permit_date,building_row_ids,development_file_numbers,sample_description,coord_source,completion
montreal,1  place Ville-Marie,Ville-Marie,,45.501600528164325,-73.56899123133239,yes,building,10,10,0,accessible; handicap; lift; ramp,2001-07-19,2025-01-28,3000006142; 3000538387; 1001175401; 3001806875; 3000546515; 3000545381; 3000655984; 1000900101; 1000257502; 1001039601,,"RUE CATHCART, RÉFECTION DE LA RAMPE D'ACCÈS EXTÉRIEURE DU STATIONNEMENT INTÉRIEUR, TEL QUE L'EXISTANT",permit,unknown
montreal,800  rue De La Gauchetière Ouest,Ville-Marie,,45.49935122545025,-73.56521847184267,yes,building,8,8,0,barrier-free; handicap; lift; mobility; ramp,2003-11-14,2020-10-19,3001173134; 3000009339; 1000027404; 3000704353; 3000005813; 3000230647; 3000687613; 1000611803,,"Au rez-de-chaussée, en façade de la rue de la Gauchetière O, remplacer les escaliers par des escaliers en béton, installer deux marquises en acier recouverte de panneau d'aluminium et installer une rampe d'accès universel avec garde-corps en verre, tels qu'aux plans approuvés.",permit,unknown
montreal,100  rue Sainte-Catherine Ouest,Ville-Marie,,45.50745584238347,-73.56441933863755,yes,building,7,7,0,lift; mobility; ramp,1994-03-30,2025-07-02,3001848753; 1000211803; 1000139694; 1000427196; 3001595093; 1000228901; 3000024469,,"En façade du boulevard René-Lévesque Ouest, au niveau 72, ajouter 3 portes doubles et en cour avant, ajouter une rampe d'accès universel et un escalier, tels qu'aux plans approuvés.",permit,unknown
montreal,7255  rue Sherbrooke Est,Mercier - Hochelaga-Maisonneuve,,45.59005903533249,-73.53895085523457,yes,building,7,7,0,handicap; mobility; ramp,1994-04-12,2017-03-31,1000161494; 3000547502; 3000639713; 1000167594; 1000546396; 3000054949; 3000036608,,CONSTRUCTION D'UNE RAMPE D'ACCES (RAMPE D'HANDICAPE DEJA EXISTANTE),permit,unknown
montreal,105  rue McGill,Ville-Marie,,45.49979870237905,-73.55506410830321,yes,building,6,6,0,accessible; handicap; lift,1996-05-10,2016-09-06,3000356428; 3000572913; 1000112502; 3000111963; 1000399896; 3000428644,,"Au quai de chargement accessible par la rue Normand, réfection des dalles de béton, remplacer les pilastres par de plus gros pilastres et remplacement du quai niveleur.  Tels que plans approuvés.",permit,unknown
montreal,1153  rue Metcalfe,Ville-Marie,,45.50018793653267,-73.57020555361909,yes,building,6,6,0,lift; ramp,1994-05-17,2019-05-09,3000807756; 1000796797; 1000116400; 1000871799; 1001010696; 1000265594,,"En façade rue Metcalfe, remplacer la rampe d'accès par une nouvelle rampe d'accès remise aux normes.  Tel que plans approuvés.",permit,unknown
montreal,1547  avenue des Pins Ouest,Ville-Marie,,45.497268763496216,-73.58853766576816,yes,building,6,6,0,handicap; lift; ramp,1996-05-13,2025-01-28,3001622914; 3001806893; 1000979001; 1000404096; 3000041131; 3000042814,,"Hôpital général de Montréal, Pavillon E, aménager des salles de déchets et recyclage, dans la cour intérieure démanteler la dépendance, remplacer la rampe d'accès, remplacer la porte de garage, au toit installer l'unité de ventilation, tels qu'aux plans approuvés.",permit,unknown
montreal,2450  boulevard Édouard-Montpetit,Côte-des-Neiges - Notre-Dame-de-Grâce,,45.504875342380636,-73.61383235062145,yes,building,6,6,0,accessible; lift; ramp,2015-10-05,2023-04-21,3001302053; 3001245133; 3000984433; 3001597816; 3000654270; 3000508321,,"Pavillon Roger Gaudry - En cour avant donnant sur le chemin de la tour, secteur Est aile B, ajouter une rampe d'accès universelle. À l'intérieur, remplacer une porte double.",permit,unknown
montreal,500  rue Sherbrooke Ouest,Ville-Marie,,45.50660305073963,-73.57233125831654,yes,building,6,6,0,lift,1991-09-17,2015-03-31,1000661699; 1000464491; 1000325592; 1001100999; 3000454073; 3000351304,,"AU 20E ETAGE, REAMENAGEMENT DU HALL DES ASCENSEURS ET DES SALLES        DE TOILETTES",permit,unknown
montreal,1701  rue Parthenais,Ville-Marie,,45.5288015068103,-73.55320477705803,yes,building,5,5,0,accessible; handicap; lift,1992-03-23,2012-06-21,3000063681; 1000119292; 1000425693; 3000241169; 1000355394,,"À tous les niveaux, réaménagement des issues des salles de toilettes (accessibilité universelle), tel que plans approuvés.  Aucun travaux extérieurs.",permit,unknown
montreal,5900  rue De Saint-Vallier,Rosemont - La Petite-Patrie,,45.53221697346283,-73.59981638717935,yes,building,5,5,0,barrier-free; handicap; lift; ramp,1990-11-12,2023-05-17,3000058751; 3000018328; 3001603634; 1000101001; 1000542790,,COUR SEMI-INTÉRIEUR REFAIRE RAMPE D'ACCÈS POUR PERSONNES À MOBILITÉES RÉDUITES ET AGRANDIR BALCON TEL QUE PLANS,permit,unknown
montreal,7070  boulevard Perras,Rivière-des-Prairies - Pointe-aux-Trembles,,45.62413785905975,-73.61133173435907,yes,building,5,5,0,handicap; lift; mobility; ramp,2001-11-28,2023-07-25,3001609595; 3000343993; 3000031210; 3001620519; 1001163901,,"DANS LA COUR INTÉRIEUR DU BÂTIMENT : REMPLACER LES DEUX BALCON, L'ESCALIER ET LA RAMPE D'ACCÈS DU CPE PICASSO AFIN DE LE RENDRE CONFORME ET RÉGLEMENTAIRES",permit,unknown
montreal,3315  chemin Queen-Mary,Côte-des-Neiges - Notre-Dame-de-Grâce,,45.49665485294526,-73.61767900988141,yes,building,4,4,0,handicap; ramp,1999-07-16,2012-07-17,1000690199; 3000243877; 3000018359; 1000059304,,CONSTRUCTION D'UNE RAMPE DE BETON(HANDICAPEE),permit,unknown
montreal,3555  boulevard Pitfield,Saint-Laurent,,45.50329780121217,-73.75505249910694,yes,building,4,4,0,mobility,2002-11-12,2017-06-29,3000653122; 1600038116; 1600036736; 1600035656,,AGRANDISSEMENT LATERAL DU BATIMENT + INSTALLATION D'UNE GENERATRICE «TELUS MOBILITY»,permit,unknown
