city,address,neighbourhood,ward,latitude,longitude,has_coords,sources,total_permits,n_building_permits,n_development_permits,keywords,earliest_permit_date,latest_permit_date,building_row_ids,development_file_numbers,sample_description,coord_source
montreal,400  rue Sainte-Catherine Est,Ville-Marie,,45.513829263861936,-73.56040217591044,yes,building,6,6,0,accessible; handicap; lift,1993-05-17,2018-03-05,1000333802; 3000707196; 1000797699; 1000582199; 1000143493; 1000023496,,"RÉAMÉNAGER PARTIELLEMENT LA LIBRAIRIE (SECTION CAISSE) DE LA COOP,      MODIFIER QUELQUES CLOISONS ET ADOUCIR LES RAMPES D'ACCESSIBILITÉ",permit
montreal,900  rue Sherbrooke Ouest,Ville-Marie,,45.50323567492771,-73.57471228601646,yes,building,6,6,0,lift,2009-04-23,2011-11-04,3000067840; 3000043211; 3000057587; 3000129369; 3000100230; 3000202410,,"MISE AUX NORMES SELON RRVM, c.M-4 : gicleurs, canalisations, alarme-incendie, groupe électrogène, ascenseur, contrôle des fumées, désenfumage, moyens d'évacuation (RENOUVELLEMENT du Permis No 3000043211-09 et du Permis no 3000057587-09)",permit
montreal,3661  rue Peel,Ville-Marie,,45.50449578962453,-73.58059071959674,yes,building,4,4,0,accessible; mobility,2023-08-29,2025-02-24,3001800033; 3001800937; 3001628877; 3001811175,,"Université McGill, Maison Thompson , au sous-sol 1 aménager le vestibule pour créer un parcours d'accessibilité universelle. Façade Est et Ouest, remplacer les portes extérieures  tels que plans approuvés",permit
montreal,2901  rue de Louvain Est,Villeray - Saint-Michel - Parc-Extension,,45.571360158642364,-73.63390424509255,yes,building,3,3,0,handicap; lift; ramp,2013-05-21,2015-07-06,3000484093; 3000332323; 3000477098,,"EN FAÇADE, RUE DE LOUVAIN, DÉMOLIR LA TERRASSE EN BÉTON ET AMÉNAGER UNE RAMPE D'ACCÈS POUR HANDICAPÉS.",permit
montreal,5970  36e Avenue,Rosemont - La Petite-Patrie,,45.568857462875535,-73.56808938493091,yes,building,3,3,0,lift; mobility; ramp,2018-07-20,2025-07-22,3001853675; 3000731284; 3000745553,,Démolir la plateforme élévatrice existante et aménager une rampe d'accécibilité pour personne à mobilité réduite. Tel que documents approuvés,permit
montreal,7000  rue Marie-Victorin,Rivière-des-Prairies - Pointe-aux-Trembles,,45.617939728168665,-73.60693594987312,yes,building,3,3,0,handicap; lift,1998-07-21,2003-02-06,1001142099; 1000035703; 1000577798,,"ENTREE PRINCIPALE, AJOUT D'UNE RAMPE POUR HANDICAPES. PAVILLON TRIEST,  AJOUT DE 2 PASSERELLES DONT UNE AVEC RAMPE ET ASCENSEUR.",permit
montreal,722  12e Avenue,Rivière-des-Prairies - Pointe-aux-Trembles,,45.641305555963406,-73.49338430977318,yes,building,3,3,0,handicap; lift; ramp,1993-12-23,2010-08-05,1000648193; 3000095865; 3000063675,,"AGRANDISSEMENT COTE NORD DE 7'6""X 32'3"" + AMENAGER RAMPE D'HANDICAPE A  L'ARRIERE, REFAIRE TOIT EN PENTE, REAMENAGEMENT COMPLET DE L INTERIEUR.",permit
montreal,100  boulevard De Maisonneuve Est,Ville-Marie,,45.51145187124944,-73.56384085247635,yes,building,2,2,0,lift; ramp,1999-05-18,2008-10-27,3000039053; 1000485899,,"En façade du boulevard de Maisonneuve et sur le côté de la façade latérale Est, re-construction en béton de la terrasse et de la rampe d'accès. Tel qu'aux plans approuvés.",permit
montreal,1006  48e Avenue,Rivière-des-Prairies - Pointe-aux-Trembles,,45.666854218510494,-73.49612779893387,yes,building,2,2,0,lift; ramp,2018-11-29,2022-05-03,3000747327; 3001522554,,EN LATÉRAL GAUCHE: CONSTRUIRE UNE RAMPE D'ACCÈS POUR AVOIR ACCÈS A LA PROPRIÉTÉ POUR PERSONNE A MOBILITÉ REDUITE. RAMPE TEMPORAIRE CAR SERA REMPLACER PAR UNE PLATE FORME ELEVATRICE.,permit
montreal,10205  avenue Bruchési,Ahuntsic - Cartierville,,45.57418418438964,-73.64648936411875,yes,building,2,2,0,automatic door; lift,2001-05-08,2009-06-03,1000467501; 3000045284,,INSTALLATION D'UNE PLATE-FORME ÉLÉVATRICE EXT. EN FAÇADE. AMÉNAGEMENT   D'UNE SALLE DE DOUCHE SANS SEUIL ET TRAVAUX CONNEXES.,permit
