_id,no_demande,id_permis,date_debut,date_emission,emplacement,arrondissement,code_type_base_demande,description_type_demande,description_type_batiment,description_categorie_batiment,nature_travaux,nb_logements,longitude,latitude,loc_x,loc_y,rank
322991,3002418994,3001274053,2020-10-22,2021-02-23,4710  rue Saint-Ambroise,Le Sud-Ouest,TR,Transformation,Industriel,Mixte,"Au premier étage du côté stationnement, ajouter une rampe d'accès universel. Agrandir l'ouverture d'une fenêtre pour y installer de la nouvelle fenestration et une porte. Remplacer la marquise. Remplacer les escaliers. Installer deux persiennes pour entrée et sortie d'air dans les mêmes ouvertures que deux fenêtres existantes sous la rampe.",0,-73.58538080297238,45.47013987289,298123.94,5036693.84,0.0706241
116974,3000528375,3000332771,2012-06-04,2013-05-23,3737  rue Sherbrooke Est,Rosemont - La Petite-Patrie,TR,Transformation,Gouvernemental,Edifice gouvernemental,"FACE SHERBROOKE:ENLEVER RAMPE ACCÈS POUR PERSONNE À MOBILITÉ RÉDUITE,RAGRÉER MARCHE & PERRON, REMPL.MUR RIDEAU D'ENTRÉE. ARR:AMÉN.RAMPE D'ACCÈS & DÉBARCADÈRE POUR PERSONNES À MOBILITÉ RÉDUITE.RC:RÉAMÉN.TOILETTE & AMÉN.1 SALLE DE TOILETTE HANDICAPÉ. 5E ÉTAGE: RÉAMÉN. L'ACCESSIBILITÉ, TEL QUE PLANS.",0,-73.55632574074443,45.550054513115334,300402.03,5045572.81,0.0706241
398924,3003383118,3001710595,2024-04-30,2024-05-21,7741  avenue du Ronceray,Anjou,TR,Transformation,Public,Édifice public,"En avant sur ur Avenue du Ronceray : Remplacer la rampe d'accès et le trottoir privé existants en béton par une nouvelle rampe et un nouveau trottoir privé en béton avec un garde-corps en métal, conformément aux plans approuvés.",0,-73.56091844931095,45.606514740515536,300048.19,5051847.6,0.0706241
422530,3003556957,3001874291,2025-06-17,2025-09-11,6595  avenue Somerled,Côte-des-Neiges - Notre-Dame-de-Grâce,TR,Transformation,Commercial,Commercial,"En cour avant, devant l'entrée principale, remplacer la rampe d'accès universelle. Remplacer les mains courantes de chaque côté de la rampe.",0,-73.6392953356879,45.46696614764549,293907.67,5036347.04,0.0706241
249713,3001323942,3000656722,2017-07-19,2017-07-27,323  rue Chabanel Ouest,Ahuntsic - Cartierville,TR,Transformation,Industriel,Industriel,"Rez-de-chaussée, aménager 2 suites pour le centre de distribution de Poste Canada. (1 suite accessible par le 333 et 1 suite accessible par le 353) Mur latéral gauche ajouter 2 persiennes et 1 rampe d'accès, mur arrière ajouter 1 porte et 1 rampe d'accès, mur latéral droit ajouter 1 persienne. Sur toutes les fenêtres des 2 suites ajouter un film de protection transparent.",0,-73.65518795843988,45.54005204850045,292680.62,5044471.39,0.0706241
228369,3001292231,3000677415,2017-03-23,2017-11-09,4255  avenue Papineau,Le Plateau-Mont-Royal,TR,Transformation combinée,Gouvernemental,Centre hospitalier,"Dans l'appentis au toit, retirer génératrice et ses grilles de ventilation et obturer ces ouvertures avec revêtement métallique, réaménagement intérieur mineur. Rampe d'accès extérieur à l'arrière pour SS: creuser et niveler partie de rampe pour installer nouvelle génératrice encloisonnée sur nouveau caillebotis.",0,-73.56992648215767,45.531262164132535,299338.25,5043485.22,0.0706241
17916,3000049269,3000016919,2006-08-15,2006-09-20,6640  avenue Somerled,Côte-des-Neiges - Notre-Dame-de-Grâce,TR,Transformation,Commercial,Mixte,"EN FAÇADE AVANT,  REFAIRE LA RAMPE POUR ACCÈS HANDICAPÉS (NOUVELLES DIMENSIONS) CONSTRUIRE UNE RAMPE CÔTÉ WALKLAY",0,-73.63920744944922,45.466145847989964,293914.39,5036255.87,0.0706241
481228,1000699593,1000161494,1993-12-29,1994-04-12,7255  rue Sherbrooke Est,Mercier - Hochelaga-Maisonneuve,TR,Transformation,Commercial,Commercial,CONSTRUCTION D'UNE RAMPE D'ACCES (RAMPE D'HANDICAPE DEJA EXISTANTE),0,-73.53895085523457,45.59005903533249,301760.84,5050017.78,0.0706241
121790,3000520371,3000287483,2012-04-25,2012-09-22,5115  rue Rivard,Le Plateau-Mont-Royal,TR,Transformation combinée,Gouvernemental,Edifice gouvernemental,"EN COUR LATÉRALE SUD, DÉMOLIR LA RAMPE D'ACCÈS EXISTANTE. EN FAÇADE, PARALLÈLEMENT À LA RUE RIVARD, ABATTRE UN ARBRE ET RELOCALISER LA RAMPE D'ACCÈS. AU MUR LATÉRAL SUD ET À LA COLONNE DU PORTIQUE D'ENTRÉE, RÉFECTION PONCTUELLE DE LA BRIQUE À L'IDENTIQUE. CA 12 25 0210 ET CA 12 25 0213.",0,-73.58926722655472,45.527901791126844,297827.19,5043113.28,0.0706241
251091,3001331332,3000675774,2017-08-17,2017-11-03,2583  boulevard Pie-IX,Mercier - Hochelaga-Maisonneuve,TR,Transformation,Gouvernemental,Edifice du culte,"EN FAÇADE (AVENUE DESJARDINS), AJOUTER UNE RAMPE ET UNE ENTRÉE ACCESSIBLE AUX PERSONNES À MOBILITÉ RÉDUITE. AU SOUS-SOL, AJOUTER DEUX RAMPES, UNE TOILETTE UNIVERSELLE ET AMÉNAGER L'INTÉRIEUR. AJOUTER LE NUMÉRO MUNICIPAL: 2502 AVENUE DESJARDINS.",0,-73.54877083620876,45.55320707527238,300992.14,5045922.77,0.0706241
