city,address,neighbourhood,ward,latitude,longitude,has_coords,sources,total_permits,n_building_permits,n_development_permits,keywords,earliest_permit_date,latest_permit_date,building_row_ids,development_file_numbers,sample_description,coord_source
ottawa,99 BANK ST,Ward 14,,45.42047014160185,-75.70004122203666,yes,building,3,3,0,accessible; lift,2015-01-14,2015-05-12,1500159; 1502369; 1500159,,"Interior alteration to create accessible washrooms (floors 2, 4, 7 & 9, in the elevator corridor)",permit
ottawa,10 ROSEMOUNT AVE,Ward 15,,45.40074305981421,-75.72788818154137,yes,building,2,2,0,ramp,2015-02-24,2015-02-24,1500721; 1500721,,FOUNDATION ONLY - Construct the foundation and parking garage for a mixed use building (This permit does not include the garage ramp),permit
ottawa,1130 WELLINGTON ST W,Ward 15,,45.40074305981421,-75.72788818154137,yes,building,2,2,0,ramp,2015-02-24,2015-02-24,1500721; 1500721,,FOUNDATION ONLY - Construct the foundation and parking garage for a mixed use building (This permit does not include the garage ramp),permit
ottawa,155 QUEEN ST,Ward 14,,45.421577475655276,-75.69940937984275,yes,building,2,2,0,lift,2015-01-07,2015-01-07,1500041; 1500041,,Tenant fit-up in the basement of a 14 storey office building; add 1 elevator and escalators from ground floor lobby to basement  (Winners),permit
ottawa,1595 MERIVALE RD,Ward 9,,45.353002252214736,-75.73293476352387,yes,building,2,2,0,accessible,2015-01-14,2015-01-14,1500167; 1500167,,"Interior alterations in a 1 storey retail building (Red Lobster, Accessible Washrooms)",permit
ottawa,1660 CARLING AVE,Ward 15,,45.37863481931508,-75.74892044354308,yes,building,2,2,0,lift,2015-01-28,2015-01-28,1500333; 1500333,,Tenant fitup on the ground floor (CRU-1 & CRU-4) and add a freight lift in a  2 storey retail building (Canadian Tire).,permit
ottawa,1701 WOODROFFE AVE,Ward 9,,45.32692077363969,-75.7428773190875,yes,building,2,2,0,accessible,2015-01-23,2015-01-23,1500280; 1500280,,Tenant fit up in a 1 storey community building (Lawnbowl Pavillion - accessibility),permit
ottawa,2287 ST. LAURENT BLVD,Ward 10,,45.38669083911913,-75.61342036093994,yes,building,2,2,0,lift,2015-02-13,2015-02-13,1500572; 1500572,,Lift existing office building to construct a slab foundation beneath it,permit
ottawa,2313 CARLING AVE,Ward 7,,45.368205446299356,-75.77659804689692,yes,building,2,2,0,barrier-free,2015-01-12,2015-01-12,1500117; 1500117,,Interior alterations to a 1 storey funeral home (barrier free washroom),permit
ottawa,2720 RICHMOND RD,Ward 7,,45.35850962985594,-75.79252251144193,yes,building,2,2,0,lift,2015-02-26,2015-02-26,1500755; 1500755,,"Construction of stair and elevator additions, partial demolition and interior alterations to a 3 storey assembly building (conversion of Grant School into Centre Multiservices Francophone de l'Ouest d'Ottawa)",permit
ottawa,365 LAURIER AVE W,Ward 14,,45.41826269640893,-75.70101234157475,yes,building,2,2,0,accessible,2015-03-13,2015-03-13,1501007; 1501007,,Interior alterations on the 5th to the 21st floor of a 21 storey office building (accessible washrooms),permit
ottawa,3701 CARLING AVE,Ward 7,,45.34839702950761,-75.88365124888583,yes,building,2,2,0,lift,2015-01-30,2015-01-30,1500382; 1500382,,Interior alterations (replace elevator) to a 4 storey office/industrial building (David Florida Laboratory),permit
ottawa,50 O'CONNOR ST,Ward 14,,45.420845794726134,-75.69916809449803,yes,building,2,2,0,accessible,2015-01-14,2015-01-14,1500158; 1500158,,"Interior alterations to a 17 storey office building (create accessible washrooms on Floors 2,3,4,7,8,9,10,11,12,13,14, and 16)",permit
ottawa,525 COTE ST,Ward 13,,45.436289507407,-75.64694060191307,yes,building,2,2,0,accessible,2015-01-23,2015-01-23,1500279; 1500279,,Interior alterations to a 2 storey community complex (make pool change rooms accessible),permit
ottawa,879 HIAWATHA PARK RD,Ward 1,,45.48318168766386,-75.54543409574035,yes,building,2,2,0,lift,2015-02-11,2015-02-11,1500550; 1500550,,Interior alterations to upgrade the Elevator Shafts in  a 4 storey long-term care residency (Residence Saint-Louis),permit
ottawa,1 SUSSEX DR,Ward 13,,45.443901464020556,-75.68584389950021,yes,building,1,1,0,lift,2015-05-26,2015-05-26,1502713,,"Interior alterations to a 4 storey  building (Rideau Hall, Replace elevator)",permit
ottawa,111 CATHERINE ST,Ward 14,,45.41153718830202,-75.68849134794208,yes,building,1,1,0,barrier-free,2015-12-04,2015-12-04,1507938,,"Interior alterations on the 1st floor of an 8 storey mixed-use building (barrier free washroom and office suite fit-up, unit #107)",permit
ottawa,1125 COLONEL BY DR,Ward 17,,45.38124556083802,-75.6995571333582,yes,building,1,1,0,ramp,2015-10-23,2015-10-23,1507075,,Install a new ramp roof (steel) in a 3 level parking garage (Carleton University),permit
ottawa,123 METCALFE ST,Ward 14,,45.42051152652045,-75.69501050494442,yes,building,1,1,0,lift,2015-10-22,2015-10-22,1507046,,"Interior alterations to a 6 storey hotel (Indigo Hotel, Remove escalators and construct an elevator)",permit
ottawa,1480 HERON RD,Ward 18,,45.37896964416029,-75.65393893522352,yes,building,1,1,0,lift; ramp,2015-07-16,2015-07-16,1504310,,Interior alterations to replace a lift with ramp on the main floor of a 2 storey institutional building (Heron Community Centre),permit
ottawa,166 FRANK ST,Ward 14,,45.41527521940315,-75.68662549139007,yes,building,1,1,0,accessible,2015-10-28,2015-10-28,1507173,,"Exterior and interior alterations for accessibility upgrades to a 1 storey community building (St. Lukes Community Centre, Bethell Fieldhouse)",permit
ottawa,1760 MCMASTER AVE,Ward 18,,45.386565117758046,-75.6468326656262,yes,building,1,1,0,barrier-free; ramp,2015-07-14,2015-07-14,1504243,,Construct a barrier free ramp at a school (McMaster Catholic School),permit
ottawa,1815 ALTA VISTA DR,Ward 18,,45.40094766745435,-75.66169453520277,yes,building,1,1,0,accessible; ramp,2015-05-07,2015-05-07,1502227,,Exterior alterations to a 2 storey office building (Canadian Dental Association - construct accessibility ramp),permit
ottawa,1876 ROBERTSON RD,Ward 8,,45.32654660706871,-75.82076698711022,yes,building,1,1,0,lift,2015-10-06,2015-10-06,1506613,,Interior alterations to a 2 storey hotel (Best Western Hotel - Install an elevator),permit
ottawa,1915 BANK ST,Ward 16,,45.368600002276615,-75.66196260685624,yes,building,1,1,0,accessible; ramp,2015-09-01,2015-09-01,1505679,,Exterior alterations to remove and replace accessible ramp in a 1 storey office building,permit
ottawa,1923 ELMRIDGE DR,Ward 11,,45.44409536641874,-75.59933369255899,yes,building,1,1,0,lift,2015-05-29,2015-05-29,1502881,,Interior alterations to install an elevator on the ground floor in a 1storey institutional building (Brother Andre Elementary),permit
ottawa,2 BEAVERBROOK RD,Ward 4,,45.3288928202428,-75.90110076214506,yes,building,1,1,0,lift,2015-09-15,2015-09-15,1505985,,Construct a 2 storey addition for an elevator  (Beaverbrook Community Centre),permit
ottawa,20 MCKITRICK DR,Ward 23,,45.29238963657396,-75.88411443355648,yes,building,1,1,0,lift,2015-05-29,2015-05-29,1502880,,Interior alterations to install a elevator on the ground floor in a 2 storey institutional building (St. Martins Catholic School),permit
ottawa,2025 LANTHIER DR,Ward 19,,45.45744868954639,-75.4915830560002,yes,building,1,1,0,lift,2015-09-23,2015-09-23,1506254,,Interior alterations to install an elevator in a 2 storey office building,permit
ottawa,21 103 ANTARES DR,Ward 9,,45.33345417382351,-75.70817460868352,yes,building,1,1,0,lift,2015-09-01,2015-09-01,1505656,,"Interior alterations to a 2 storey office building (Unit 103, International Union of Elevator Constructors)",permit
ottawa,250 CITY CENTRE AVE,Ward 14,,45.40840739664142,-75.71848153590183,yes,building,1,1,0,ramp,2015-05-08,2015-05-08,1502276,,"Exterior alterations (replace stairs, guards and add HC ramp to rear platform) to a 2 storey retail building",permit
ottawa,2777 CASSELS ST,Ward 7,,45.37196848665731,-75.80294496317522,yes,building,1,1,0,lift,2015-06-04,2015-06-04,1503067,,Install an elevator to a 2 storey recreational building (Britania yacht club),permit
ottawa,2781 LANCASTER RD,Ward 18,,45.3948048967276,-75.60465876777896,yes,building,1,1,0,lift,2015-10-01,2015-10-01,1506510,,Inteiror alterations on the 1st floor of a 4 storey office building (Elevator lobby),permit
ottawa,400 MCARTHUR AVE,Ward 13,,45.431830818011505,-75.64881217182756,yes,building,1,1,0,handicap; ramp,2015-09-22,2015-09-22,1506203,,Interior alterations to install a handicap ramp in a public corridor of a 2 storey mixed use  building,permit
ottawa,433 NELSON ST,Ward 12,,45.42329614480363,-75.67833638858416,yes,building,1,1,0,ramp,2015-03-24,2015-03-24,1501178,,Exterior/interior alterations to a 4 storey Group Home (Install power assist door in 5 locations and upgrade entrance ramp),permit
ottawa,515 SUSSEX DR,Ward 12,,45.42704825716967,-75.69378063865945,yes,building,1,1,0,accessible; ramp,2015-03-24,2015-03-24,1501185,,Exterior alterations to replace accessibility ramp,permit
ottawa,5550 ANN ST,Ward 21,,45.22439499662876,-75.68476730721683,yes,building,1,1,0,handicap; lift,2015-04-17,2015-04-17,1501704,,56tyy6Interior alterations to a 1 storey commercial building to construct a shaft and machine room for a lift for handicap access (Royal Canadian Legion - Manotick),permit
ottawa,625 CHARDONNAY DR,Ward 19,,45.46124385909645,-75.47295333572539,yes,building,1,1,0,accessible; ramp,2015-06-17,2015-06-17,1503431,,Construct an accessible ramp (front yard),permit
