city,address,neighbourhood,ward,latitude,longitude,has_coords,sources,total_permits,n_building_permits,n_development_permits,keywords,earliest_permit_date,latest_permit_date,building_row_ids,development_file_numbers,sample_description,coord_source
ottawa,526 COLE AVE,Ward 15,,45.38663292690647,-75.75552619676162,yes,building,2,2,0,accessible; lift,2021-01-01,2021-01-01,,,Install an elevator in a 2 storey detached dwelling,address_points
ottawa,972 BEAUDRY ST,Ward 13,,45.42825857962434,-75.65644618551289,yes,building,2,2,0,ramp; wheelchair,2015-01-01,2016-01-01,,,Exterior alterations to construct an access ramp at the front of a 1 storey detached dwelling,address_points
ottawa,1 CARLETON CATHCART ST,Ward 6,,45.254975133241004,-75.9141526113649,yes,building,1,1,0,lift,2021-01-01,2021-01-01,,,Interior alterations to a 2 storey apartment building (add elevator),address_points
ottawa,10 MARBLE ARCH CRES,Ward 8,,45.34130095286431,-75.77379709959729,yes,building,1,1,0,lift,2014-01-01,2014-01-01,,,Interior alterations to install an elevator in a 2 storey detached dwelling,address_points
ottawa,100 BRONSON AVE,Ward 14,,45.4166078128603,-75.70912069433624,yes,building,1,1,0,lift,2016-01-01,2016-01-01,,,Replace fire alarm panel and install smoke detectors in elevator lobby on each floor of a 12 storey apartment building - Juliana Apartments,address_points
ottawa,1025 GRENON AVE,Ward 7,,45.35439224480892,-75.79630888331226,yes,building,1,1,0,automatic door,2024-01-01,2024-01-01,,,Interior alterations in a 12 storey apartment building (install automatic door openers),address_points
ottawa,103 GRENADIER WAY,Ward 3,,45.2818383120023,-75.72473487463488,yes,building,1,1,0,barrier-free,2019-01-01,2019-01-01,,,Interior alterations on the first floor of a 2 storey detached dwelling. Convert half bath into barrier free washroom.,address_points
ottawa,105 WEST VILLAGE PRIV,Ward 15,,45.397516212570395,-75.74806723253099,yes,building,1,1,0,lift,2024-01-01,2024-01-01,,,Install a pneumatic vacuum elevator in a 3 storey semi-detached dwelling,address_points
ottawa,1084 FISHER AVE,Ward 16,,45.379791330363844,-75.72179173504931,yes,building,1,1,0,accessible,2020-01-01,2020-01-01,,,Interior alterations in a 1 storey detached dwelling (accessible bathroom),address_points
ottawa,1085 RAMSEY CRES,Ward 7,,45.34893726583218,-75.79476460837196,yes,building,1,1,0,accessible; ramp,2016-01-01,2016-01-01,,,"Remove and replace accessible ramp on a 2 storey rowhouse unit (front yard, unit 334)",address_points
ottawa,1094 ELMLEA DR,Ward 11,,45.43899213798577,-75.60209491371955,yes,building,1,1,0,accessible; ramp,2023-01-01,2023-01-01,,,Construct a front porch accessibility ramp on a 2 storey semi-detached dwelling,address_points
ottawa,110 MARLBOROUGH AVE,Ward 12,,45.42523957358928,-75.67296659615164,yes,building,1,1,0,barrier-free; ramp,2015-01-01,2015-01-01,,,"Construct a deck and a barrier free ramp, and install a prefabricated fire escape on a residential building (rear yard, Murphy House)",address_points
ottawa,1103 LICHEN AVE,Ward 19,,45.46525802668732,-75.46943744560893,yes,building,1,1,0,lift,2013-01-01,2013-01-01,,,Install an elevator in a 2 storey detached dwelling,address_points
ottawa,1131 FIELD ST,Ward 8,,45.36004686410142,-75.76219226390505,yes,building,1,1,0,ramp,2019-01-01,2019-01-01,,,Construct a deck with ramp to a 1 storey detached dwelling (front yard) and replace exterior stairs (side yard),address_points
ottawa,115 RUSSELL AVE,Ward 12,,45.4244019436508,-75.67649759595407,yes,building,1,1,0,lift; wheelchair,2021-01-01,2021-01-01,,,Install a vertical platform lift for a wheelchair in a 2 storey detached dwelling (rear yard),address_points
ottawa,1169 BORDEAU GROVE,Ward 1,,,,no,building,1,1,0,accessible bathroom; step-free entry,2020-01-01,2020-01-01,,,"Interior alterations in a 2 storey detached dwelling (Remove load bearing wall, restructure floor for curbless shower, plumbing)",none
ottawa,1195 RICHMOND RD,Ward 7,,45.370596198548945,-75.78262989242623,yes,building,1,1,0,ramp,2011-01-01,2011-01-01,,,Exterior alterations to the side ramp entering the underground parking garage of a 19 storey apartment builidng.,address_points
ottawa,12 ROSLYN AVE,Ward 17,,45.39327932580986,-75.69069158021271,yes,building,1,1,0,lift,2022-01-01,2022-01-01,,,"Interior alterations to a 2 storey detached dwelling (install elevator, bathroom reno)",address_points
ottawa,121 -1 MACKAY ST,Ward 13,,,,no,building,1,1,0,handrail,2013-01-01,2013-01-01,,,Repair handrail on the roof top deck of a 3 storey detached dwelling,none
ottawa,123 BANNING RD,Ward 23,,45.298651561705555,-75.88214034761302,yes,building,1,1,0,lift,2023-01-01,2023-01-01,,,Interior alterations in a 1 storey detached dwelling (removing existing elevator),address_points
ottawa,1231 POTTER DR,Ward 21,,45.21890711563366,-75.68666565629945,yes,building,1,1,0,ramp; wheelchair,2018-01-01,2018-01-01,,,Interior and exterior alterations a 1 storey detached dwelling (exterior wheelchair ramp),address_points
