description,blg_type,ward,address,permit_date
Exterior alterations to repair ramp and landing at the front of a 12 storey apartment building,Apartment,Ward 14,151 BAY ST,2011-01-01
Exterior alterations to the side ramp entering the underground parking garage of a 19 storey apartment builidng.,Apartment,Ward 7,1195 RICHMOND RD,2011-01-01
Demolition of entry ramp and building facade (phase 1 of pending permit A11-003538) demolition work only on an existing 27 storey building (Delta Hotel),Retail,Ward 14,101 LYON ST N,2011-01-01
Removal of a key operated wheel chair lift and replace with an enclosed elevator in a commercial building (AIM Medical),Office,Ward 18,550 TERMINAL AVE,2011-01-01
"Construct a 1 storey addition/deck, and install an interior self contained wheel chair lift in a 1 storey detached dwelling",Single,Ward 20,4450 EIGHTH LINE RD,2011-01-01
Construct an enclosed barrier free ramp in a 2 storey institutional building ( Glebe centre),Institutional,Ward 17,950 BANK ST,2011-01-01
Repair/replace portions of slab and ramp in the underground parking garage of a 12 storey apartment building,Apartment,Ward 14,261 COOPER ST,2011-01-01
Remove stairs and construct ramp at the front of a 1 storey detached dwelling,Single,Ward 8,8 ASHWOOD CRES,2011-01-01
Interior alterations for structural remediation and accessibility improvements (Bernard Grandmaitre arena),Institutional,Ward 12,309 MCARTHUR AVE,2011-01-01
Interior alterations on the 3rd and 5th floors of a 6 storey office building (elevator lobbies),Office,Ward 4,1000 INNOVATION DR,2011-01-01
Interirior alterations/retrofit to the elevator in a 2 storey chruch (St. Augustine's),Institutional,Ward 9,1060 BASELINE RD,2011-01-01
Interior alterations to convert to barrier free washrooms in a commercial building (Unit U3),Retail,Ward 8,2730 IRIS ST,2012-01-01
"Interior alterations in a 2 storey institutional building to install a fire-rated door, card reader and barrier free door operator. (Ruth Dickinson Library)",Institutional,Ward 3,100 MALVERN DR,2012-01-01
Exterior alterations to the entrance ramp to the underground garage of a 23 storey office building,Office,Ward 14,66 SLATER ST,2012-01-01
Exterior alterations to install a handicap ramp to a 2 storey office building,Office,Ward 12,488 WILBROD ST,2012-01-01
Construct a barrier-free washroom on the 1st floor of an office building (Public Health Agency),Office,Ward 9,100 COLONNADE RD N,2012-01-01
PLUMBING PERMIT ONLY - Install new sump-pump/pit in  the elevator pit in a 7 storey apartment building,Apartment,Ward 7,320 CROYDON AVE,2012-01-01
Remove and replace wheelchair ramps ar the front of a 2 storey group home,Other,Ward 7,2935 AHEARN AVE,2012-01-01
Exterior alterations to the foundation to construct a 'walk-out' concrete stairwell with a guard and handrails for a 2 storey detached dwelling,Single,Ward 15,28 EDINA ST,2012-01-01
TEMPORARY PERMIT: Install a temporary washroom trailer and wooden barrier-free ramp to access Lauder Hall & Cathedral.,Other,Ward 14,439 QUEEN ST,2012-01-01
Interior alterations to install a lift in a 1 storey detached dwelling,Single,Ward 21,78 DALLAIRE CRES,2012-01-01
Construct a ramp at the front of a 2 storey detached dwelling,Single,Ward 16,39 MARSHALL AVE,2012-01-01
