description,blg_type,ward,address,permit_date
Demolition of entry ramp and building facade (phase 1 of pending permit A11-003538) demolition work only on an existing 27 storey building (Delta Hotel),Retail,Ward 14,101 LYON ST N,2011-01-01
Removal of a key operated wheel chair lift and replace with an enclosed elevator in a commercial building (AIM Medical),Office,Ward 18,550 TERMINAL AVE,2011-01-01
Construct an enclosed barrier free ramp in a 2 storey institutional building ( Glebe centre),Institutional,Ward 17,950 BANK ST,2011-01-01
Interior alterations for structural remediation and accessibility improvements (Bernard Grandmaitre arena),Institutional,Ward 12,309 MCARTHUR AVE,2011-01-01
Interior alterations on the 3rd and 5th floors of a 6 storey office building (elevator lobbies),Office,Ward 4,1000 INNOVATION DR,2011-01-01
Interirior alterations/retrofit to the elevator in a 2 storey chruch (St. Augustine's),Institutional,Ward 9,1060 BASELINE RD,2011-01-01
Interior alterations to convert to barrier free washrooms in a commercial building (Unit U3),Retail,Ward 8,2730 IRIS ST,2012-01-01
"Interior alterations in a 2 storey institutional building to install a fire-rated door, card reader and barrier free door operator. (Ruth Dickinson Library)",Institutional,Ward 3,100 MALVERN DR,2012-01-01
Exterior alterations to the entrance ramp to the underground garage of a 23 storey office building,Office,Ward 14,66 SLATER ST,2012-01-01
Exterior alterations to install a handicap ramp to a 2 storey office building,Office,Ward 12,488 WILBROD ST,2012-01-01
Construct a barrier-free washroom on the 1st floor of an office building (Public Health Agency),Office,Ward 9,100 COLONNADE RD N,2012-01-01
Remove and replace wheelchair ramps ar the front of a 2 storey group home,Other,Ward 7,2935 AHEARN AVE,2012-01-01
TEMPORARY PERMIT: Install a temporary washroom trailer and wooden barrier-free ramp to access Lauder Hall & Cathedral.,Other,Ward 14,439 QUEEN ST,2012-01-01
Interior alterations to install an accessible ramp on the 1st floor of a 2 storey community centre (Dempsey CC),Other,Ward 18,1816 ST. LAURENT BLVD,2012-01-01
Construct an accessibility ramp at the rear of a 2 storey office building,Office,Ward 14,20 JAMES ST,2012-01-01
Construct a 2 storey addition at the rear of an existing 2 storey institutional building (barrier-free entrance and elevator for 2nd floor of Paroisse St.-Joseph d'Orléans - church),Institutional,Ward 1,2757 ST. JOSEPH BLVD,2012-01-01
Interior alterations in a 1 storey commercial building. Base building work. Construction of a demising wall and a barrier-free washroom within one suite.,Retail,Ward 23,430 HAZELDEAN RD,2012-01-01
"Interior alterations to create barrier free washrooms on the 3rd to 5th floors, 10th to 18th floors and 20th floor of a 21 storey office building",Office,Ward 14,350 ALBERT ST,2012-01-01
"Interior alterations to create barrier free washrooms on the 3rd to 5th floors, 10th to 18th floors and 20th floor of a 21 storey office building",Office,Ward 14,360 ALBERT ST,2012-01-01
Construct an accessible ramp and interior alterations to a 1 storey chiropractic office building,Office,Ward 15,765 BROADVIEW AVE,2012-01-01
Interior alterations to the Y3 elevator shaft in an 8 story institutional building (Bruyere Continuing Care),Institutional,Ward 12,43 BRUYERE ST,2012-01-01
Tenant fit-up for a D occuancy in the basement and construction of an elevator shaft.,Retail,Ward 7,2121 CARLING AVE,2013-01-01
Interior alterations (install power door operators) on all floors in a 4 storey office building (RCMP Headquarters),Office,Ward 22,73 LEIKIN DR,2013-01-01
Construct a 2 storey vestibule/elevator addition at the front of an existing 2 storey institutional building,Institutional,Ward 14,180 PERCY ST,2013-01-01
Interior/exterior alterations to extend the patio and ramp in a retail building,Retail,Ward 23,430 HAZELDEAN RD,2013-01-01
Install an elevator in a 2 storey community centre (Cyrville Comm. Centre),Institutional,Ward 11,4355 HALMONT DR,2013-01-01
Interior/exterior alterations to add a ramp in the front of a 1 storey retail building ( Victoria Pharmacy),Retail,Ward 15,1065 WELLINGTON ST W,2013-01-01
Tenant fit-up on the 2nd floor (Medical Centre) Construction of a new exit shaft for the second floor. Construction of a new elevator shaft.,Retail,Ward 7,2121 CARLING AVE,2013-01-01
"Alterations to upgrade HVAC, fire protection and elevators in a 9 storey office building (Confederation building)",Office,Ward 14,229 WELLINGTON ST,2013-01-01
Interior alterations to upgrade accessibility on the shared 1st floor and floors 2-18 on both towers of an 18 storey office building,Office,Ward 14,280 SLATER ST,2013-01-01
Interior alterations to upgrade accessibility on the shared 1st floor and floors 2-18 on both towers of an 18 storey office building,Office,Ward 14,333 LAURIER AVE W,2013-01-01
Construct a ramp and exterior alterations to a 2 storey community Centre (Old Town Hall),Institutional,Ward 17,61 MAIN ST,2013-01-01
Interior alterations to create an accessible washroom in a 1 storey office building,Office,Ward 18,2650 LANCASTER RD,2013-01-01
"PARTIAL PERMIT ONLY - Footings, foundation and podium slab for Queen Elizabeth Drive (QED) entrance ramp and portion of underground garage - Lansdowne",Institutional,Ward 17,1015 BANK ST,2013-01-01
Interior alterations and construction of a ramp in a 1 storey school (Ecole Roger Saint-Denis),Institutional,Ward 23,186 BARROW CRES,2013-01-01
Interior alterations to a make a 1 storey arena more accessible,Institutional,Ward 11,2020 OGILVIE RD,2013-01-01
