city,address,neighbourhood,ward,latitude,longitude,has_coords,sources,total_permits,n_building_permits,n_development_permits,keywords,earliest_permit_date,latest_permit_date,building_row_ids,development_file_numbers,sample_description,coord_source
toronto,61 FRONT ST W,,,43.6481482073731,-79.3739211245694,yes,building,22,22,0,accessible; handrail; lift; ramp,2001-12-11,2026-02-09,25 116160 BLD; 03 117197 BLD; 03 117197 BLD; 25 116160 PLB; 22 143244 BLD; 25 116160 BLD; 22 143244 BLD; 09 195073 BLD; 14 265906 BLD; 20 155126 BLD; 25 116160 HVA; 22 143244 BLD; 10 182203 HVA; 10 182203 BLD; 22 237137 STR; 22 237137 BLD; 22 237137 DRN; 22 237137 STS; 22 237137 PLB; 22 237137 HVA; 22 237137 DRN; 01 160066 000,,"REV: The revision include the removal of ramp T202 and associated partitions, a revision to a west partition to become exterior wall GB9, a revision to the door schedule, door B06A, to become an insulated door. Structurally, added new details for Ramp T202 demo, new column installation, and slab on grade. Mechanically, expanded demolition and new scope for fire protection, plumbing, and HVAC. Added electrical devices, lighting fixtures, and fire alarm devices to align with the architectural phasing.First phase of the Blue Route Reconfiguration under drawing package UAH102_TW. This includes creating a new 2hr FRR enclosure, a new temporary 1929 wall opening, constructing a temporary accessibility ramp, partially and temporarily removing areas of existing ceiling to move services as required, as well as relocating a firehose cabinet",address_points
toronto,150 COLLEGE ST,,,43.6600104254903,-79.3923641997087,yes,building,15,15,0,barrier-free; lift; ramp,2004-07-05,2024-12-04,18 174395 PLB; 18 174395 HVA; 04 136833 BLD; 18 174395 BLD; 22 101485 BLD; 22 101485 HVA; 22 101485 BLD; 22 101485 HVA; 22 101485 HVA; 22 101485 PLB; 22 101485 PLB; 22 101485 BLD; 22 101485 PLB; 22 101485 BLD; 14 212071 BLD,,Plumbing  - Proposal to construct an exterior ramp and replace entrance door on south side of Hart House.  University of Toronto.  7 Hart House Circle.,address_points
toronto,2 STRACHAN AVE,,,43.6348395136225,-79.4101328225122,yes,building,12,12,0,barrier-free; lift; ramp,2018-01-03,2026-06-02,21 129978 BLD; 21 182456 BLD; 25 163229 BLD; 24 195047 PLB; 25 214446 TPS; 26 159393 PLB; 26 159393 TPS; 25 214446 PLB; 19 190583 PLB; 23 180933 PLB; 23 180933 TPS; 17 202964 PLB,,Proposal for west corridor and loading dock ramp retrofits to hall A in the Enercare Centre - Canadian Exhibition Place.,address_points
toronto,1040 ISLINGTON AVE,,,,,no,building,10,10,0,barrier-free,2018-07-04,2020-01-13,18 231550 HVA; 18 197463 BLD; 18 197463 HVA; 18 197463 BLD; 18 231550 BLD; 18 181432 HVA; 18 197463 PLB; 18 184966 PLB; 18 197463 PLB; 18 184966 BLD,,HVAC -  Proposal to finish barrier free washroom in existing unit 17,none
toronto,4700 KEELE ST,,,43.7734100899864,-79.5023381683704,yes,building,10,10,0,accessible; barrier-free; lift; ramp,2008-08-15,2025-08-20,20 198809 BLD; 20 198824 BLD; 25 199739 BLD; 25 199739 PLB; 25 199739 DRN; 15 124571 BLD; 25 199739 HVA; 08 113716 BLD; 08 113716 HVA; 08 113716 PLB,,Proposal for new barrier free accessible ramp for existing university 125 Campus Walk (Curtis Lecture Halls),address_points
toronto,320 HURON ST,,,43.6629029688741,-79.4004263246647,yes,building,9,9,0,lift; ramp,2024-03-11,2025-02-18,24 108252 HVA; 24 108252 BLD; 24 108252 BLD; 24 108252 PLB; 24 108252 BLD; 24 108252 PLB; 24 108252 PLB; 24 108252 HVA; 24 108252 HVA,,"HVAC - NEW ELEVATOR, GROUND FLOOR CORRIDOR AND SECOND FLOOR RAMP IN ATHLETIC CENTRE.",address_points
toronto,49 RAILSIDE RD,,,43.7378541049034,-79.3211387858166,yes,building,8,8,0,barrier-free,2025-05-02,2026-06-17,23 199585 BLD; 23 199585 HVA; 23 199585 PLB; 23 199585 HVA; 23 199585 PLB; 23 199585 BLD; 23 199585 BLD; 23 199585 PLB,,"REV 03:  PROPOSED MOP SINK CHANGED, GREASE INTERCEPTOR MOVED OUTSIDE THE BUILDING, A COUPLE OF FLOOR DRAINS RELOCATED.Revision 02 - Revised Kitchen layout and hoods/equipment revised-------------------------------------------------------------REV01: LOCATION OF THE 1HR FIRE RATED WALL MOVED. UNIVERSAL BARRIER FREE WASHROOM LOCATION CHANGED.Interior renovation to existing warehouse and commercial kitchen",address_points
toronto,680 REXDALE BLVD,,,43.7205177537203,-79.6144967252031,yes,building,8,8,0,barrier-free,2015-03-04,2020-12-11,15 114126 HVA; 15 114126 BLD; 15 114126 PLB; 20 132618 BLD; 15 114126 HVA; 20 132618 PLB; 15 114126 BLD; 15 114126 PLB,,HVAC - Revision #1: Relocating washrooms and closing existing washroom fixtures and plumbing Proposed renovations (116.37m2) to existing restaurant space in unit 8 and 9 with approximatley 30 seats. Construct new interior partition walls for new barrier free washrooms and remove existing demising wall between both units - Sweet Mahal Restaurant,address_points
toronto,701 WARDEN AVE,,,43.7115970198546,-79.2794697191647,yes,building,8,8,0,barrier-free; lift,2022-03-07,2026-01-15,21 203862 DRN; 21 203862 PLB; 21 203862 DRN; 21 203862 HVA; 21 203862 HVA; 21 203862 BLD; 21 203862 PLB; 21 203862 BLD,,"Drain - Part of AODA compliances and TTC's easier access-III program, partial demolition at the southern end of PPUDO driveway, addition of new south entrance block with elevator. Facade treatment to impacted building exteriors. Partial demolition of walls & staff washroom at concourse level, slab cut out at the platform level. Installation of new elevator connecting concourse & subway platform. Alteration to service rooms with new barrier free staff washroom, elevator machine room & power upgrades.",address_points
toronto,85 SPADINA RD,,,43.6704127506876,-79.4050652160973,yes,building,8,8,0,barrier-free; lift,2021-10-05,2025-09-24,21 181573 HVA; 21 181573 BLD; 21 181573 DRN; 21 181573 PLB; 21 181573 PLB; 21 181573 DRN; 21 181573 HVA; 21 181573 BLD,,"Revision 01- required in order to accomodate new foundation around 1800mm storm pipe and floor drain additions added around E2.HVAC - The purpose of Spadina Easier Access project is to built the barrier free vertical transportation between each level of the station. The design includes a new passaenger elevator in each platform (Northbound and Southbound), and mofication of the existing escalators and staircases layout",address_points
