city,address,neighbourhood,ward,latitude,longitude,has_coords,sources,total_permits,n_building_permits,n_development_permits,keywords,earliest_permit_date,latest_permit_date,building_row_ids,development_file_numbers,sample_description,coord_source
toronto,2180 ELLESMERE RD,,,43.7776035126952,-79.2311663975856,yes,building,7,7,0,ramp,2018-06-25,2020-03-16,18 159190 HVA; 18 159190 HVA; 18 159190 BLD; 18 159190 BLD; 18 159190 PLB; 18 159190 PLB; 18 159190 HVA,,"HVAC - interior alterations to common areas, interior ramp, exterior ramp",permit
toronto,101 KENDLETON DR,,,43.7383492786866,-79.5809218655662,yes,building,6,6,0,wheelchair,2014-08-29,2016-06-29,14 209231 HVA; 14 209231 BLD; 14 209231 PLB; 14 209231 HVA; 14 209231 PLB; 14 209231 BLD,,"HVAC - Interior alteration to convert storage room to B/F washroom, provide electric wheelchair charging station in auditorium, upgrade kitchen to B/F kitchen.",address_points
toronto,1050 YONGE ST,,,,,no,building,6,6,0,lift,2023-12-12,2024-08-14,23 190952 HVA; 23 190952 BLD; 23 190952 BLD; 23 190952 PLB; 23 190952 HVA; 23 190952 PLB,,HVAC REVISION#1: Install elevator from basement to third floor; enclose third floor courtyard; convert second and third floors to residential use by creating separate entry on ground floor and closing off ground floor access to rotunda; For revision to permit - new skylight at third floor; larger elevator; create shared exit stair at rear of buildingHVAC - Install elevator from basement to third floor; enclose third floor courtyard; convert second and third floors to residential use by creating separate entry on ground floor and closing off ground floor access to rotunda;,none
toronto,1615 DUFFERIN ST,,,43.6766180754302,-79.4422712414519,yes,building,6,6,0,accessible; lift; ramp,,,26 177474 SHO; 26 177474 PLB; 26 177474 HVA; 26 177474 BLD; 26 177474 DRN; 26 177474 FND,,"Part Permit - Proposal for renovation of 2-storey offices building into youth shelter.  New additions include a 2-storey entrance vestibule, a 1-storey clerestory window to the basement, a 1-storey waste storage room, a new elevator, and high performance overcladding wrapping the existing building envelope.  All interior elements will be new, including interior partitions, HVAC, plumbing, and electrical layouts, sprinklers, and partial replacement of floor system. Exterior work includes a below-grade storm water tank, municipal services connections, accessible ramp, and planting beds.",permit
toronto,2190 ELLESMERE RD,,,43.7778463900767,-79.2300299854282,yes,building,6,6,0,ramp,2018-06-25,2019-11-18,18 159196 PLB; 18 159196 HVA; 18 159196 BLD; 18 159196 HVA; 18 159196 HVA; 18 159196 BLD,,"Plumbing  - interior alterations to common areas, interior ramp, exterior ramp",permit
toronto,44 WILLOWRIDGE RD,,,43.6756463150031,-79.5697496242597,yes,building,6,6,0,accessible; ramp,2019-04-03,2020-01-07,19 115204 HVA; 19 115204 BLD; 19 115204 BLD; 19 115204 HVA; 19 115204 PLB; 19 115204 PLB,,"Revision 01. HVAC - Proposal for accessibility upgrades at the ground floor level of an existing apartment building. Kitchen WC Ramp, Laundry Renovations.",address_points
toronto,75 BROADWAY AVE,,,43.7101933660679,-79.3947076659945,yes,building,6,6,0,lift; ramp,2021-07-30,2025-06-02,24 208332 BLD; 20 182277 BLD; 20 182277 HVA; 20 182277 BLD; 20 182277 PLB; 20 182277 BLD,,Revision 01 - Revision to original alterations permit application #24 208332 BLD 00 BA to include addition of new access vestibule with barrier-ramp and corresponding HVAC as an extension to existing elevator lobby in the basement parking level of the building.-----------------------------------------------------------------------Proposal for finish upgrades to lobby and common area at ground floor (no changes to suites) and provide a new exterior canopy with new exterior door at existing entrance.,address_points
toronto,19 BROCK AVE,,,43.6425217510371,-79.4324363924292,yes,building,5,5,0,ramp,2023-12-18,2024-06-07,23 172610 PLB; 23 172610 STS; 23 172610 DRN; 23 172610 HVA; 23 172610 BLD,,"Plumbing  - Proposal to convert the existing dwelling into a community centre/art gallery. Scope of work includes 2-storey rear addition with a 2nd floor mezzanine, interior alterations and 2nd storey terrace with rear exit stair, front ramp access, vestibule and a front basement walk-out.  See also 22 134421 ZAP and 22 182731 MV - ""Band Gallery""",address_points
toronto,61 ST CLAIR AVE W,,,43.6867095154937,-79.3965278493603,yes,building,5,5,0,barrier-free,2015-04-16,2015-08-19,15 136914 HVA; 15 136914 PLB; 15 136914 BLD; 15 136914 BLD; 15 136914 HVA,,HVAC - Proposal for interior alterations to the ground floor hobby room to convert to a barrier free washroom in existing apartment building.,address_points
toronto,130 CARLTON ST,,,43.662849484596,-79.3762687200929,yes,building,4,4,0,lift; ramp,2022-10-27,2026-04-02,26 107496 BLD; 22 207157 PLB; 22 207157 BLD; 22 207157 HVA,,"Proposal for parking garage roof slab and access ramp repairs, including waterproofing replacement, localized concrete repairs, associated site works, and minor building entrance alterations",address_points
toronto,133-135 THE WEST MALL,,,,,no,building,4,4,0,barrier-free,2022-05-10,2022-06-10,22 129115 PLB; 22 129115 BLD; 22 129115 HVA; 22 129115 BLD,,"Plumbing  - Construct new offices, new lab, new universal barrier free toilet room",none
toronto,146 DAVENPORT RD,,,43.6754456517228,-79.3940905139906,yes,building,4,4,0,barrier-free; lift,2023-08-29,2024-08-01,23 175357 BLD; 23 175357 PLB; 23 175357 BLD; 23 175357 HVA,,An addition and interior alterations to an existing building. Small addition at the front and rear of the building. New steps and a barrier free lift at the front of the building.,address_points
toronto,15 TOBERMORY DR,,,43.7601681192116,-79.5078967947218,yes,building,4,4,0,barrier-free; lift; ramp,2025-07-10,2025-07-10,25 167247 BLD; 26 135234 BLD; 26 135234 HVA; 26 135234 PLB,,"Proposal for exterior alterations to site features (ramp, landings and stairs complete with railings).",address_points
toronto,196 DUNN AVE,,,43.6385920816554,-79.4338810552001,yes,building,4,4,0,accessible; ramp,2024-07-29,2024-07-29,20 223360 PLB; 20 223360 DRN; 20 223360 BLD; 20 223360 HVA,,"Plumbing - Proposed addition to convert existing 6 unit dwelling to 13 units dwelling with new walkout stairs, accessible ramp, and bicycle locker",address_points
toronto,20 VANAULEY ST,,,,,no,building,4,4,0,barrier-free; ramp,2025-01-17,2026-02-05,20 150216 BLD; 20 150216 BLD; 20 150216 BLD; 20 150216 HVA,,"Rev 03:Smaller office space, Rec. Room to remain as is (finishes only updated), reconfiguration of Barrier-Free washroom at 2nd fl; Storage at basement to remain as is (finishes only updated) and new structural remediation at Entrance.New TCHC office space for tenant's services in existing residential building.REVISION:  Smaller office space, Rec. Room to remain as is (finishes only updated), reconfiguration of Barrier-Free washroom at 2nd fl; Storage at basement to remain as is (finishes only updated) and new structural remediation at Entrance. Rev 02 - New tenant kitchen, Laundry not relocated, Rec. Room converted to Office space & Multipurpose.Revision 01: laundry room reconfiguration and exhaust - new glazing at the second floor.[Proposal for interior alterations for a new TCHC office space for tenant's services in an existing residential apartment building. Renovations to accommodate new office space on the second floor by moving the existing laundry room from the second floor to the ground floor, with a new breakroom at the ground level. ]",none
toronto,22 WALMER RD,,,,,no,building,4,4,0,ramp,2014-06-25,2017-03-07,17 116276 BLD; 14 148199 HVA; 14 148199 BLD; 14 148199 PLB,,"Proposal for railing replacement at garage entrance ramp, see related permit 14-148199 BA for concrete repair.",none
toronto,3847 LAWRENCE AVE E,,,43.7624824167166,-79.2104899093934,yes,building,4,4,0,accessible; ramp,2023-09-07,2024-01-25,23 157683 HVA; 23 157683 BLD; 23 157683 PLB; 23 157683 BLD,,"HVAC - Proposal for interior alterations to the ground floor and basement, accessibility improvements, improved access to underground parking, new rear canopy, new accessible ramp to an existing apartment building.",permit
toronto,600-604 ROGERS RD,,,43.6822276756931,-79.4724962744323,yes,building,4,4,0,accessible; barrier-free; ramp,,,25 243229 FSU; 25 243229 PLB; 25 243229 BLD; 25 243229 HVA,,"FS - Sprinkler Shop Drawing - Proposed retrofit project includes renovating approximately 755m2 of existing interior shared spaces at the P1 and Ground Floor levels. The project also includes accessibility upgrades, improving the common-use areas and exterior circulation for improved barrier-free accessibility. Exterior revitalization along Rogers Rd with new stairs and ramp. Removal and replacement of existing hardscaping to allow for the replacement of waterproofing at the rear terrace and Rogers Rd. colonnade. The rear terrace will be refreshed with new planters, canopy, and shelter.",permit
toronto,100 HIGH PARK AVE,,,43.6565592507407,-79.4673814070283,yes,building,3,3,0,accessible; barrier-free; ramp,2015-08-25,2025-10-02,23 176942 BLD; 23 176942 BLD; 15 201504 PLB,,"REVISION 02:  Proposed Common Areas Accessibility Upgrade for Basement Level 1 & Ground Floor.Basement Level 1 : Doors¿ accessibility upgrades, three existing locker rooms change to work rooms/bicycle storage and an existing car parking bay upgrade to an E-Bike charging bay. Ground Floor: Accessibility upgrades for main entrance vestibule, foyer, mailroom, recreation room and laundry rooms. Adding a new universal washroom.   Rev 01 - Partial Landscape Refreshment & Exterior Accessibility Improvement (Accessibility Upgrades for Main Entrance, Front Landscape Area & Front Parking Lot).Accessibility upgrades for sidewalks, sidewalk ramp, benches, resting areas and 3 existing accessible parking spaces. Wheel-trans drop off area provided and new signages proposed. Redesigning of the front landscape. Correcting the fire route turning radius.Proposal for interior alterations and Accessibility Upgrades (Ground Floor and Basement Level 1)",address_points
toronto,1021 BIRCHMOUNT RD,,,43.7316496625539,-79.2779039504579,yes,building,3,3,0,accessible; lift,2024-08-15,2024-08-15,24 157182 HVA; 24 157182 BLD; 24 157182 PLB,,"HVAC - Interiors and landscape accessibility upgrade that includes providing a new raised floor in the main lobby and surrounding landscaping to meet the new raised floor, allowing existing inaccessibleground floor corridors to be accessible from the main lobby. Existing elevator opening to be increased when raised floor is provided and new structure to reinforce existing opening to be added. Newrear accessible entrance will be provided at the back of the building and a new universal washroom will be provided off the main lobby. Reconfiguration of mail room and access to existing office tobe provided from vestibule at front entrance. New floor, wall and ceiling finishes, light fixtures and signage will be provided in the main lobby, ground floor corridors, and basement elevator lobby.Existing supply air duct and bulkhead in main lobby will be re-routed and area below duct will be enclosed due to insufficient headroom.",permit
toronto,15 SHALLMAR BLVD,,,43.7039464457932,-79.4244753549547,yes,building,3,3,0,ramp,2012-11-13,2015-02-20,11 264366 BLD; 11 264366 BLD; 11 264366 BLD,,Proposal to construct a roof structure over existing lower parking level ramp (existing apartment building).,address_points
toronto,1500 ROYAL YORK RD,,,43.691622469449,-79.5318445976825,yes,building,3,3,0,lift,2017-03-29,2017-05-09,17 117517 HVA; 17 117517 BLD; 17 117517 PLB,,"HVAC - Construct an elevator to access 2nd floor, new lobby to access elevator and secondary pharmacy entrace  (ground floor - pharmacy and 2nd offices and dental/medical offices (67m2)",permit
toronto,17 FARMSTEAD RD,,,43.7543886290757,-79.3616758058026,yes,building,3,3,0,barrier-free,2020-07-14,2020-07-14,20 151988 BLD; 20 151988 HVA; 20 151988 PLB,,"RENOVATION OF MANAGMENT OFFICE ON GROUND FLOOR OF EXISTING 18 STOREY RESIDENTIAL BUILDING TO INCLUDE NEW PARTITIONS, RELOCATED PLUMBING FIXTURES, REPLACED WINDOW/DOORS, UPDATED FINISHES AND BARRIER FREE ACCESS",address_points
toronto,1900 SHEPPARD AVE E,,,43.7763144034438,-79.335923800123,yes,building,3,3,0,barrier-free,2018-06-14,2019-01-21,18 154258 BLD; 18 154258 BLD; 18 154258 PLB,,"REV:  Create storage room space from changing room in basement, drawings bubbledProposal for interior alterations to convert three separate washrooms; Two Barrier Free washrooms and one Universal on basement and ground floor in existing multi unit building",permit
toronto,191-193 MILLWICK DR,,,43.7600277777249,-79.5705614644627,yes,building,3,3,0,barrier-free,2021-02-17,2021-08-09,20 229792 HVA; 20 229792 BLD; 20 229792 PLB,,"HVAC - Proposal for interior alterations to the basement for a new residential unit, alterations to the ground floor retail space for barrier free and parking compliance, alterations to the second floor for 2 residential apartment units (existing single unit apartment) and a rear stair case from the second floor to grade.",address_points
toronto,2 BRAHMS AVE,,,43.7923080541004,-79.3587816809768,yes,building,3,3,0,barrier-free,2020-06-24,2020-06-24,20 147586 PLB; 20 147586 FSU; 20 147586 BLD,,"Plumbing  - Proposal for enovations including: Retrofit of new tenant services admin & meeting areas, universal WC, barrier-free changeroom and support areas. Conversion of new tenant suite. Related HVAC, plumbing & electrical work",address_points
toronto,2085-2101 ISLINGTON AVE,,,43.7033394262407,-79.5489799141515,yes,building,3,3,0,ramp,2016-11-21,2016-11-21,13 199155 BLD; 13 199155 PLB; 13 199155 HVA,,Proposal to provide a new parking ramp enclosure addition to existing apartment building,permit
toronto,21 KENSINGTON AVE,,,43.7798576076642,-79.4206860949268,yes,building,3,3,0,ramp,2012-07-11,2012-07-11,11 217205 HVA; 11 217205 BLD; 11 217205 PLB,,HVAC - Interior alterations to convert ground floor from residential to retail and build ramp at rear.  See PPR and COA.,address_points
toronto,243 NIAGARA ST,,,43.6441414182968,-79.409093906126,yes,building,3,3,0,ramp,2016-01-28,2020-08-31,14 268761 BLD; 14 268761 HVA; 14 268761 PLB,,"Proposal to construct  4 storey building , roof access to  stair,for  greenroof 4 residential units, ground floor ramp at front, and reconstruct detached garage at rear.",address_points
toronto,25 MABELLE AVE,,,,,no,building,3,3,0,ramp,2023-02-02,2025-12-11,22 101323 BLD; 22 101323 BLD; 22 101323 BLD,,"Proposal for new vehicle driveway, new entrance ramp, new retaining wall, and new concrete stair  to existing 3 level underground parking garage.",none
toronto,275 SHUTER ST,,,43.6558490756712,-79.3679073528897,yes,building,3,3,0,accessible,2010-12-30,2011-01-11,10 319763 PLB; 10 319703 BLD; 10 319763 BLD,,"Plumbing  - Interior alteration to the Penthouse level area to provide accessible access to the area and a retrofit of the ground floor washroom.. This proposal also includes the revamping of five (5) accessible parking spots., There are five (5) accessible spots existing on the property.",address_points
toronto,35 PARK HOME AVE,,,43.7681243394593,-79.4155259021896,yes,building,3,3,0,accessible; barrier-free; ramp,2017-03-23,2017-04-07,16 270088 BLD; 16 270088 PLB; 16 270088 HVA,,"Ground floor universal washroom, 9th floor kitchen renovations, stage accessiblity ramp and universal washroom, relocate barrier free parking stall and alterations to existing accessibility on subject property",address_points
toronto,3725-3735 DUNDAS ST W,,,43.6653616295801,-79.4987958307627,yes,building,3,3,0,accessible; barrier-free; ramp; wider doorway,2017-09-18,2019-07-15,17 233217 BLD; 19 119334 BLD; 19 119334 PLB,,Proposal to construct a barrier free ramp at the main entrance,permit
toronto,40 ASQUITH AVE,,,43.6719108464872,-79.3851957198606,yes,building,3,3,0,accessible; barrier-free,2025-11-24,2026-03-05,25 243436 PLB; 25 243436 HVA; 25 243436 BLD,,"Plumbing  - Proposal for in-suite accessibility modifications to achieve a barrier-free dwelling unit, including alterations to the washroom and kitchen.",address_points
toronto,400 MCCOWAN RD,,,43.7411020638698,-79.2411723652661,yes,building,3,3,0,accessible,2021-06-09,2021-06-09,21 116914 HVA; 21 116914 BLD; 21 116914 PLB,,"HVAC - Proposed exterior accessibility update at common areas and interior alterations to existing heritage skills room, community room, recreation rooms, widening of door for accessibility access and switching out of old lighting fixtures.",address_points
toronto,4400 JANE ST,,,43.7652137706127,-79.5201384481832,yes,building,3,3,0,accessible; ramp,2021-03-16,2021-03-16,21 111624 HVA; 21 111624 PLB; 21 111624 BLD,,"HVAC - General accessibility upgrades to existing multi-family residence common areas. This includes several widenings of doors, enlarged exterior walkways and new exterior ramp. Enlarged front entrance vestibule, new Universal Washroom at location of an existing washroom at lower level, new community kitchen with new millwork, and new mechanical, electrical as required.",permit
toronto,57 MABELLE AVE,,,43.6463105182811,-79.5305010156111,yes,building,3,3,0,handicap; ramp,2009-11-03,2010-07-22,09 113516 BLD; 09 113516 BLD; 09 113516 BLD,,Replace existing handicap ramp and construct new unenclosed canopy Revision: Mirror image of proposed ramp. No  changes to proposed canopy,address_points
toronto,77 RANKIN CRES,,,43.6583910480763,-79.4461611477404,yes,building,3,3,0,ramp,2009-11-20,2009-12-11,09 177228 FSU; 09 177228 HVA; 09 177228 PLB,,FS - Sprinkler Shop Drawing - Proposal to construct a roof over the entrance of an existing ramp leading to underground parking in an existing apartment building.,address_points
