_id,PERMIT_NUM,REVISION_NUM,PERMIT_TYPE,STRUCTURE_TYPE,WORK,STREET_NUM,STREET_NAME,STREET_TYPE,STREET_DIRECTION,POSTAL,GEO_ID,WARD_GRID,APPLICATION_DATE,ISSUED_DATE,COMPLETED_DATE,STATUS,DESCRIPTION,CURRENT_USE,PROPOSED_USE,DWELLING_UNITS_CREATED,DWELLING_UNITS_LOST,EST_CONST_COST,ASSEMBLY,INSTITUTIONAL,RESIDENTIAL,BUSINESS_AND_PERSONAL_SERVICES,MERCANTILE,INDUSTRIAL,INTERIOR_ALTERATIONS,DEMOLITION,rank,address
43630,13 114072 BLD,00,Building Additions/Alterations,Parking Garage,Garage Repair/Reconstruction,5100,YONGE,ST, ,M2N,3841975,N1824,2013-01-31,2013-02-14,,Permit Issued,Parking garage ramp heating replacement,Parking Garage Ramp,Parking Garage Ramp,,,800000,0,0,0,0,0,0,0,0,0.07642204,5100 YONGE ST
204958,22 198787 BLD,00,Building Additions/Alterations,Parking Garage,Other(BA),17,FARMSTEAD,RD, ,M2L,11130095,N1522,2022-09-01,2022-12-22,,Permit Issued,"Proposed Building Alterations (Ramp, Building Connections to 17 Farmstead Rd) Areas: Garage Ramp = 546.46 m2West Connection = 148.7 m2East Connection = 9.8m2",5,"Underground Garage Ramp, Building Connections ",0,0,"100,000.00",0,0,0,0,0,704.98,443.44,0,0.07642204,17 FARMSTEAD RD
175610,19 145398 BLD,00,Building Additions/Alterations,Multiple Unit Building,Other(BA),120,CORNWALL,ST, ,M5A,7667286,S1330,2019-04-26,2019-05-28,,Inspection,"SITE WORKS INCLUDINGREMOVAL AND REBUILD OF UNIT PAVERS, RAILINGS, RAMP AND STAIRS",Ramp ,Ramp ,0,0,150000,0,0,0,0,0,0,0,0,0.07642204,120 CORNWALL ST
125069,23 177992 BLD,00,Building Additions/Alterations,Office,Garage Repair/Reconstruction,145,KING,ST,W,M5H,828220,S1034,2023-07-21,2023-08-09,,Inspection,"Proposed ramp topping replacemnt, ramp heating cables replacement, ramp waterproofing membrane replacement, localized concrete repairs (total of 25m2 of concrete repairs)",Office - Commercial,Office Commercial,,,335000,0,0,0,0,0,0,0,0,0.07642204,145 KING ST W
179002,25 116160 BLD,01,Building Additions/Alterations,"Transit Station,Subway, Bus Terminal",Interior Alterations,61,FRONT,ST,W,M5J,10864312,S1037,2025-09-17,2026-02-09,,Revision Issued,"REV: The revision include the removal of ramp T202 and associated partitions, a revision to a west partition to become exterior wall GB9, a revision to the door schedule, door B06A, to become an insulated door. Structurally, added new details for Ramp T202 demo, new column installation, and slab on grade. Mechanically, expanded demolition and new scope for fire protection, plumbing, and HVAC. Added electrical devices, lighting fixtures, and fire alarm devices to align with the architectural phasing.First phase of the Blue Route Reconfiguration under drawing package UAH102_TW. This includes creating a new 2hr FRR enclosure, a new temporary 1929 wall opening, constructing a temporary accessibility ramp, partially and temporarily removing areas of existing ceiling to move services as required, as well as relocating a firehose cabinet",Transit,Transit,0,0,0,0,0,0,0,0,0,59,0,0.07642204,61 FRONT ST W
95873,13 193760 BLD,00,Building Additions/Alterations,Parking Garage,Garage Repair/Reconstruction,1100,KING,ST,W,M6K,20060665,S1026,2013-06-25,2013-06-26,,Permit Issued,Proposal for garage ramp waterproofing and heating cable replacement (address is also known as 10 Laidlaw St) (see also 04-202812 BLD),Parking Garage Ramp,Parking Garage Ramp,,,128000,0,0,0,0,0,0,0,0,0.07642204,1100 KING ST W
46078,22 211224 BLD,01,Building Additions/Alterations,Retail Store,Other(BA),31,BLOOR,ST,E,M4W,8535678,S1137,2023-07-17,2023-08-14,,Revision Issued,"Revision 01. Updates to materials being spec'd for ramp design, revision to dimensions of ramp, addition of lighting Addition of new barrier free ramp and handrail for existing stair on exterior of building, Unit 101 - Lenscrafters",Retail,Retail,0,0,0,0,0,0,0,0,0,0,0,0.07642204,31 BLOOR ST E
30503,13 114072 HVA,00,Mechanical(MS),Parking Garage,Building Permit Related(MS),5100,YONGE,ST, ,M2N,3841975,N1824,2013-01-31,2013-03-04,,Permit Issued,HVAC - Parking garage ramp heating replacement,Parking Garage Ramp,Parking Garage Ramp,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,0.07642204,5100 YONGE ST
115772,22 123964 HVA,00,Mechanical(MS),Parking Garage,Building Permit Related(MS),399,BATHURST,ST, ,M5T,9086232,S1143,2022-03-17,2022-05-06,,Inspection,HVAC - -Rewaterproofing garage entrance ramp-Replace snow melt system at garage entrance ramp-Localized podium concrete repairs-Rewaterproofing podium,Hospital,Hospital,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,0.0706241,399 BATHURST ST
126009,24 212480 FSU,00,Fire/Security Upgrade,University,Sprinklers,184-200,COLLEGE,ST, ,M5S,8105844,S1139,2024-09-13,2024-10-10,,Inspection,Ramp - Existing sprinkler heads to be removed on the basement floor and install of the new sprinkler heads once the ramp installations is complete.,University,University,,,5450.00,0,0,0,0,0,0,0,0,0.0706241,184-200 COLLEGE ST
