_id,PERMIT_NUM,REVISION_NUM,PERMIT_TYPE,STRUCTURE_TYPE,WORK,STREET_NUM,STREET_NAME,STREET_TYPE,STREET_DIRECTION,POSTAL,GEO_ID,WARD_GRID,APPLICATION_DATE,ISSUED_DATE,COMPLETED_DATE,STATUS,DESCRIPTION,CURRENT_USE,PROPOSED_USE,DWELLING_UNITS_CREATED,DWELLING_UNITS_LOST,EST_CONST_COST,ASSEMBLY,INSTITUTIONAL,RESIDENTIAL,BUSINESS_AND_PERSONAL_SERVICES,MERCANTILE,INDUSTRIAL,INTERIOR_ALTERATIONS,DEMOLITION,rank,address
56098,25 191080 BLD,00,Building Additions/Alterations,Apartment Building,Other(BA),177,JAMESON,AVE, ,M6K,825409,S0436,2025-07-09,2026-01-22,,Permit Issued,"Proposal to install an accessible ramp at the front entrance including: remove and dispose of soft landscaping, remove and dispose of and modify fence section, install new cast in place accessible ramp, install accessible door opener post, .Supply new soil where removed to facilitate ramp. installation, paint newly exposed garage stairwell.",Apartment,Apartment,0,0,50000,0,0,0,0,0,0,25,0,0.07642204,177 JAMESON AVE
181722,18 159190 HVA,00,Mechanical(MS),Apartment Building,Building Permit Related(MS),2180,ELLESMERE,RD, ,M1G,12789550,E2422,2018-05-15,2018-06-25,,Inspection,"HVAC - interior alterations to common areas, interior ramp, exterior ramp",Apartment Building,Apartment Building,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,0.0706241,2180 ELLESMERE RD
126086,23 174627 BLD,00,Building Additions/Alterations,Apartment Building,Other(BA),230,QUEENS QUAY, ,W,   ,,S1036,2023-07-14,2023-08-16,,Permit Issued,Demolish existing ramp and rebuild new AODA compliant ramp,Residential Building,Residential Building,0,0,62525,0,0,0,0,0,0,0,0,0.0706241,230 QUEENS QUAY W
66264,23 196055 BLD,01,Building Additions/Alterations,Apartment Building,Other(BA),145,ELM RIDGE,DR, ,M6B,2903465,N0832,2025-02-05,2025-03-14,,Revision Issued,"REVISION 01:  PROPOSAL TO CONSTRUCT ROOF OVER EXISTING UNDERGROUND GARAGE RAMP AS PER COA DECISIONTo create a new opening in existing ungerground garage for future connection to future underground of adjoining development at 165 Elm Ridge Drive, In addition to create a new enclosure over existing garage ramp",Apartment,Apartment,0,0,0,0,0,0,0,0,0,0,0,0.0706241,145 ELM RIDGE DR
182888,18 159196 PLB,00,Plumbing(PS),Apartment Building,Building Permit Related(PS),2190,ELLESMERE,RD, ,M1G,12789551,E2422,2018-05-16,2018-06-25,,Inspection,"Plumbing  - interior alterations to common areas, interior ramp, exterior ramp",Apartment Building,Apartment Building,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,0.0706241,2190 ELLESMERE RD
88651,12 131173 BLD,00,Building Additions/Alterations,Apartment Building,Garage Repair/Reconstruction,135,FENELON,DR, ,M3A,20015349,N1621,2012-03-02,2012-03-08,,Permit Issued,"Repair existing parking garage ramp, cut parking at grade slab to relocate parking garage door, adjust ramp slope",Multiple Residential,Multiple Residential,,,"45,000",0,0,0,0,0,0,0,0,0.0706241,135 FENELON DR
93563,18 159196 HVA,02,Mechanical(MS),Apartment Building,Building Permit Related(MS),2190,ELLESMERE,RD, ,M1G,12789551,E2422,2019-10-10,2019-11-18,,Revision Issued,"REV 01 - Proposed HVAC revision (as-built drawings).HVAC - interior alterations to common areas, interior ramp, exterior ramp",Apartment Building,Apartment Building,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,0.0706241,2190 ELLESMERE RD
88693,25 159610 BLD,00,Building Additions/Alterations,Apartment Building,Garage Repair/Reconstruction,1,CONCORDE,PL, ,M3C,4819777,N1629,2025-05-14,2025-06-26,,Permit Issued,"Proposal for Wholesale replacement of slab waterproofing system and expansion joint seals, localized concrete repairs. Whole sale replacement of entrance ramp waterproofing and snow melt system and localized concrete repairs on ramp. Removal and replacement of floor and trench drains as needed in the parking garage. Urethane injection of structure leaking cracks. Repainting of parking lines.",Apartment Building,Apartment Building,,,100000,0,0,0,0,0,0,0,0,0.0706241,1 CONCORDE PL
127500,06 183285 BLD,00,Building Additions/Alterations,Apartment Building,Other(BA),555,SHEPPARD,AVE,W,M3H,562065,N0630,2006-10-12,2007-01-08,,Inspection,Erect all steel enclosure on top of existing under ground parking ramp structure move door system from bottom of ramp to surface.,Apartment,Apartment,0,0,"20,000",0,0,0,0,0,0,0,0,0.0706241,555 SHEPPARD AVE W
202215,25 159634 BLD,00,Building Additions/Alterations,Apartment Building,Garage Repair/Reconstruction,3,CONCORDE,PL, ,M3C,4820034,N1629,2025-05-14,2025-06-16,,Permit Issued,"Proposal for Wholesale replacement of slab waterproofing system and expansion joint seals, localized concrete repairs. Whole sale replacement of entrance ramp waterproofing and snow melt system and localized concrete repairs on ramp. Removal and replacement of floor and trench drains as needed in the parking garage. Urethane injection of structure leaking cracks. Repainting of parking lines.",Apartment Building,Apartment Building,,,1000000,0,0,0,0,0,0,0,0,0.0706241,3 CONCORDE PL
