address,parsed_house_number,parsed_street_name,neighbourhood,ward,keywords,total_permits,n_building_permits,n_development_permits,building_row_ids,development_file_numbers,sample_description
1050 YONGE ST,,,,,lift,6,6,0,23 190952 HVA; 23 190952 BLD; 23 190952 BLD; 23 190952 PLB; 23 190952 HVA; 23 190952 PLB,,HVAC REVISION#1: Install elevator from basement to third floor; enclose third floor courtyard; convert second and third floors to residential use by creating separate entry on ground floor and closing off ground floor access to rotunda; For revision to permit - new skylight at third floor; larger elevator; create shared exit stair at rear of buildingHVAC - Install elevator from basement to third floor; enclose third floor courtyard; convert second and third floors to residential use by creating separate entry on ground floor and closing off ground floor access to rotunda;
133-135 THE WEST MALL,,,,,barrier-free,4,4,0,22 129115 PLB; 22 129115 BLD; 22 129115 HVA; 22 129115 BLD,,"Plumbing  - Construct new offices, new lab, new universal barrier free toilet room"
20 VANAULEY ST,,,,,barrier-free; ramp,4,4,0,20 150216 BLD; 20 150216 BLD; 20 150216 BLD; 20 150216 HVA,,"Rev 03:Smaller office space, Rec. Room to remain as is (finishes only updated), reconfiguration of Barrier-Free washroom at 2nd fl; Storage at basement to remain as is (finishes only updated) and new structural remediation at Entrance.New TCHC office space for tenant's services in existing residential building.REVISION:  Smaller office space, Rec. Room to remain as is (finishes only updated), reconfiguration of Barrier-Free washroom at 2nd fl; Storage at basement to remain as is (finishes only updated) and new structural remediation at Entrance. Rev 02 - New tenant kitchen, Laundry not relocated, Rec. Room converted to Office space & Multipurpose.Revision 01: laundry room reconfiguration and exhaust - new glazing at the second floor.[Proposal for interior alterations for a new TCHC office space for tenant's services in an existing residential apartment building. Renovations to accommodate new office space on the second floor by moving the existing laundry room from the second floor to the ground floor, with a new breakroom at the ground level. ]"
22 WALMER RD,,,,,ramp,4,4,0,17 116276 BLD; 14 148199 HVA; 14 148199 BLD; 14 148199 PLB,,"Proposal for railing replacement at garage entrance ramp, see related permit 14-148199 BA for concrete repair."
25 MABELLE AVE,,,,,ramp,3,3,0,22 101323 BLD; 22 101323 BLD; 22 101323 BLD,,"Proposal for new vehicle driveway, new entrance ramp, new retaining wall, and new concrete stair  to existing 3 level underground parking garage."
2 HARVARD AVE,,,,,accessible,2,2,0,19 169185 BLD; 19 169185 HVA,,"Proposal for a new roof deck and rooftop penthouse to access deck, deck is accessible from only 1 of the 6 units."
20 GRAYDON HALL DR,,,,,accessible; ramp; wider doorway,2,2,0,26 127584 BLD; 16 111440 BLD,,Construction of an accessibility ramp in the lobby
20 GRENADINE CRT,,,,,barrier-free,2,2,0,13 205971 BLD; 13 205971 PLB,,Interior alterations to create barrier free bathroom at the basement floor level to semi-detached single family dwelling.
40 GORDONRIDGE PL,,,,,accessible; automatic door; ramp,2,2,0,22 148232 BLD; 22 148232 BLD,,"Parking garage roof deck and P1 level concrete repairs including localized topside, soffit, through-slab and vertical surfaces. Full slab replacement at select bays of roof deck and P1 level slabs. Installation of concrete pedestrian accessibility ramp on P2 level entrance to building and replace two P2 level doors at building with automatic doors.Replacement and addition of site light standards at grade above parking garage roof deck."
45 SILVERSTONE DR,,,,,ramp,2,2,0,10 193728 BLD; 10 193728 BLD,,**Revision 01 - Change to structure of ramp on one side. Proposed reconstruction of existing parking garage entrance ramp at existing apartment building.Repair of stairs and first level for under ground parking
50 TUXEDO CRT,,,,,ramp,2,2,0,16 102323 FSU; 16 102323 PLB,,"FS - Sprinkler Shop Drawing - ADD NEW CONCRETE RAMP & STAIR, CANOPY TO EXTERIOR FRONT ELEVATION, INTERIOR ALTERATIONS AT REAR ENTRANCE, LOBBY, LAUNDRY ROOMS, 16FLR W/C & KITCHENETTE"
6 GLAMORGAN AVE,,,,,accessible; ramp,2,2,0,11 320018 BLD; 11 320018 BLD,,"common area accessibility upgrades, lobby ramp, w/c, parking"
7 ST DENNIS DR,,,,,ramp,2,2,0,26 114326 STS; 25 188059 BLD,,"Proposal for additional drains in the underground parking garage due relocation of the entry/exit ramp - installation of new trench drain and related piping, installation of new storm sump pit, installation of new floor drain and piping."
1 RAINSFORD RD,,,,,ramp,1,1,0,25 236412 BLD,,"Proposal for installation of new structural steel beams below podium deck areas complete with fireproofing. Localized concrete repairs at podium deck slabs and beams. South podium deck waterproofing replacement, and traffic deck coating replacement at north podium and garage ramp. Replace trench drain and expansion joint. Install crack injection and crystalline waterproofing."
10 BROADWAY AVE,,,,,ramp,1,1,0,17 226083 BLD,,"Isolated concrete repairs to the garage roof slab, garage entrance ramp and intermediate concrete slab."
10 CARABOB CRT,,,,,ramp,1,1,0,18 261263 BLD,,Proposed garage slab repair and reconstruction of new ramp.
10 ESTERBROOKE AVE,,,,,handrail; ramp,1,1,0,25 206701 BLD,,"Localized concrete repairs to the garage, new pedestrian stairs and ramp, new guards and handrails at stairs"
10 HUMBERLINE DR,,,,,ramp,1,1,0,13 154865 BLD,,Garage ramp repairs to underground parking
11 NEILSON DR,,,,,ramp,1,1,0,17 175821 BLD,,Parking garage access ramp repair and roof deck expansion joint repair.
11 STRATHGOWAN CRES,,,,,lift,1,1,0,23 193518 BLD,,"Proposal to construct new two storey Single Family Dwelling with finished basement, integral garage with car lift: modifications made to plans (refer to 23 105765 ZAP 00 ZR)"
15 LA ROSE AVE,,,,,ramp,1,1,0,10 142572 BLD,,"Repairs to roof of underground garage, stairwells, parking ramp located at rear yard"
15 SCADDING AVE,,,,,ramp,1,1,0,25 267520 BLD,,"Localized concrete, masonry, and waterproofing repairs to restore the structural integrity and watertightness in the parking garage. The project also includes the replacement of the garage¿s entrance ramp radiant electric heated concrete topping."
15 TWENTY FOURTH ST,,,,,lift; wheelchair,1,1,0,18 112871 BLD,,-PROPOSED FRONT ADDITION & FRONT PORCH w/ WHEELCHAIR LIFT + INTERIOR ALTERATIONS
