city,address,neighbourhood,ward,latitude,longitude,has_coords,sources,total_permits,n_building_permits,n_development_permits,keywords,earliest_permit_date,latest_permit_date,building_row_ids,development_file_numbers,sample_description,coord_source
vancouver,"800 BURRARD STREET, Vancouver, BC V6Z 2G7",Downtown,,49.2826745,-123.1230958,yes,building,18,18,0,lift,2018-02-19,2020-09-03,BP-2018-04842; BP-2018-00091; BP-2018-04839; BP-2019-04100; BP-2018-00083; BP-2018-01139; BP-2018-04847; BP-2019-04099; BP-2019-04101; BP-2019-04095; BP-2018-00092; BP-2018-01141; BP-2018-04851; BP-2018-01140; BP-2018-01143; BP-2018-01129; BP-2018-04845; BP-2018-01137,,"Field Review - Addition / Alteration - 15TH floor - 800 Burrard   

Interior alterations to provide tenant improvements for new office tenant in this existing full floor office space.

Scope of work: remove interior existing walls and door, add new walls and doors create new office rooms, existing elevator and washrooms remain the same.

Ok for Field Review as per Mike Collister 

Schedule A - Craig Mitchell Architect (604.294.6662) 
Schedule B - Craig Mitchell Architect (604.294.6662) - Architectural 
Schedule B - B. Baradaran - Laylabadi P.Eng (604.853.8831) - Mechanical, Plumbing
Schedule B - A.T.Tashiro P.Eng (604.685.9381) - Electrical

L2 - Lighting - Upgrade to incorporate Automatic Lighting Shutoff (per 9.4.1.1 of ASHRAE 90.1 - 2010).  

Processed through CRC",permit
vancouver,"1095 W PENDER STREET, Vancouver, BC V6E 2M6",Downtown,,49.2876113,-123.1197519,yes,building,15,15,0,accessible; lift,2017-11-30,2023-11-16,BP-2018-03189; BP-2021-04555; BP-2021-01008; BP-2023-03122; BP-2018-00926; BP-2023-03122; BP-2021-04555; BP-2021-01008; BP-2018-04222; BP-2023-03540; BP-2021-03469; BP-2021-06163; BP-2021-01107; BP-2023-03323; BP-2017-05608,,"Field Review - Addition / Alteration - #1400 & #1450-14th floor

Interior alterations to demolish all interior partition walls in on the 14th floor (#1400) and to demise the space into two shell Office units to be #1400 & #1450.

Scope of work:  demolish all interior partition walls/doors, construct new demising walls, partition walls, and common corridor walls, doors, ceiling and lighting work in lobby area, ceiling work, finishes, electrical, plumbing and sprinkler work.

REVISION #1-Full set of drawings submitted to show reduction in length of public corridor, elevator lobby ceiling detail change (from cove to flat drywall) with cove lighting. No increase in value.  ASHRAE review (new RCP). Feb.15/19 jm 

Address Note: Suite numbers to be posted by suite entry prior to final building inspection.

Separate permit(s) and ASHRAE checklist will be required for any future tenant improvements to either unit.

OK for Field Review per M. Lee, June 13, 2018 
 
Energy upgrade:
L2 - Lighting - Upgrade to incorporate Automatic Lighting Shutoff (per 9.4.1.1 of ASHRAE 90.1 - 2010)",permit
vancouver,"400 BURRARD STREET, Vancouver, BC V6C 3A6",Downtown,,49.2866198,-123.1170233,yes,building,14,14,0,lift,2018-06-18,2024-02-27,BP-2019-00213; BP-2023-01149; BP-2024-00570; BP-2023-01149; BP-2018-02934; BP-2018-02935; BP-2019-00508; BP-2019-00214; BP-2019-00215; BP-2018-02934; BP-2018-02935; BP-2019-00508; BP-2019-00214; BP-2019-00215,,"Field Review - Addition / Alteration - 8th floor elevator lobby and corridors 

Interior alterations to provide improvements to the elevator lobby and common corridor on the 8th floor of this existing commercial building.
Scope of work: demo/remove wall paneling/furring, flooring, lighting, tenant doors/frame and replace with new.      
Note: There are 3 units on this floor. Units are not reflected on plans as work is limited to the elevator lobby and corridor only. 
REVISION #1- Revised Mechanical drawings and Schedule B for sprinkler withdrawal and revised Architectural drawings for change to scope of work to existing doors. March 6/19 mk

OK for field review as per Howie Chow, January 17, 2019.
No energy upgrade required. BOMA BESt building.

Letters of Assurance submitted:
Schedule A by; Marion LaRue, Architect, AIBC., ph#604. 255.1169.
Architectural Schedule B by; Marion LaRue; Architect, AIBC.  ph#604. 255.1169.
Mechanical Schedule B by;  Rodney Yeoh, P. Eng. Ph#604.255.1169 (Revised Mar 6/19). 
Electrical Schedule B by; Navtej Singh Bains, P.Eng. Ph#604.569.6500.",permit
vancouver,"401 BURRARD STREET, Vancouver, BC V6C 3R2",Downtown,,49.2870917,-123.1178324,yes,building,14,14,0,lift,2019-01-24,2021-08-31,BP-2018-06018; BP-2018-06023; BP-2018-05829; BP-2018-05829; BP-2020-01890; BP-2018-06017; BP-2018-06020; BP-2018-06022; BP-2018-06025; BP-2018-06024; BP-2018-06024; BP-2021-02935; BP-2018-06015; BP-2021-02935,,"Field Review - Addition / Alteration -  5th Floor
Related to Building Permit for BP-2018-05829
Interior alterations to provide improvements for the existing office tenant (Federal Government offices) in this commercial building.
Scope of work to include: partition walls to be removed, new partition walls with relocated, refinished doors, ventilation ducts in ceiling to be relocated, light fixtures to be relocated and upgraded, new kitchenette, carpet and flooring to be replaced, washroom upgrades, walls and doors to be refinished and elevator lobby walls and doors to be refinished.

Letters of assurance rcvd Duane Mattson 604.298.4858 (electrical)
Letters of assurance rcvd Stephen Kooiman 604.298.4858 (mechanical and plumbing)
Letters of assurance rcvd James S Emery, MAIBC, MRAIC, P. Eng., LEED AP 604.736.5581 (architectural)
Letters of assurance rcvd James S Emery, MAIBC, MRAIC, P. Eng., LEED AP 604.736.5581 (schedule A)

Ok for field review per Paul Weber Nov 8, 2018",permit
vancouver,"1050 W PENDER STREET, Vancouver, BC V6E 3S7",Downtown,,49.2869048,-123.1196033,yes,building,13,13,0,accessible; lift,2019-08-16,2026-05-12,BP-2019-00790; BP-2023-03456; BP-2023-03456; BP-2024-03403; BP-2025-05267; BP-2022-01998; BP-2023-03429; BP-2025-00189; BP-2025-00181; BP-2025-05267; BP-2024-03391; BP-2024-03424; DB-2025-01319,,"Field Review - Addition / Alteration - #850-8th floor (full floor tenant) **#810 and #850 per Revision #2** 

Interior alterations only to provide a full floor tenant improvements at this existing General Office use at unit #850 and including upgrades to the elevator lobby area at this existing commercial building.

Scope of work: demolish demising wall (#810 and #850 combining; retaining #850), demolish/construct partition walls, ceiling, doors, glazing, millwork, finishes, new card readers, lighting, electrical, plumbing, mechanical and sprinkler work.

REVISION #1-Revise door hardware as per DBI's request. Note: Door #804/#828 to comply with 3.4.6.16(4) (A-G). No change in value.  ASHRAE not affected. August 16, 2019 jm

REVISION #2- Demise #850 into two units to be #810 and #810, changes to interior layout and electrical and mechanical.  Increase project value from $2,000,000.00 to $2,060,000.00 and changes to ASHRAE.  June 9, 2020 mlh

TENANT:  BBA Inc.

Letters of Assurance submitted by:
- Schedule A and Architectural Schedule B, James M. Puleo Jr., AIBC, 403.245.3089 Ext.237
- Mechanical/Plumbing Schedule B, Recep Ahmet Ozata, P.Eng, 604.684.5995
- Electrical Schedule B, Steven J. Holland, P.Eng, 778.383.1211
- Structural Schedule B, Vanessa K. Y. Wong, BASc, MASc, P. Eng.,   
604-738-0048

Building Sprinklered – Separate sprinkler permit required for proposed sprinkler work.

OK for field review as per Howie Chow, February 25, 2019.

Energy upgrade:
L2 - Lighting - Upgrade to incorporate Automatic Lighting Shutoff (per 9.4.1.1 of ASHRAE 90.1 - 2010)",permit
vancouver,"1066 W HASTINGS STREET, Vancouver, BC V6E 4M1",Downtown,,49.2873713,-123.1188596,yes,building,12,12,0,accessible; barrier-free; lift,2017-12-19,2025-05-02,BP-2021-03968; DB-2017-05811; BP-2023-00209; BP-2025-00796; BP-2024-04857; BP-2025-00796; BP-2024-04857; BP-2023-00209; BP-2019-04238; BP-2019-04238; BP-2018-00026; BP-2021-03969,,"Field Review - Addition / Alteration - #2300 - 23rd floor (full floor tenant)

Interior alterations to provide improvements to this vacant full floor office space for a new office tenant in this existing commercial building on this site.

Scope of work: construct new partition walls, ceiling, flooring, finishes for complete tenant fit-out including new open work space, shared collab areas, enclosed office/meeting rooms, coffee/eating area.  Modifications to HVAC, sprinklers, electrical, plumbing work. Upgrade elevator lobby, public corridors and add new barrier free washrooms.  

REVISION #1:  revise ceiling, mechanical and electrical drawings.  Jan. 10, 2021 mlh

Letters of Assurance submitted by:
Schedule A and Architectural Schedule B, Paul Gogan, Arch, ph: 1-416-342-7010
Electrical Schedule B, S.S. Dhaliwal, P.Eng., ph: 604-609-0500 (108)
Mechanical and Plumbing Schedule B, Ron Braun, M.Sc., P.Eng., ph: 778-238-2638

NOTE: See BP-2021-00376 for interior demolition  

OK for field review as per R. Astorino July 26, 2021

Upgrade: E2 - Retrofit Path: BOMA BESt (Path 1) - No Additional Upgrades Required

Energy checklist is currently no longer required with your Building Permit (BP) application.  Some supporting documents are still required at BP stage, specifically Envelope and HVAC, if applicable.  Service Water Heating and Lighting supporting documents, if applicable, must be submitted with your related trades permits (e.g. electrical and plumbing).  All energy upgrades will be checked during inspections stage.  It is the applicant's responsibility to identify and note all required upgrades including energy upgrades on their BP drawings at BP stage.",permit
vancouver,"1075 W GEORGIA STREET, Vancouver, BC V6E 3C9",Downtown,,49.2857773,-123.1222436,yes,building,12,12,0,accessible; lift,2017-06-08,2024-04-02,BP-2018-05708; BP-2021-04721; BP-2024-01014; BP-2024-01014; BP-2021-01855; BP-2020-03159; BP-2021-01855; BP-2017-06238; BP-2018-00763; BP-2018-00762; BP-2018-00786; BP-2017-01485,,"Field Review - Addition / Alteration - #210-2nd floor

Interior alterations to provide improvements for a new office tenant at this office unit #210 on the second floor of this existing commercial building on this site.

Scope of work: construct new partition walls, millwork, glazing, doors, finishes, ceiling work, card reader, electric strike, accessible washroom, electrical, mechanical, plumbing and sprinkler work.

TENANT:  Kabam Games Inc. 

OK for field review per W.Wong, November 1, 2018.

See related BP-2018-05160 for interior demolition work to create this ""shell"" space.

CRP Schedule A & Architectural Schedule B submitted by David Dove, AIBC, 604.484.1552
Mechanical & Plumbing Schedule B submitted by Sam Louie, P.Eng., 604.687.1821
Electrical Schedule B submitted by Ken Quan, P.Eng., 604.687.1821

Note: Energy trigger chosen;
L2 - Lighting - Upgrade to incorporate Automatic Lighting Shutoff (per 9.4.1.1 of ASHRAE 90.1-2010)",permit
vancouver,"701 W GEORGIA STREET, Vancouver, BC V7Y 1K8",Downtown,,49.2833965,-123.117746,yes,building,11,11,0,accessible; automatic door; barrier-free; lift,2017-04-05,2025-11-26,BP-2020-00425; BP-2024-01185; BP-2024-01185; BP-2019-02741; BP-2022-04946; BP-2022-04946; BP-2019-02741; BP-2024-03460; BP-2025-04737; BP-2017-01453; BP-2023-00559,,"Field Review - Addition / Alteration - #D0014 - ""D"" Dunsmuir/Lower Level Mall

Interior alterations to provide improvements for a new Retail tenant at #D0014 on the lower mall level (Pacific Centre) in this commercial building on this site.

Scope of work per VBBL 2019: new storefront, interior partition walls, barrier-free washroom, millwork, finishes and ceiling, electrical, plumbing, mechanical and sprinkler work.

TENANT: La Vie en Rose/James Barba

OK for Field Review per W.Wong, February 5, 2020

-CRP Schedule A & Architectural Schedule B submitted by Renato (Rick) A.L Balbi, 403.253.2853
-Structural Schedule B submitted by Dan Weber, P.Eng., 250.386.7794
Mechanical & Plumbing Schedule B submitted by Qing Ping Zhang, P.Eng., 905.946.4260
Electrical Schedule B submitted by Zhao Hui Guo, P.Eng., 905.946.4260

Building Sprinklered – Separate sprinkler permit required for proposed sprinkler work.

Note: No energy trigger required; BOMA BESt building

Selected Energy Upgrade: E2-Lighting-Upgrade to incorporate Scheduled Shutoff (per 9.4.1.1 (i) of ASHRAE 90.1 - 2016)",permit
vancouver,"885 W GEORGIA STREET, Vancouver, BC V6C 3E8",Downtown,,49.2836988,-123.1196238,yes,building,10,10,0,accessible; lift; ramp,2018-03-08,2025-07-25,BP-2021-04710; BP-2024-00079; BP-2024-00079; BP-2018-00471; BP-2020-03173; BP-2021-05324; BP-2025-02064; BP-2025-02060; BP-2020-03174; BP-2020-03174,,"Field Review - Addition / Alteration - 3rd Floor (HSBC)
Interior alterations for this existing full floor tenant to provide improvements and  layout changes in this existing commercial building on this site

Scope of work: Remove and construct partition walls, doors and lighting, new staff lunch room, finishes, millwork, electrical, plumbing, mechanical and sprinkler work.

OK for field review as per R. Astorino September 7, 2021

Tenant: HSBC Bank Canada

Energy Upgrade:
L2 - Lighting - Upgrade to Incorporate Automatic Lighting Shutoff (per 9.4.1.1 of Ashrae 90.1-2016

Note: Energy checklist is currently no longer required with your Building Permit (BP) application. Some supporting documents are still required at BP stage, specifically Envelope and HVAC, if applicable. Service Water Heating and Lighting supporting documents, if applicable, must be submitted with your related trades permits (e.g. electrical and plumbing).  All energy upgrades will be checked during inspections stage.  It is the applicant’s responsibility to identify and note all required upgrades including energy upgrades on their BP drawings at BP stage.

Letters of Assurance Rec'd:
Schedule A & Schedule B Architectural submitted per Paul Stevens, 778-372-1111
Schedule B Mechanical & Plumbing submitted per Sam Louie, 604-687-1821
Schedule B Electrical submitted per Josh Tanner, 604-687-1821

Revision #1 - Interior walls and ramp revised and mechanical and electrical items are added/revised due to site conditions.
Above changes in revision 1 will not affect energy calculation - no new energy checklist required.
Value of revision work: $200,000
Project value: $825,000 ($625,000 + $200,000; Previous value + revision)",permit
vancouver,"333 SEYMOUR STREET, Vancouver, BC V6B 5A6",Downtown,,49.2853268,-123.1124581,yes,building,9,9,0,lift; ramp,2017-03-23,2022-08-22,BP-2018-03894; BP-2022-01622; BP-2019-02220; BP-2019-02220; BP-2022-01622; BP-2018-01706; BP-2018-03884; BP-2016-00603; BP-2018-03599,,"Field Review - Addition / Alteration - #500-5th floor (full floor tenant)  

Interior alterations for interior demolition and tenant improvements for a new full floor office tenant which will occupy all 4 suites on the 5th floor of this existing commercial building.

Maximum occupant load is 200 as per letter dated August 27, 2018. *UPDATE: REVISION #1: See letter from MKThink dated December 10, 2018.

Scope of work: interior demolition of all partitions and demising walls and construct new demising walls and new partitions for new layout of the 5th floor.  Work includes new convenience washroom, updates to common washrooms, new millwork and finishes, card reader, electrical, plumbing, mechanical and sprinkler work. 

REVISION #1:
- revise occupant load: Maximum occupant load is 200 as per letter dated August 27, 2018.
- add to TENANT: WeWork  ""tenant occupies floors 4-10"" 
Sept.6/18 jm

Address Note: Suite numbers to be posted by suite entry prior to final building inspection.

REVISION #2 - See new complete set of revised plans (now 33 pages) to show reduction in value of work from $1,000,000 to $750,000, new RCP (ASHRAE), all to reflect layout change/redesign.  Demising walls removed and #500 is assigned to this full floor suite now. Refer to Operational Letter dated December 10, 2018 from MKThink (regarding occupancy calculations) and authorization letter dated December 7, 2018 from original applicant L. Schmidt. January 15, 2019 jm 

TENANT: WeWork (tenant occupies floors 4-10)

Letters of Assurance submitted by:
- Schedule A and Architectural Schedule B, Steven A. Kelley, AIBC, 415.288.3380
- Mechanical/Plumbing Schedule B, Flavio Bertolo, P.Eng, 647.260.3440
- Electrical Schedule B, Jay Oleson, P.Eng, 206.493.2243

OK for FLD RVW per I. Batt July 18/2018
No energy upgrade required. BOMA BESt building.

Note: No locks present on elevator lobby doors.",permit
