city,address,neighbourhood,ward,latitude,longitude,has_coords,sources,total_permits,n_building_permits,n_development_permits,keywords,earliest_permit_date,latest_permit_date,building_row_ids,development_file_numbers,sample_description,coord_source,completion
vancouver,"100 E CORDOVA STREET, Vancouver, BC V6A 1K9",Downtown,,49.2820738,-123.1019821,yes,building,3,3,0,lift,2020-09-28,2022-05-31,DB-2022-00325; BP-2020-01276; BP-2020-01276,,"Field Review - Addition / Alteration - Exterior alterations to provide vertical exterior stair access between the 7th floor patio and the 7th floor roof top to allow for safer elevator machine access at this existing 7 storey Single Room Accommodation/ Social Services Centre Building on this site 

Scope of work will involve: 1) demolishing of patio planters, new concrete curbs, a new steel service stairs and reinstatement of roof surfaces; and 2) access roof lighting. 

Architectural Schedule B provided by Barry McGinn
Structural Schedule B provided by Tim Lam 
Electrical Schedule B provided by Roger Dupuis

Okay for Field Review per A. Cashato. 
Okay for exterior alterations per M. Alborg",permit,unknown
vancouver,"111 W GEORGIA STREET, Vancouver, BC V6B 1T8",Downtown,,49.2787,-123.110191,yes,building,3,3,0,handrail; lift,2019-03-28,2024-04-10,BP-2018-04528; BP-2023-04341; BP-2023-04341,,"High Density Housing / Commercial - Addition / Alteration - Interior alterations to provide elevator upgrades and related FAS programming work for the existing residential building located at 111 W Georgia Street on this site.

Building Review Branch Notes:
Main Recall Level = Ground Floor
Alternate Recall Level = Garden Level

NOTE: The Owner must apply for a special inspection to review the existing exiting and all unsafe conditions shall be corrected to an acceptable level.",permit,unknown
vancouver,"2901 E HASTINGS STREET, Vancouver, BC V5K 5J1",Hastings-Sunrise,,49.2847997,-123.0387934,yes,building,3,3,0,ramp,2018-03-02,2020-04-27,BP-2019-00669; BP-2018-00465; BP-2020-00729,,"Enquiry Centre - Temporary Building / Structure - To place a new One-Family Dwelling building on this site for display purposes only over the duration of the Pacific National    
Exhibition 2019 and providing anchorage, seismic restraint and the associated ramps for public access to the PNE display home.    

OK for SIPs as per Jamie Zhang, Feb.15/19.

Notes:
1. Building to be relocated to Naramata, BC. 
2. HPO certificate to be submitted prior to relocation to Naramata, BC.    
3. Home to be built to CSA-277 standards.    
4. Schedule B (structural) submitted by Keith Ohlhauser, 236-420-3640",permit,unknown
vancouver,"3055 CAMBIE STREET, Vancouver, BC V5Z 4N2",Fairview,,49.2578453,-123.1158169,yes,building,3,3,0,lift,2017-08-31,2026-04-16,BP-2025-04962; BP-2017-04078; BP-2025-04962,,"High Density Housing / Commercial - Addition / Alteration - Interior alterations for an elevator upgrade of 2 elevators to meet the requirements of CSA B44-16 to this existing 9-storey residential building on this site.  

BRB Notes:
1. Reviewed under 2025 VBBL
2. Main Recall Level: Main Floor
3. Alternate Recall Level: 2nd Floor",permit,unknown
vancouver,"1036 E 13TH AVENUE, Vancouver, BC V5T 2L8",Mount Pleasant,,49.2584893,-123.0824797,yes,building,2,2,0,lift,2021-03-25,2021-03-25,BP-2020-02230; BP-2020-02230,,"High Density Housing / Commercial - Addition / Alteration - Building Permit for DP-2019-00576 To alter and convert this existing one-family dwelling to a 3-storey multiple conversion dwelling (Building 1) containing two dwelling units, and sharing a 2-car built-in parking garage and an on-grade parking space with a new infill building having vehicular access from the lane.

Revision #1:
Lift the building and replace the existing foundation and slab with new concrete (approved under DP-2019-00576). 
P Volpi, Nov. 5, 2021. 

Revision #2:
Replace existing studs to exterior wall on lower floor with 2 x 8 studs, attach new 2 x 8 studs to existing 2 x 6 studs on the main floor, and add 1/2"" plywood to the floor assembly on the main level. 
P Volpi, May 5, 2022",permit,unknown
vancouver,"1050 SMITHE STREET, Vancouver, BC V6E 4T4",West End,,49.2833086,-123.125599,yes,building,2,2,0,lift,2024-02-14,2024-02-14,BP-2023-03234; BP-2023-03234,,"High Density Housing / Commercial - Addition / Alteration - Interior alterations for an elevator upgrade to an existing high-rise residential building to meet the CSA-B44 requirements. 

Note: Permit reviewed and approved to VBBL #12511 (2019)",permit,unknown
vancouver,"1075 COMOX STREET, Vancouver, BC V6E 1K2",West End,,49.2814719,-123.1279942,yes,building,2,2,0,lift,2021-01-19,2021-01-19,BP-2020-03349; BP-2020-03349,,"High Density Housing / Commercial - Addition / Alteration - Interior alterations to provide elevator modernization for the new single stage DDRS fire alarm installation, in this existing multiple dwelling building, over 2 levels of underground parking having vehicle access from Comox Street. 

Main Recall level - 1st storey, Alternate Recall level – 2nd storey

Schedule B, Architectural and Electrical Alvin Kaita, P.Eng submitted for this project. 

Building Review Notes: 
5.\tAL-2020-00111 (DDRS elevator recall system)
6.\tEP-2020-09080
7.\tThis permit has been issued under the requirement of VBBL #12511 (2019) 
8.\tReviewed during the 2020 pandemic crisis",permit,unknown
vancouver,"1080 HOWE STREET, Vancouver, BC V6Z 2T1",Downtown,,49.2788187,-123.125094,yes,building,2,2,0,lift,2019-08-22,2019-08-22,BP-2019-02616; BP-2019-02616,,"High Density Housing / Commercial - Addition / Alteration - Interior alterations for an elevator upgrade to this existing mixed-use commercial/residential high-rise building to meet the requirements of CSA-B44. 

Revision #1:
Add DDRS panel in lobby. 
P Volpi, Oct. 31, 2019.",permit,unknown
vancouver,"1086 BUTE STREET, Vancouver, BC V6E 1Z5",West End,,49.2828666,-123.13133,yes,building,2,2,0,handrail,2023-05-03,2023-05-03,DB-2022-04642; DB-2022-04642,,"High Density Housing / Commercial - Addition / Alteration - Exterior and interior alterations to replace the fire escapes and improve the interior lobbies with installation of a 1 hour fire separation and 45 minute closures in this existing 8 storey Residential (Group C) building on this site.
Proposed work includes new fire rated interior doors, new fire escapes stairs complete with landings, treads, handrails, guards, and fixed ladders. 

Ensure the lowest part of the fire escape stairs and landings/balconies are no less than 5.2m above the street surface. 

Revision #1- 2024-07-24- S.Le
Proposed fixed ladder to replace the previously approved retractable ladders. 
The ladders are contained within a secure steel mesh enclosure to prevent access from grade into the suites.

Revision #2- 2025-08-13- S.Le
Sidewalk paving change to accommodate egress from fire escape enclosure.",permit,unknown
vancouver,"1124 E 14TH AVENUE, Vancouver, BC V5T 2P3",Mount Pleasant,,49.2575759,-123.0810124,yes,building,2,2,0,handrail,2022-05-18,2022-05-18,BP-2020-01164; BP-2020-01164,,"Field Review - Addition / Alteration - Interior alterations only to provide fire and smoke damage repairs to this existing Two-Family Dwelling building.

Scope of work includes: interior fire/water damage repair, related upgrading, restore interior interconnection between the basement and main floor level. Any unauthorized work on this site, existing or otherwise, is neither recognized nor approved and may be subject to enforcement action.

Letters of assurance submitted:
Sch B (Struct): A.S. Densmore (778) 791-7456

OK for field review as per Howie Chow, March 26, 2020.

Note:
- Any discontinued domestic water pipes and drainage pipes related to the removal of the unauthorized suite to be permanently capped off. 
- Remove the hood fan, range and all associated wiring up to the supply breaker in the unauthorized suite on the lower floor.
- No strata-titling permitted. 
- An annual Vancouver Business License must be obtained prior to the rental of this approved two-family dwelling, in whole or in part.
- Dedicated 3'-0"" wide firefighting access path with overhead clearance of 2m to be maintained at all times.
- Smoke alarms to be installed in conformance with Vancouver Building Bylaw subsections 3.2.4 and 9.10.19. 
- CO Alarms to be installed in conformance with Vancouver Building Bylaw subsections 6.2.4 and 9.32.4.
- All unsafe guards and handrails to be upgraded to the satisfaction of the Chief Building Official.

Increase in project value at discretion of District Building Inspector may require additional upgrading as per Table 11.4.3.1 of the VBBL 2019.",permit,unknown
