permitnumber,permitnumbercreateddate,issuedate,permitelapseddays,projectvalue,typeofwork,address,projectdescription,permitcategory,propertyuse,specificusecategory,issueyear,geolocalarea,geom,yearmonth,geo_point_2d,latitude,longitude
BP-2025-02504,2025-05-30,2025-09-30,123,250000.0,Addition / Alteration,"901 GRANVILLE STREET, Vancouver, BC V6Z 1L3","High Density Housing / Commercial - Addition / Alteration - Interior alterations for a new tenant in this existing Restaurant - Class 1 (Group A2) suite on the ground floor of the commercial building on this site.
Scope includes new walls, ceilings and finishes, and new cooking equipment, hoods, ducts and exhaust fan. 
Existing exterior shaft to remain.

Note:
- Proposed occupant load is 100 persons (69 seats, 11 waiting, 12 staff and 8 future patio seats). Maximum cannot exceed 150 persons in total.
- A permanent sign indicating the proposed occupant load shall be posted in a conspicuous location.
- Separate permit is required for the sidewalk patio.

Mechanical Review Notes:
- Class 1 Cooking Operation (Grease-Laden Vapours).
- Commercial kitchen exhaust system to NFPA 96 (Type 1 hood).

*** Reviewed under the VBBL 2019 ***

Revision #1 - Mar 6, 2026 - J. Chen
- Relocated walk-in freezer next to walk-in cooler.
- Replaced ramp with step at rear exit. 
- Added furring wall to existing columns.
- Added automatic door operator to the entry door.  
- Installed wall-to-ceiling stainless steel panel behind hood.",,['Service Uses'],['Restaurant - Class 1'],2025,Downtown,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1218479, 49.2804165], 'type': 'Point'}, 'properties': {}}",2025-09,"{'lon': -123.1218479, 'lat': 49.2804165}",49.2804165,-123.1218479
BP-2024-04460,2024-11-13,2024-12-06,23,33299.47,Addition / Alteration,"800 W PENDER STREET, Vancouver, BC V6C 2V6","Field Review - Addition / Alteration - Unit 1460

Interior alterations to provide improvements to Office unit #1460 on the 14th floor of this commercial building on this site.

Scope of work: Demo of existing interior partitions, pony walls, doors and frames, installation of new walls where door and frame removed, counter mounted with glazing, ADA compliant automatic door opener, fluorescent light fixtures, power and data outlets. 

Notes:
- This building is sprinklered. No SP req'd as per DBI

Energy checklist is currently no longer required with your Building Permit application. Service Water Heating and Lighting supporting documents, if applicable, must be submitted with your related trades permits (e.g. electrical and plumbing). It is the applicant's responsibility to identify and note all required upgrades on their BP drawings at BP stage.

OK for Field Review per W.Wong Nov 13/24",Renovation - Commercial/ Mixed Use - Lower Complexity,['Office Uses'],['General Office'],2024,Downtown,"{'type': 'Feature', 'geometry': {'coordinates': [-123.116245, 49.2852119], 'type': 'Point'}, 'properties': {}}",2024-12,"{'lon': -123.116245, 'lat': 49.2852119}",49.2852119,-123.116245
BP-2024-03485,2024-09-10,2025-07-02,295,10000.0,Addition / Alteration,"880 E HASTINGS STREET, Vancouver, BC V6A 1R6","High Density Housing / Commercial - Addition / Alteration - Interior alterations and change of use of approximately 776.0 square feet from Retail (E) to a Social Service Centre (D), (overdose prevention site), in the existing two-storey mixed-use building on this site. Barrier free bathroom requirement waived by Saul Schwebs.

2019 VBBL",,"['Institutional Uses', 'Retail Uses']","['Retail Store', 'Social Service Centre']",2025,Strathcona,"{'type': 'Feature', 'geometry': {'coordinates': [-123.0852143, 49.2809936], 'type': 'Point'}, 'properties': {}}",2025-07,"{'lon': -123.0852143, 'lat': 49.2809936}",49.2809936,-123.0852143
BP-2022-04992,2022-11-02,2023-02-12,102,250000.0,Addition / Alteration,"1025 DAVIE STREET, Vancouver, BC","High Density Housing / Commercial - Addition / Alteration - Building Permit for DP-2022-00820 

Interior alterations to expand the existing Neighbourhood Public House at 1025 Davie St in to adjacent unit at 1027 Davie St and change of major occupancy from Print Shop (Similar to Office; group D) to Neighbourhood Public House (group A2) in this existing mixed-use Building on this site. Scope of work is replacing an existing ramp to a raised floor in the pub with new stairs, installing a wheelchair lift, raising the concrete floor of the space to level out with a new interior ramp at northwest side, and legalizing an existing sliding door replacing the west window. No work is proposed in the existing kitchen and washroom. 

Arch B is submitted.

Interior Occupant Load = Max 259 persons (199 persons at existing restaurant at north + 60 persons at south expansion)

Tenant: Fountainhead Pub

******REVIEWED UNDER THE PROVISIONS OF VBBL 2019********

Building Review Branch Notes:
- Legalization of the existing patio with gas overhead heaters and fireplace and installation of a new patio is under separate permit (BP-2022-05096). 
- For A2 upgrade, signage directing from west exterior door to an accessible entry is to be provided, and its hardware to be upgraded to comply with VBBL 3.3.2.7 & 3.8.3.6.(4) or CSA B651 5.2. These upgrades shall be accepted by District Building Inspector.
- Wheelchair lift shall comply with CSA B355, ""Lifts for Persons with Physical Disabilities.""
- All new work shall comply with VBBL 3.1.5 Noncombustible Construction. 
- No sprinkler work is permitted before sprinkler permit is issued. 
- Rear corridor must not be used as storage at any time. 

REVISION #1 (Sep 01, 2023): 
- Changed seating layout and path to the washroom at the south expansion including the ramp depth. 
- Removed the lift with proposed alternate accessible signage.
- Changed lighting layout.",,"['Office Uses', 'Service Uses']","['Neighbourhood Public House', 'General Office']",2023,West End,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1296696, 49.279435], 'type': 'Point'}, 'properties': {}}",2023-02,"{'lon': -123.1296696, 'lat': 49.279435}",49.279435,-123.1296696
BP-2023-00453,2023-02-03,2023-02-28,25,120000.0,Addition / Alteration,"1470 PENNYFARTHING DRIVE, Vancouver, BC V6J 4Y2","Field Review - Addition / Alteration - Interior alterations to renovate the pool room in this existing multiple dwelling building.
The scope includes to install pool chair lift, accessible ramp, new wheel chair lift and reconfigure the washrooms.

Schedule A provide by Antonio Rigor 
Structural Schedule B provided by Sam H.S. Chan P.Eng. 
Mechanical/ Plumbing Schedule B provided by Yashar Mosaferi, P.Eng.
Electrical Schedule B provided by Jonathan Sander, P.Eng. 

revision#1: Change of applicant, designers and consultants as well as increase in scope to remove existing sauna and replace with new accessible sauna and steam room, changes to washroom layouts.",Renovation - Residential - Lower Complexity,['Dwelling Uses'],['Multiple Dwelling'],2023,Fairview,"{'type': 'Feature', 'geometry': {'coordinates': [-123.141183, 49.2719592], 'type': 'Point'}, 'properties': {}}",2023-02,"{'lon': -123.141183, 'lat': 49.2719592}",49.2719592,-123.141183
BP-2019-04525,2019-10-04,2020-08-18,319,25000000.0,New Building,,"Certified Professional Program - New Building - To construct a 8-storey mixed-use building consisting of 
1st storey - one retail and two restaurants (class 1) (shell space with demising walls)
2nd to 8th storey - 62 dwelling units 
all over two levels of underground parking accessed from the lane
SHORT PROJECT
VBBL2014

Stage #1 - excavation and shoring only -issued August 18, 2020.
Stage # 2 - Full construction - issued Nov. 2, 2020

REVISION #1 (May 30/24): Change of Mechanical & Plumbing EOR from Keith Bate, P. Eng. to Svetlana Vujic, P.Eng. as of Dec 02, 2022. 

REVISION #2 (Mar 01/25): Related to M/A DP-2022-00808
- Added an exhaust shaft at west from P2 Level, relocated elevator machine room, and changed a regular parking stall to accessible stall on P2 Level. 
- Changed service rooms layout on P1 Level 
- Installed CRU separation walls to create 3 CRU shell spaces and provided VRF HVAC systems for the CRUs. 
- Provided gas meter enclosure at the west side of the lot. 
- Raised grades at vehicle entrance ramp entry by 0.1m.
- Lowered top of service roof elevation by 0.72m.",,"['Dwelling Uses', 'Parking Uses', 'Retail Uses', 'Service Uses']","['Restaurant - Class 1', 'Multiple Dwelling', 'Parking Garage', 'Retail Store']",2020,,,2020-08,,,
BP-2019-03045,2019-07-10,2019-08-28,49,15460.0,Addition / Alteration,"1235 COMOX STREET, Vancouver, BC V6E 1K6","High Density Housing / Commercial - Addition / Alteration - Elevator upgrade with new DDRS system
To provide interior alterations for elevator upgrades to one (1) elevator in this existing 5-storey multiple dwelling residential building to allow for elevator recall for CSA-B44 upgrade. 

Scope of work: 
- Install new single-stage, addressable DDRS panel with integral annunciator for the purposes of elevator modernization only . No changes proposed to existing non-adaptable, unsupervised FA system. 
- Install new smoke detectors and relays to allow for elevator recall.
- Install new smoke detector at top of elevator shaft and tie only to the DDRS.
- Programming of Elevator Recall and FEO functions.

Building Review Branch Notes:
- Schedule B - Arch. submitted by Michael D. Chadney, P.Eng. 
- Schedule B - Elec. submitted by Stephane F. Jacob, P.Eng.
- See AL-2019-00160 for DDRS.
- Automatic emergency recall (main - ground floor, alternate - 2nd floor)
- No elevator access to penthouse level.",,['Dwelling Uses'],['Multiple Dwelling'],2019,West End,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1315751, 49.2837918], 'type': 'Point'}, 'properties': {}}",2019-08,"{'lon': -123.1315751, 'lat': 49.2837918}",49.2837918,-123.1315751
DB-2024-01478,2024-04-24,2024-10-04,163,125000.0,Addition / Alteration,"5887 PRINCE EDWARD STREET, Vancouver, BC V5W 2X8","High Density Housing / Commercial - Addition / Alteration - Exterior and interior alterations to provide improvements by adding a ramp, accessible washroom and elevator at this existing church building on this site.

2019 VBBL

Revision 1 - to  lower the entry to the elevator to the ground level",,['Institutional Uses'],['Church'],2024,Sunset,"{'type': 'Feature', 'geometry': {'coordinates': [-123.0976869, 49.2312457], 'type': 'Point'}, 'properties': {}}",2024-10,"{'lon': -123.0976869, 'lat': 49.2312457}",49.2312457,-123.0976869
DB-2025-03223,2025-07-17,2025-08-19,33,121000.0,Addition / Alteration,"771 E 22ND AVENUE, Vancouver, BC V5V 1V5","Field Review - Addition / Alteration - 771 E 22ND 

Exterior and interior alterations to renovate this existing Single Detached House on this site. Work to include 2 new exterior windows, electrical connection upgrade for gas stove, upgrade to induction and new wash tower. New sliding gate, Replace existing HWT with tankless gas. 

NO CHANGE TO STAIRS, DECKS OR FOOTPRINT OF EXISTING BUILDINGS.

The scope includes to validate the rear deck (9'9x10')

Rev #2
- Create secondary suite on the basement level
- Revise interior stair and create an entry vestibule with separation between secondary suite and primary dwelling 
- Revise hardscape and create firefighting path to secondary suite entrance
- Increase construction cost of 20,000.00

Revision #1:
to change window in rec room to a sliding glass door; Move rear concrete step; add wood patio at rear; extend pantry counter; and change basement shower to bath.

Struct Sched B - Dave Kurniawan, P.Eng 

Ok for field review by Jamie Z, July 16th 2025 

Note: 
No strata-titling will be permitted.                                           
An annual Vancouver Business License must be obtained prior to the rental of this approved one-family dwelling and/or secondary suite on this site.       
Install interconnected, hardwired, 120 volt smoke alarms with battery back-up and silencing feature, in each sleeping unit and within 5m outside each sleeping areas on each storey as per VBBL 2025 9.10.19.6                          
Install Carbon Monoxide Alarm as per VBBL 2025 9.32.4.2 (3)  
Energy upgrade work under Part 11 (based on value of work – energuide related Part 11.2.1.4.)   
Ceiling height to be a min. 6'-6"" over 80% of the suite area and all exit routes
Dedicated 3'-0"" wide firefighting access path with overhead clearance of 2m to be maintained at all times as per VBBL 2025 9.10.20.3
All unsafe guards and handrails to be upgraded to the satisfaction of the Chief Building Official.",Renovation - Residential - Lower Complexity,['Dwelling Uses'],['Single Detached House'],2025,Kensington-Cedar Cottage,"{'type': 'Feature', 'geometry': {'coordinates': [-123.0881684, 49.2512387], 'type': 'Point'}, 'properties': {}}",2025-08,"{'lon': -123.0881684, 'lat': 49.2512387}",49.2512387,-123.0881684
BP-2023-00807,2023-03-06,2023-06-21,107,275000.0,Addition / Alteration,"1514 ROBSON STREET, Vancouver, BC V6G 1C2","Field Review - Addition / Alteration - Interior alteration to provide first tenant improvements to this existing retail shell space (1514 Robson Street) on this existing mixed-use building.

Letters of assurance submitted:
- Sch A/B (Arch): Renato A.L. Balbi, AIBC, 403.253.2853
- Sch B (Struct): Kosta Marcakis, P.eng., 604.254.0868
- Sch B (Mech, Plumb): Mathueu Tremblay, P.eng., 450.671.3131
- Sch B (Elec): Francis Houle, P.eng., 450.671.3131

Notes:
1. Shelving/racking to be not more than 12' H
2. The barrier-free washroom is to be used as the barrier-free changing room as well. Therefore, this secondary fitting room should not have to respect the push and pull dimension.",Renovation - Commercial/ Mixed Use - Lower Complexity,['Retail Uses'],['Retail Store'],2023,West End,"{'type': 'Feature', 'geometry': {'coordinates': [-123.1315801, 49.2889169], 'type': 'Point'}, 'properties': {}}",2023-06,"{'lon': -123.1315801, 'lat': 49.2889169}",49.2889169,-123.1315801
